"Date","CUUR0000SEHD"
2022-02-01,150.018
2022-03-01,149.886
2022-04-01,149.895
2022-05-01,149.795
2022-06-01,151.123
2022-07-01,151.288
2022-08-01,151.116
2022-09-01,150.48
2022-10-01,150.871
2022-11-01,150.98
2022-12-01,151.079
2023-01-01,151.289
2023-02-01,151.176
2023-03-01,151.229
2023-04-01,151.966
2023-05-01,152.185
2023-06-01,152.682
2023-07-01,152.87
2023-08-01,153.309
2023-09-01,154.656
2023-10-01,155.298
2023-11-01,156.059
