"Date","SUUR0000SAH3"
2012-07-01,93.241
2012-08-01,92.848
2012-09-01,92.75
2012-10-01,92.757
2012-11-01,92.725
2012-12-01,92.433
2013-01-01,92.594
2013-02-01,92.781
2013-03-01,92.587
2013-04-01,92.413
2013-05-01,92.55
2013-06-01,92.54
2013-07-01,92.207
2013-08-01,92.082
2013-09-01,91.897
2013-10-01,91.893
2013-11-01,91.61
2013-12-01,91.355
2014-01-01,91.481
2014-02-01,91.295
2014-03-01,91.275
2014-04-01,91.219
2014-05-01,91.211
2014-06-01,91.368
2014-07-01,91.202
2014-08-01,90.905
2014-09-01,90.748
2014-10-01,91.208
2014-11-01,90.667
2014-12-01,89.964
2015-01-01,90.352
2015-02-01,90.275
2015-03-01,90.4
2015-04-01,90.792
2015-05-01,90.735
2015-06-01,90.793
2015-07-01,90.472
2015-08-01,90.116
2015-09-01,90.255
2015-10-01,90.204
2015-11-01,89.577
2015-12-01,89.428
2016-01-01,89.742
2016-02-01,89.704
2016-03-01,89.611
2016-04-01,89.326
2016-05-01,89.113
2016-06-01,89.022
2016-07-01,88.83
2016-08-01,88.456
2016-09-01,88.419
2016-10-01,88.663
2016-11-01,88.055
2016-12-01,87.899
2017-01-01,88.748
2017-02-01,88.847
2017-03-01,88.739
2017-04-01,88.525
2017-05-01,88.494
2017-06-01,88.396
2017-07-01,88.087
2017-08-01,87.766
2017-09-01,87.566
2017-10-01,87.614
2017-11-01,87.329
2017-12-01,87.116
2018-01-01,87.884
2018-02-01,88.204
2018-03-01,88.322
2018-04-01,88.549
2018-05-01,88.135
2018-06-01,88.068
2018-07-01,88.013
2018-08-01,87.725
2018-09-01,87.757
2018-10-01,88.202
2018-11-01,88.005
2018-12-01,87.65
2019-01-01,88.477
2019-02-01,88.736
2019-03-01,88.749
2019-04-01,88.299
2019-05-01,88.351
2019-06-01,88.77
2019-07-01,88.853
2019-08-01,88.506
2019-09-01,88.706
2019-10-01,89.022
2019-11-01,88.745
2019-12-01,88.448
2020-01-01,88.988
2020-02-01,89.156
2020-03-01,89.046
2020-04-01,89.608
2020-05-01,90.028
2020-06-01,90.611
2020-07-01,90.521
2020-08-01,91.012
2020-09-01,91.081
2020-10-01,90.778
2020-11-01,90.793
2020-12-01,90.696
2021-01-01,90.995
2021-02-01,90.839
2021-03-01,91.133
2021-04-01,91.792
2021-05-01,92.919
2021-06-01,92.946
2021-07-01,92.913
2021-08-01,93.384
2021-09-01,94.535
2021-10-01,95.291
2021-11-01,95.597
2021-12-01,96.492
2022-01-01,98.055
2022-02-01,98.699
2022-03-01,99.403
2022-04-01,100.064
2022-05-01,100.453
2022-06-01,100.58
2022-07-01,101.088
2022-08-01,101.672
2022-09-01,102.056
2022-10-01,102.196
2022-11-01,101.51
2022-12-01,101.346
2023-01-01,102.311
2023-02-01,103.364
2023-03-01,103.62
2023-04-01,103.878
2023-05-01,103.183
2023-06-01,103.183
2023-07-01,102.978
2023-08-01,102.882
2023-09-01,103.109
2023-10-01,102.979
2023-11-01,101.968
