"Date","USACPGRLH01IXOBM"
1998-06-01,60.6474010873956
1998-07-01,60.8052548122456
1998-08-01,60.8368255572156
1998-09-01,60.9315377921257
1998-10-01,60.8052548122456
1998-11-01,60.8368255572156
1998-12-01,60.8683963021857
1999-01-01,61.0262500270357
1999-02-01,61.1841037518858
1999-03-01,61.3103867317658
1999-04-01,61.4050989666759
1999-05-01,61.4682404566159
1999-06-01,61.752377161346
1999-07-01,62.0365138660762
1999-08-01,62.1627968459562
1999-09-01,62.2890798258363
1999-10-01,62.3206505708063
1999-11-01,62.4785042956564
1999-12-01,62.5100750406264
2000-01-01,62.6994995104464
2000-02-01,62.8889239802665
2000-03-01,63.1099191950566
2000-04-01,63.2046314299666
2000-05-01,63.4256266447568
2000-06-01,64.057041544157
2000-07-01,64.4674612287672
2000-08-01,64.7200271885273
2000-09-01,64.9410224033174
2000-10-01,64.9725931482874
2000-11-01,65.0041638932574
2000-12-01,65.3198713429576
2001-01-01,66.298564437028
2001-02-01,66.456418161878
2001-03-01,66.487988906848
2001-04-01,66.487988906848
2001-05-01,66.7405548666082
2001-06-01,67.3403990210384
2001-07-01,67.4666820009184
2001-08-01,67.5613942358285
2001-09-01,67.5298234908585
2001-10-01,67.2456867861284
2001-11-01,67.3403990210384
2001-12-01,67.3088282760684
2002-01-01,67.5298234908585
2002-02-01,67.6561064707385
2002-03-01,67.8139601955886
2002-04-01,67.9086724304986
2002-05-01,68.1928091352288
2002-06-01,68.666370309779
2002-07-01,69.0136485044491
2002-08-01,69.2977852091792
2002-09-01,69.4556389340293
2002-10-01,69.4240681890593
2002-11-01,69.5187804239693
2002-12-01,69.6134926588794
2003-01-01,69.9607708535495
2003-02-01,70.3396197931897
2003-03-01,70.8447517127099
2003-04-01,70.9078932026499
2003-05-01,71.19202990738
2003-06-01,71.7287325718702
2003-07-01,71.9812985316304
2003-08-01,72.1075815115104
2003-09-01,72.3601474712705
2003-10-01,72.2022937464204
2003-11-01,72.0444400215704
2003-12-01,72.1075815115104
2004-01-01,72.5180011961206
2004-02-01,72.8021379008507
2004-03-01,72.8337086458207
2004-04-01,72.9599916257008
2004-05-01,73.1494160955208
2004-06-01,73.9386847197712
