"Date","CUURA103SAR"
2009-12-01,NA
2010-01-01,124.159
2010-02-01,NA
2010-03-01,122.207
2010-04-01,NA
2010-05-01,126.413
2010-06-01,NA
2010-07-01,123.912
2010-08-01,NA
2010-09-01,119.868
2010-10-01,NA
2010-11-01,119.295
2010-12-01,NA
2011-01-01,118.192
2011-02-01,NA
2011-03-01,118.971
2011-04-01,NA
2011-05-01,119.076
2011-06-01,NA
2011-07-01,116.768
2011-08-01,NA
2011-09-01,114.296
2011-10-01,NA
2011-11-01,110.98
2011-12-01,NA
2012-01-01,115.814
2012-02-01,NA
2012-03-01,115.084
2012-04-01,NA
2012-05-01,114.49
2012-06-01,NA
2012-07-01,112.543
2012-08-01,NA
2012-09-01,114.068
2012-10-01,NA
2012-11-01,113.873
2012-12-01,NA
2013-01-01,115.586
2013-02-01,NA
2013-03-01,114.023
2013-04-01,NA
2013-05-01,112.275
2013-06-01,NA
2013-07-01,113.286
2013-08-01,NA
2013-09-01,111.618
2013-10-01,NA
2013-11-01,113.532
2013-12-01,NA
2014-01-01,113.912
2014-02-01,NA
2014-03-01,113.996
2014-04-01,NA
2014-05-01,113.398
2014-06-01,NA
2014-07-01,114.703
2014-08-01,NA
2014-09-01,114.602
2014-10-01,NA
2014-11-01,114.268
2014-12-01,NA
2015-01-01,115.464
2015-02-01,NA
2015-03-01,116.047
2015-04-01,NA
2015-05-01,117.594
2015-06-01,NA
2015-07-01,118.063
2015-08-01,NA
2015-09-01,117.436
2015-10-01,NA
2015-11-01,115.481
2015-12-01,NA
2016-01-01,116.956
2016-02-01,NA
2016-03-01,117.577
2016-04-01,NA
2016-05-01,116.731
2016-06-01,NA
2016-07-01,117.012
2016-08-01,NA
2016-09-01,116.575
2016-10-01,NA
2016-11-01,116.645
2016-12-01,NA
2017-01-01,122.228
2017-02-01,NA
2017-03-01,124.97
2017-04-01,NA
2017-05-01,124.428
2017-06-01,NA
2017-07-01,124.086
2017-08-01,NA
2017-09-01,122.925
2017-10-01,NA
2017-11-01,119.889
2017-12-01,NA
2018-01-01,121.117
2018-02-01,NA
2018-03-01,121.589
2018-04-01,NA
2018-05-01,120.157
2018-06-01,NA
2018-07-01,122.787
2018-08-01,NA
2018-09-01,123.267
2018-10-01,NA
2018-11-01,123.936
2018-12-01,NA
2019-01-01,124.49
2019-02-01,NA
2019-03-01,124.667
2019-04-01,NA
2019-05-01,123.545
2019-06-01,NA
2019-07-01,124.29
2019-08-01,NA
2019-09-01,121.2
2019-10-01,NA
2019-11-01,122.09
2019-12-01,NA
2020-01-01,123
2020-02-01,NA
2020-03-01,122.892
2020-04-01,NA
2020-05-01,123.085
2020-06-01,NA
2020-07-01,116.746
2020-08-01,NA
2020-09-01,116.973
2020-10-01,NA
2020-11-01,114.852
2020-12-01,NA
2021-01-01,116.06
2021-02-01,NA
2021-03-01,115.031
2021-04-01,NA
2021-05-01,116.623
2021-06-01,NA
2021-07-01,117.886
2021-08-01,NA
2021-09-01,115.026
2021-10-01,NA
2021-11-01,115.947
2021-12-01,NA
2022-01-01,117.206
2022-02-01,NA
2022-03-01,117.281
2022-04-01,NA
2022-05-01,118.266
2022-06-01,NA
2022-07-01,118.32
2022-08-01,NA
2022-09-01,120.763
2022-10-01,NA
2022-11-01,119.791
2022-12-01,NA
2023-01-01,121.693
2023-02-01,NA
2023-03-01,114.994
2023-04-01,NA
2023-05-01,116.583
2023-06-01,NA
2023-07-01,115.751
2023-08-01,NA
2023-09-01,116.273
2023-10-01,NA
2023-11-01,116.031
