"Date","CWSR0000SASL2RS"
2000-06-01,179.6
2000-07-01,180.5
2000-08-01,181.2
2000-09-01,181.9
2000-10-01,182.8
2000-11-01,183.1
2000-12-01,184.3
2001-01-01,186.9
2001-02-01,187.1
2001-03-01,187.3
2001-04-01,187.6
2001-05-01,188.2
2001-06-01,188.9
2001-07-01,189
2001-08-01,189.3
2001-09-01,189.3
2001-10-01,189.1
2001-11-01,189.6
2001-12-01,189.9
2002-01-01,190.1
2002-02-01,190.3
2002-03-01,190.9
2002-04-01,191.3
2002-05-01,192.1
2002-06-01,192.4
2002-07-01,193.2
2002-08-01,194.1
2002-09-01,194.6
2002-10-01,195.4
2002-11-01,195.9
2002-12-01,196.6
2003-01-01,197.2
2003-02-01,198.1
2003-03-01,199.9
2003-04-01,200.3
2003-05-01,200.8
2003-06-01,201.4
2003-07-01,201.9
2003-08-01,202.2
2003-09-01,203
2003-10-01,203.4
2003-11-01,203.1
2003-12-01,203.7
2004-01-01,204.5
2004-02-01,205.3
2004-03-01,205.5
2004-04-01,205.8
2004-05-01,206.3
2004-06-01,207.3
2004-07-01,207.9
2004-08-01,208.3
2004-09-01,208.7
2004-10-01,208.6
2004-11-01,210.1
2004-12-01,210.8
2005-01-01,211.2
2005-02-01,211.6
2005-03-01,212.3
2005-04-01,213.4
2005-05-01,214.2
2005-06-01,214.4
2005-07-01,215.3
2005-08-01,216
2005-09-01,218.3
2005-10-01,220.4
2005-11-01,222
2005-12-01,222
2006-01-01,223.7
2006-02-01,223.4
2006-03-01,223.5
2006-04-01,223.6
2006-05-01,224
2006-06-01,224.3
2006-07-01,224.7
2006-08-01,225.1
2006-09-01,226.2
2006-10-01,225.2
2006-11-01,225.8
2006-12-01,226.7
2007-01-01,227.387
2007-02-01,228.281
2007-03-01,229.234
2007-04-01,229.759
2007-05-01,230.33
2007-06-01,230.867
2007-07-01,231.077
2007-08-01,231.108
2007-09-01,231.892
2007-10-01,232.882
2007-11-01,233.381
2007-12-01,234.311
2008-01-01,235.132
2008-02-01,235.847
2008-03-01,237.208
2008-04-01,238.828
2008-05-01,240.734
2008-06-01,242.515
2008-07-01,244.907
2008-08-01,245.356
2008-09-01,244.606
2008-10-01,244.507
2008-11-01,244.273
2008-12-01,244.775
2009-01-01,245.196
2009-02-01,245.52
2009-03-01,245.13
2009-04-01,244.565
2009-05-01,244.19
2009-06-01,244.533
2009-07-01,244.989
2009-08-01,245.684
2009-09-01,246.44
2009-10-01,247.104
2009-11-01,248.112
2009-12-01,248.388
2010-01-01,248.864
2010-02-01,249.294
2010-03-01,250.108
2010-04-01,250.653
2010-05-01,250.829
2010-06-01,251.075
2010-07-01,251.544
2010-08-01,251.947
2010-09-01,252.119
2010-10-01,252.473
2010-11-01,252.733
2010-12-01,253.076
2011-01-01,253.384
2011-02-01,254.144
2011-03-01,254.596
2011-04-01,255.205
2011-05-01,255.871
2011-06-01,256.102
2011-07-01,256.587
2011-08-01,257.182
2011-09-01,257.804
2011-10-01,258.224
2011-11-01,258.6
2011-12-01,259.096
2012-01-01,259.393
2012-02-01,259.072
2012-03-01,259.548
2012-04-01,260.028
2012-05-01,260.257
2012-06-01,261.07
2012-07-01,261.222
2012-08-01,261.863
2012-09-01,262.458
2012-10-01,263.141
2012-11-01,263.995
2012-12-01,264.665
2013-01-01,265.235
2013-02-01,265.958
2013-03-01,266.309
2013-04-01,266.561
2013-05-01,267.081
2013-06-01,267.489
2013-07-01,268.208
2013-08-01,268.618
2013-09-01,269.348
2013-10-01,269.776
2013-11-01,270.062
2013-12-01,270.194
2014-01-01,271.233
2014-02-01,271.923
2014-03-01,273.606
2014-04-01,273.354
2014-05-01,274.351
2014-06-01,274.686
2014-07-01,275.015
2014-08-01,274.904
2014-09-01,275.033
2014-10-01,275.249
2014-11-01,275.364
2014-12-01,275.844
2015-01-01,276.194
2015-02-01,276.355
2015-03-01,276.202
2015-04-01,276.869
2015-05-01,276.827
2015-06-01,277.466
2015-07-01,277.604
2015-08-01,278.029
2015-09-01,278.497
2015-10-01,279.304
2015-11-01,280.198
2015-12-01,280.157
2016-01-01,280.468
2016-02-01,280.83
2016-03-01,281.531
2016-04-01,282.451
2016-05-01,283.192
2016-06-01,283.741
2016-07-01,284.607
2016-08-01,285.472
2016-09-01,285.805
2016-10-01,285.809
2016-11-01,286.393
2016-12-01,286.81
2017-01-01,287.491
2017-02-01,288.391
2017-03-01,287.435
2017-04-01,288.052
2017-05-01,288.696
2017-06-01,289.103
2017-07-01,289.447
2017-08-01,289.919
2017-09-01,290.477
2017-10-01,290.709
2017-11-01,291.189
2017-12-01,291.689
2018-01-01,292.322
2018-02-01,293.618
2018-03-01,294.149
2018-04-01,294.405
2018-05-01,295.001
2018-06-01,295.367
2018-07-01,295.533
2018-08-01,295.637
2018-09-01,296.228
2018-10-01,296.736
2018-11-01,296.82
2018-12-01,297.965
2019-01-01,298.113
2019-02-01,298.053
2019-03-01,298.784
2019-04-01,299.162
2019-05-01,299.079
2019-06-01,299.404
2019-07-01,299.855
2019-08-01,300.526
2019-09-01,301.274
2019-10-01,302.663
2019-11-01,303.434
2019-12-01,304.042
2020-01-01,304.8
2020-02-01,305.337
2020-03-01,305.414
2020-04-01,303.529
2020-05-01,302.221
2020-06-01,303.153
2020-07-01,306.381
2020-08-01,306.733
2020-09-01,307.272
2020-10-01,307.204
2020-11-01,308.657
2020-12-01,309.158
2021-01-01,308.823
2021-02-01,310.034
2021-03-01,311.493
2021-04-01,313.309
2021-05-01,314.297
2021-06-01,314.978
2021-07-01,315.725
2021-08-01,315.987
2021-09-01,316.804
2021-10-01,319.048
2021-11-01,320.169
2021-12-01,321.388
2022-01-01,324.119
2022-02-01,325.557
2022-03-01,328.11
2022-04-01,330.995
2022-05-01,333.621
2022-06-01,337.17
2022-07-01,337.965
2022-08-01,340.313
2022-09-01,343.665
2022-10-01,343.758
2022-11-01,344.415
2022-12-01,346.631
2023-01-01,349.052
2023-02-01,348.879
2023-03-01,348.841
2023-04-01,349.048
2023-05-01,348.53
2023-06-01,348.723
2023-07-01,349.358
2023-08-01,351.131
2023-09-01,353.288
2023-10-01,355.012
2023-11-01,357.447
