"Date","CUUR0400SAH"
2002-10-01,193.1
2002-11-01,192.4
2002-12-01,192.1
2003-01-01,194.4
2003-02-01,194.7
2003-03-01,194.7
2003-04-01,194.4
2003-05-01,194.8
2003-06-01,194.6
2003-07-01,195.5
2003-08-01,195.8
2003-09-01,195.5
2003-10-01,196
2003-11-01,194.9
2003-12-01,195.2
2004-01-01,196.5
2004-02-01,197.1
2004-03-01,197.8
2004-04-01,197.6
2004-05-01,198.3
2004-06-01,198
2004-07-01,198.7
2004-08-01,199.5
2004-09-01,200.2
2004-10-01,200.6
2004-11-01,200.3
2004-12-01,200.3
2005-01-01,201.7
2005-02-01,202.6
2005-03-01,203.4
2005-04-01,203.6
2005-05-01,204
2005-06-01,203.7
2005-07-01,204.2
2005-08-01,205
2005-09-01,205.9
2005-10-01,207.6
2005-11-01,207.5
2005-12-01,207.4
2006-01-01,209.9
2006-02-01,210.5
2006-03-01,211.3
2006-04-01,212
2006-05-01,212.6
2006-06-01,211.8
2006-07-01,212.6
2006-08-01,213.6
2006-09-01,215.1
2006-10-01,215.6
2006-11-01,215.6
2006-12-01,215.6
2007-01-01,217.496
2007-02-01,219.102
2007-03-01,219.554
2007-04-01,220.272
2007-05-01,220.834
2007-06-01,221.23
2007-07-01,221.742
2007-08-01,222.092
2007-09-01,222.521
2007-10-01,222.846
2007-11-01,222.485
2007-12-01,222.656
2008-01-01,224.348
2008-02-01,225.132
2008-03-01,226.351
2008-04-01,226.377
2008-05-01,227.271
2008-06-01,227.629
2008-07-01,228.864
2008-08-01,228.814
2008-09-01,228.805
2008-10-01,229.347
2008-11-01,228.38
2008-12-01,228.087
2009-01-01,229.03
2009-02-01,229.162
2009-03-01,229.441
2009-04-01,229.366
2009-05-01,229.484
2009-06-01,229.24
2009-07-01,228.901
2009-08-01,228.666
2009-09-01,228.269
2009-10-01,228.052
2009-11-01,226.352
2009-12-01,225.972
2010-01-01,226.228
2010-02-01,226.203
2010-03-01,225.932
2010-04-01,225.667
2010-05-01,226.209
2010-06-01,225.743
2010-07-01,225.928
2010-08-01,226.146
2010-09-01,225.803
2010-10-01,225.752
2010-11-01,225.194
2010-12-01,225.631
2011-01-01,226.344
2011-02-01,226.891
2011-03-01,227.2
2011-04-01,227.422
2011-05-01,228.269
2011-06-01,228.366
2011-07-01,228.861
2011-08-01,229.278
2011-09-01,229.487
2011-10-01,229.801
2011-11-01,229.244
2011-12-01,229.784
2012-01-01,230.442
2012-02-01,231.045
2012-03-01,231.487
2012-04-01,231.797
2012-05-01,232.514
2012-06-01,232.888
2012-07-01,233.294
2012-08-01,233.907
2012-09-01,234.072
2012-10-01,234.624
2012-11-01,234.321
2012-12-01,234.593
2013-01-01,235.561
2013-02-01,236.31
2013-03-01,236.863
2013-04-01,237.365
2013-05-01,238.581
2013-06-01,238.959
2013-07-01,239.295
2013-08-01,240.165
2013-09-01,240.573
2013-10-01,241.131
2013-11-01,240.972
2013-12-01,241.566
2014-01-01,242.381
2014-02-01,243.007
2014-03-01,243.713
2014-04-01,242.815
2014-05-01,245.24
2014-06-01,246.075
2014-07-01,247.034
2014-08-01,247.359
2014-09-01,248.005
2014-10-01,248.766
2014-11-01,248.633
2014-12-01,249.072
2015-01-01,250.123
2015-02-01,251.248
2015-03-01,251.885
2015-04-01,252.715
2015-05-01,253.79
2015-06-01,254.543
2015-07-01,255.592
2015-08-01,256.383
2015-09-01,256.858
2015-10-01,257.502
2015-11-01,257.121
2015-12-01,258.106
2016-01-01,259.985
2016-02-01,261.126
2016-03-01,261.671
2016-04-01,261.967
2016-05-01,263.822
2016-06-01,264.688
2016-07-01,265.868
2016-08-01,266.962
2016-09-01,268.004
2016-10-01,269.287
2016-11-01,269.068
2016-12-01,270.315
2017-01-01,271.486
2017-02-01,272.828
2017-03-01,273.355
2017-04-01,274.112
2017-05-01,275.281
2017-06-01,275.972
2017-07-01,277.11
2017-08-01,278.205
2017-09-01,278.592
2017-10-01,280.172
2017-11-01,279.617
2017-12-01,280.79
2018-01-01,282.103
2018-02-01,283.071
2018-03-01,283.968
2018-04-01,284.763
2018-05-01,285.962
2018-06-01,286.923
2018-07-01,287.898
2018-08-01,288.932
2018-09-01,289.398
2018-10-01,290.099
2018-11-01,290.141
2018-12-01,291.204
2019-01-01,292.683
2019-02-01,293.93
2019-03-01,295.049
2019-04-01,295.968
2019-05-01,297.487
2019-06-01,298.844
2019-07-01,300.107
2019-08-01,301
2019-09-01,301.774
2019-10-01,302.144
2019-11-01,301.908
2019-12-01,302.112
2020-01-01,303.45
2020-02-01,305.03
2020-03-01,304.886
2020-04-01,305.807
2020-05-01,307.387
2020-06-01,307.52
2020-07-01,308.454
2020-08-01,308.782
2020-09-01,308.769
2020-10-01,308.892
2020-11-01,308.596
2020-12-01,308.596
2021-01-01,309.31
2021-02-01,310.182
2021-03-01,311.022
2021-04-01,312.588
2021-05-01,314.363
2021-06-01,315.145
2021-07-01,316.374
2021-08-01,317.48
2021-09-01,319.019
2021-10-01,321.344
2021-11-01,322.805
2021-12-01,324.675
2022-01-01,327.42
2022-02-01,329.267
2022-03-01,331.428
2022-04-01,333.144
2022-05-01,335.311
2022-06-01,337.805
2022-07-01,339.184
2022-08-01,341.297
2022-09-01,343.325
2022-10-01,345.092
2022-11-01,346.277
2022-12-01,348.889
2023-01-01,353.857
2023-02-01,355.153
2023-03-01,356.733
2023-04-01,357.199
2023-05-01,358.482
2023-06-01,359.907
2023-07-01,361.07
2023-08-01,361.936
2023-09-01,363.16
2023-10-01,364.145
2023-11-01,364.859
