"Date","CUUR0000SEFS"
1982-05-01,96.4
1982-06-01,96.5
1982-07-01,96
1982-08-01,95.6
1982-09-01,95.6
1982-10-01,95.6
1982-11-01,95.7
1982-12-01,95.7
1983-01-01,96
1983-02-01,95.5
1983-03-01,95.6
1983-04-01,95.7
1983-05-01,95.6
1983-06-01,95.6
1983-07-01,95.8
1983-08-01,95.5
1983-09-01,98
1983-10-01,100.3
1983-11-01,101.9
1983-12-01,103
1984-01-01,103.5
1984-02-01,104
1984-03-01,103.9
1984-04-01,104.5
1984-05-01,104.7
1984-06-01,105.6
1984-07-01,107.8
1984-08-01,109.3
1984-09-01,109.2
1984-10-01,109.1
1984-11-01,108.4
1984-12-01,108.7
1985-01-01,109.5
1985-02-01,109.2
1985-03-01,109.1
1985-04-01,108.8
1985-05-01,108.8
1985-06-01,109.5
1985-07-01,110.2
1985-08-01,109.9
1985-09-01,109.1
1985-10-01,107.8
1985-11-01,108.1
1985-12-01,107.4
1986-01-01,108.1
1986-02-01,107.8
1986-03-01,107.4
1986-04-01,106.8
1986-05-01,106.3
1986-06-01,106.2
1986-07-01,106.3
1986-08-01,106.5
1986-09-01,105.7
1986-10-01,105.3
1986-11-01,105.6
1986-12-01,105.9
1987-01-01,108.5
1987-02-01,107.4
1987-03-01,109
1987-04-01,108
1987-05-01,108.5
1987-06-01,107.8
1987-07-01,108.4
1987-08-01,108.3
1987-09-01,107.8
1987-10-01,107.4
1987-11-01,108
1987-12-01,107.7
1988-01-01,108.5
1988-02-01,109.5
1988-03-01,110.3
1988-04-01,110.3
1988-05-01,111.2
1988-06-01,111.5
1988-07-01,112.6
1988-08-01,114.9
1988-09-01,115.9
1988-10-01,117.1
1988-11-01,117.1
1988-12-01,118.5
1989-01-01,119.6
1989-02-01,120.5
1989-03-01,120.4
1989-04-01,121.6
1989-05-01,121.6
1989-06-01,121.6
1989-07-01,121.6
1989-08-01,121.7
1989-09-01,121.3
1989-10-01,121.6
1989-11-01,121
1989-12-01,121.6
1990-01-01,123.5
1990-02-01,123.4
1990-03-01,124.2
1990-04-01,124.3
1990-05-01,125
1990-06-01,125.5
1990-07-01,126.6
1990-08-01,127.4
1990-09-01,128.2
1990-10-01,128.1
1990-11-01,128.8
1990-12-01,131
1991-01-01,132.4
1991-02-01,133.1
1991-03-01,132.5
1991-04-01,133
1991-05-01,132.6
1991-06-01,131.6
1991-07-01,131.6
1991-08-01,132.1
1991-09-01,131.1
1991-10-01,131.7
1991-11-01,129.8
1991-12-01,129.3
1992-01-01,130.7
1992-02-01,131.3
1992-03-01,129.8
1992-04-01,129.6
1992-05-01,130.4
1992-06-01,130.2
1992-07-01,129.9
1992-08-01,129.5
1992-09-01,129.9
1992-10-01,129.9
1992-11-01,128.5
1992-12-01,128.4
1993-01-01,130.2
1993-02-01,130.7
1993-03-01,130.2
1993-04-01,130.2
1993-05-01,129.4
1993-06-01,130.1
1993-07-01,130.4
1993-08-01,130.1
1993-09-01,130
1993-10-01,130
1993-11-01,129.2
1993-12-01,129.4
1994-01-01,131.3
1994-02-01,131.5
1994-03-01,132.6
1994-04-01,133.2
1994-05-01,133.4
1994-06-01,133.5
1994-07-01,135.1
1994-08-01,134.1
1994-09-01,134.2
1994-10-01,135
1994-11-01,134.3
1994-12-01,134.2
1995-01-01,136.4
1995-02-01,136.8
1995-03-01,136.8
1995-04-01,137.2
1995-05-01,137.1
1995-06-01,136.4
1995-07-01,138
1995-08-01,137.5
1995-09-01,137.4
1995-10-01,138.3
1995-11-01,137.8
1995-12-01,137.5
1996-01-01,139.7
1996-02-01,139.7
1996-03-01,140.1
1996-04-01,139.9
1996-05-01,140
1996-06-01,140.8
1996-07-01,140.5
1996-08-01,140.9
1996-09-01,141.5
1996-10-01,141.6
1996-11-01,140.8
1996-12-01,140.7
1997-01-01,142.3
1997-02-01,142.7
1997-03-01,142.4
1997-04-01,142.4
1997-05-01,142
1997-06-01,141.6
1997-07-01,141.4
1997-08-01,141.4
1997-09-01,142
1997-10-01,141.7
1997-11-01,140.4
1997-12-01,140.3
1998-01-01,140.5
1998-02-01,141.5
1998-03-01,142.2
1998-04-01,140.7
1998-05-01,141.2
1998-06-01,143.3
1998-07-01,147.6
1998-08-01,149.7
1998-09-01,152.4
1998-10-01,156.8
1998-11-01,155.1
1998-12-01,151.9
1999-01-01,150.5
1999-02-01,150.9
1999-03-01,149.4
1999-04-01,149
1999-05-01,147.2
1999-06-01,147.5
1999-07-01,148.1
1999-08-01,148.6
1999-09-01,148.5
1999-10-01,149
1999-11-01,145.3
1999-12-01,145.1
2000-01-01,147
2000-02-01,145.6
2000-03-01,145.9
2000-04-01,144.8
2000-05-01,147
2000-06-01,146.6
2000-07-01,148.1
2000-08-01,148.9
2000-09-01,148.7
2000-10-01,149.7
2000-11-01,146.5
2000-12-01,150.2
2001-01-01,153
2001-02-01,152.6
2001-03-01,153.1
2001-04-01,151.5
2001-05-01,154.7
2001-06-01,156.7
2001-07-01,157.8
2001-08-01,158.5
2001-09-01,158.5
2001-10-01,159.5
2001-11-01,155.6
2001-12-01,156.9
2002-01-01,158.3
2002-02-01,157.2
2002-03-01,156.4
2002-04-01,156.5
2002-05-01,155.9
2002-06-01,154.6
2002-07-01,154.9
2002-08-01,154.1
2002-09-01,155.3
2002-10-01,155.9
2002-11-01,153.4
2002-12-01,152.8
2003-01-01,155.8
2003-02-01,158.7
2003-03-01,157.5
2003-04-01,156.1
2003-05-01,157.6
2003-06-01,156.5
2003-07-01,156.3
2003-08-01,157.7
2003-09-01,157.6
2003-10-01,159.7
2003-11-01,157.3
2003-12-01,157.7
2004-01-01,160.7
2004-02-01,162.3
2004-03-01,166.2
2004-04-01,166.2
2004-05-01,169.4
2004-06-01,171.3
2004-07-01,171.9
2004-08-01,169.7
2004-09-01,170.4
2004-10-01,170.2
2004-11-01,167.8
2004-12-01,167.4
2005-01-01,170.4
2005-02-01,169.3
2005-03-01,167
2005-04-01,169.4
2005-05-01,167.8
2005-06-01,164.5
2005-07-01,167.3
2005-08-01,167.6
2005-09-01,169.4
2005-10-01,168.6
2005-11-01,166.2
2005-12-01,165.2
2006-01-01,169.9
2006-02-01,170.4
2006-03-01,168.5
2006-04-01,165
2006-05-01,168.6
2006-06-01,167.3
2006-07-01,166.9
2006-08-01,167.5
2006-09-01,167.9
2006-10-01,169.1
2006-11-01,168.1
2006-12-01,166.7
2007-01-01,170.152
2007-02-01,171.667
2007-03-01,170.851
2007-04-01,169.817
2007-05-01,171.495
2007-06-01,171.581
2007-07-01,173.691
2007-08-01,174.251
2007-09-01,174.105
2007-10-01,176.05
2007-11-01,175.327
2007-12-01,176.068
2008-01-01,181.813
2008-02-01,184.878
2008-03-01,182.808
2008-04-01,190.64
2008-05-01,193.364
2008-06-01,196.15
2008-07-01,201.205
2008-08-01,203.059
2008-09-01,206.274
2008-10-01,208.3
2008-11-01,205.806
2008-12-01,206.71
2009-01-01,206.886
2009-02-01,205.359
2009-03-01,204.776
2009-04-01,200.464
2009-05-01,200.679
2009-06-01,201.127
2009-07-01,201.031
2009-08-01,200.578
2009-09-01,200.009
2009-10-01,199.916
2009-11-01,196.473
2009-12-01,197.391
2010-01-01,200.22
2010-02-01,200.919
2010-03-01,198.567
2010-04-01,197.749
2010-05-01,199.51
2010-06-01,199.375
2010-07-01,200.506
2010-08-01,201.764
2010-09-01,201.971
2010-10-01,203.614
2010-11-01,202.375
2010-12-01,200.476
2011-01-01,207.813
2011-02-01,210.508
2011-03-01,214.352
2011-04-01,213.818
2011-05-01,216.37
2011-06-01,218.771
2011-07-01,221.325
2011-08-01,223.509
2011-09-01,224.77
2011-10-01,226.216
2011-11-01,224.907
2011-12-01,227.601
2012-01-01,234.252
2012-02-01,233.196
2012-03-01,233.411
2012-04-01,231.745
2012-05-01,233.294
2012-06-01,232.096
2012-07-01,232.067
2012-08-01,231.462
2012-09-01,233.223
2012-10-01,233.074
2012-11-01,231.588
2012-12-01,231.54
2013-01-01,234.392
2013-02-01,232.036
2013-03-01,230.109
2013-04-01,229.981
2013-05-01,230.074
2013-06-01,228.602
2013-07-01,228.407
2013-08-01,229.017
2013-09-01,228.267
2013-10-01,228.78
2013-11-01,226.04
2013-12-01,226.091
2014-01-01,228.464
2014-02-01,228.377
2014-03-01,229
2014-04-01,227.031
2014-05-01,228.333
2014-06-01,228.548
2014-07-01,230.577
2014-08-01,231.53
2014-09-01,232.775
2014-10-01,233.661
2014-11-01,229.251
2014-12-01,228.352
2015-01-01,230.228
2015-02-01,229.317
2015-03-01,226.324
2015-04-01,225.898
2015-05-01,226.094
2015-06-01,225.93
2015-07-01,225.298
2015-08-01,227.183
2015-09-01,228.236
2015-10-01,230.541
2015-11-01,225.426
2015-12-01,227.037
2016-01-01,228.469
2016-02-01,228.557
2016-03-01,226.859
2016-04-01,227.397
2016-05-01,226.022
2016-06-01,225.319
2016-07-01,226.242
2016-08-01,226.142
2016-09-01,226.961
2016-10-01,226.483
2016-11-01,219.908
2016-12-01,223.004
2017-01-01,224.516
2017-02-01,226.134
2017-03-01,227.109
2017-04-01,226.858
2017-05-01,228.485
2017-06-01,227.858
2017-07-01,230.603
2017-08-01,228.973
2017-09-01,229.868
2017-10-01,229.835
2017-11-01,225.967
2017-12-01,226.371
2018-01-01,228.205
2018-02-01,229.721
2018-03-01,227.486
2018-04-01,229.133
2018-05-01,228.072
2018-06-01,226.871
2018-07-01,229.367
2018-08-01,228.672
2018-09-01,229.393
2018-10-01,228.868
2018-11-01,225.395
2018-12-01,225.233
2019-01-01,228.536
2019-02-01,228.762
2019-03-01,229.087
2019-04-01,224.656
2019-05-01,228.817
2019-06-01,227.018
2019-07-01,226.63
2019-08-01,225.314
2019-09-01,226.372
2019-10-01,226.629
2019-11-01,223.277
2019-12-01,221.93
2020-01-01,227.123
2020-02-01,226.89
2020-03-01,228.497
2020-04-01,230.824
2020-05-01,231.069
2020-06-01,230.438
2020-07-01,231.628
2020-08-01,230.656
2020-09-01,231.286
2020-10-01,230.279
2020-11-01,226.69
2020-12-01,228.076
2021-01-01,231.62
2021-02-01,233.393
2021-03-01,232.023
2021-04-01,234.797
2021-05-01,237.089
2021-06-01,236.724
2021-07-01,240.931
2021-08-01,243.444
2021-09-01,247.322
2021-10-01,247.859
2021-11-01,247.314
2021-12-01,248.145
2022-01-01,256.387
2022-02-01,260.676
2022-03-01,266.583
2022-04-01,270.665
2022-05-01,277.206
2022-06-01,282.821
2022-07-01,290.957
2022-08-01,295.759
2022-09-01,300.642
2022-10-01,305.834
2022-11-01,301.174
2022-12-01,305.66
2023-01-01,310.036
2023-02-01,311.318
2023-03-01,309.071
2023-04-01,308.073
2023-05-01,309.98
2023-06-01,307.52
2023-07-01,309.399
2023-08-01,309.632
2023-09-01,308.824
2023-10-01,314.283
2023-11-01,310.139
