"Date","CUUR0000SAA2"
1956-06-01,55.3
1956-07-01,55.6
1956-08-01,55.7
1956-09-01,56.5
1956-10-01,56.8
1956-11-01,57
1956-12-01,56.9
1957-01-01,56.1
1957-02-01,55.7
1957-03-01,56.3
1957-04-01,56
1957-05-01,56
1957-06-01,55.9
1957-07-01,56
1957-08-01,56
1957-09-01,56.6
1957-10-01,57.1
1957-11-01,57.2
1957-12-01,56.8
1958-01-01,56
1958-02-01,56
1958-03-01,56
1958-04-01,55.7
1958-05-01,55.8
1958-06-01,55.9
1958-07-01,56
1958-08-01,55.9
1958-09-01,56.5
1958-10-01,56.8
1958-11-01,57.1
1958-12-01,56.8
1959-01-01,56
1959-02-01,56
1959-03-01,56.2
1959-04-01,56.1
1959-05-01,56.2
1959-06-01,56
1959-07-01,56
1959-08-01,56
1959-09-01,57
1959-10-01,57.5
1959-11-01,57.2
1959-12-01,56.9
1960-01-01,55.6
1960-02-01,56.3
1960-03-01,56.5
1960-04-01,56.5
1960-05-01,56.4
1960-06-01,56.2
1960-07-01,56.4
1960-08-01,56.6
1960-09-01,57.3
1960-10-01,57.8
1960-11-01,57.5
1960-12-01,57.3
1961-01-01,56.2
1961-02-01,56.5
1961-03-01,56.6
1961-04-01,56.2
1961-05-01,56.3
1961-06-01,56.4
1961-07-01,56.7
1961-08-01,56.8
1961-09-01,57.9
1961-10-01,58.1
1961-11-01,57.7
1961-12-01,57.5
1962-01-01,55.5
1962-02-01,55.8
1962-03-01,56.6
1962-04-01,56.5
1962-05-01,56.3
1962-06-01,56.6
1962-07-01,56.6
1962-08-01,56.3
1962-09-01,58.4
1962-10-01,58.6
1962-11-01,57.8
1962-12-01,57.2
1963-01-01,56.5
1963-02-01,56.7
1963-03-01,57
1963-04-01,57.1
1963-05-01,57
1963-06-01,57
1963-07-01,57
1963-08-01,57
1963-09-01,57.8
1963-10-01,58.3
1963-11-01,58.3
1963-12-01,58.2
1964-01-01,57.1
1964-02-01,57.3
1964-03-01,57.5
1964-04-01,57.6
1964-05-01,57.6
1964-06-01,57.6
1964-07-01,57.4
1964-08-01,57.1
1964-09-01,57.7
1964-10-01,57.9
1964-11-01,58.1
1964-12-01,58.2
1965-01-01,57.1
1965-02-01,57.4
1965-03-01,57.5
1965-04-01,57.8
1965-05-01,58.3
1965-06-01,58.3
1965-07-01,57.8
1965-08-01,57.8
1965-09-01,58.4
1965-10-01,58.8
1965-11-01,58.9
1965-12-01,58.8
1966-01-01,57.8
1966-02-01,58.1
1966-03-01,58.5
1966-04-01,58.7
1966-05-01,59.1
1966-06-01,59
1966-07-01,58.9
1966-08-01,58.4
1966-09-01,59.9
1966-10-01,60.5
1966-11-01,60.7
1966-12-01,60.9
1967-01-01,59.9
1967-02-01,60.4
1967-03-01,61
1967-04-01,61
1967-05-01,61.7
1967-06-01,61.8
1967-07-01,61.5
1967-08-01,61.3
1967-09-01,62.6
1967-10-01,63.5
1967-11-01,64
1967-12-01,64
1968-01-01,62.8
1968-02-01,63.3
1968-03-01,64
1968-04-01,64.5
1968-05-01,65.4
1968-06-01,65.6
1968-07-01,65.2
1968-08-01,65.3
1968-09-01,66.7
1968-10-01,67.7
1968-11-01,68
1968-12-01,68
1969-01-01,66.9
1969-02-01,67.2
1969-03-01,67.9
1969-04-01,68.2
1969-05-01,69
1969-06-01,69.1
1969-07-01,69
1969-08-01,68
1969-09-01,70.2
1969-10-01,71.1
1969-11-01,71.8
1969-12-01,71.6
1970-01-01,70
1970-02-01,70.6
1970-03-01,70.6
1970-04-01,70.5
1970-05-01,71.3
1970-06-01,71.4
1970-07-01,70.9
1970-08-01,70.8
1970-09-01,72.9
1970-10-01,73.9
1970-11-01,74.6
1970-12-01,74.6
1971-01-01,72.7
1971-02-01,73.4
1971-03-01,73.2
1971-04-01,73.5
1971-05-01,74.5
1971-06-01,74.2
1971-07-01,73.9
1971-08-01,73.2
1971-09-01,75.1
1971-10-01,76
1971-11-01,76.4
1971-12-01,76.3
1972-01-01,74.4
1972-02-01,75.3
1972-03-01,75.8
1972-04-01,75.7
1972-05-01,76.4
1972-06-01,75.9
1972-07-01,75
1972-08-01,74.2
1972-09-01,76.7
1972-10-01,77.9
1972-11-01,78.3
1972-12-01,78.3
1973-01-01,75.7
1973-02-01,76.3
1973-03-01,77.5
1973-04-01,78
1973-05-01,78.8
1973-06-01,78.7
1973-07-01,77.7
1973-08-01,78
1973-09-01,80.2
1973-10-01,81.4
1973-11-01,81.8
1973-12-01,81.6
1974-01-01,79.1
1974-02-01,80.5
1974-03-01,81.5
1974-04-01,82
1974-05-01,82.8
1974-06-01,82.7
1974-07-01,82.3
1974-08-01,84.6
1974-09-01,85.9
1974-10-01,86.8
1974-11-01,87.6
1974-12-01,86.7
1975-01-01,83.6
1975-02-01,83.8
1975-03-01,84.3
1975-04-01,84.2
1975-05-01,84.6
1975-06-01,84.4
1975-07-01,84.5
1975-08-01,85.9
1975-09-01,86.6
1975-10-01,87.7
1975-11-01,88.3
1975-12-01,88
1976-01-01,85.5
1976-02-01,85.6
1976-03-01,85.7
1976-04-01,86.2
1976-05-01,87
1976-06-01,87.2
1976-07-01,86.8
1976-08-01,88
1976-09-01,89.8
1976-10-01,90.5
1976-11-01,91.2
1976-12-01,90.9
1977-01-01,88.5
1977-02-01,88.7
1977-03-01,88.7
1977-04-01,88.9
1977-05-01,89.6
1977-06-01,90.4
1977-07-01,90.1
1977-08-01,91
1977-09-01,92
1977-10-01,93
1977-11-01,93.7
1977-12-01,93.1
1978-01-01,90.4
1978-02-01,88.3
1978-03-01,90
1978-04-01,92.2
1978-05-01,93.3
1978-06-01,92.9
1978-07-01,90.6
1978-08-01,92.3
1978-09-01,94.3
1978-10-01,95.3
1978-11-01,95.4
1978-12-01,93.9
1979-01-01,90.9
1979-02-01,91.4
1979-03-01,94
1979-04-01,94.4
1979-05-01,94.8
1979-06-01,93.4
1979-07-01,91.5
1979-08-01,93.7
1979-09-01,96.5
1979-10-01,96.3
1979-11-01,96
1979-12-01,95.7
1980-01-01,93.8
1980-02-01,93.5
1980-03-01,96.3
1980-04-01,96.5
1980-05-01,95.4
1980-06-01,94.7
1980-07-01,93.2
1980-08-01,95.2
1980-09-01,98.4
1980-10-01,98.9
1980-11-01,99
1980-12-01,97.4
1981-01-01,94.2
1981-02-01,95
1981-03-01,97.5
1981-04-01,98.3
1981-05-01,97.3
1981-06-01,96.2
1981-07-01,95
1981-08-01,97.7
1981-09-01,100.9
1981-10-01,99.8
1981-11-01,99.4
1981-12-01,98.8
1982-01-01,95.5
1982-02-01,95.8
1982-03-01,99.2
1982-04-01,99.6
1982-05-01,98.5
1982-06-01,97.4
1982-07-01,95.7
1982-08-01,98.6
1982-09-01,101.3
1982-10-01,100.9
1982-11-01,100.4
1982-12-01,98.8
1983-01-01,95.3
1983-02-01,96.4
1983-03-01,99.1
1983-04-01,99.4
1983-05-01,99.1
1983-06-01,98.9
1983-07-01,98.3
1983-08-01,101.7
1983-09-01,104.5
1983-10-01,104.4
1983-11-01,103.4
1983-12-01,102.1
1984-01-01,98.3
1984-02-01,98.4
1984-03-01,101.1
1984-04-01,101
1984-05-01,100.2
1984-06-01,97.8
1984-07-01,96.7
1984-08-01,101
1984-09-01,105.6
1984-10-01,106.6
1984-11-01,105.5
1984-12-01,103.5
1985-01-01,99.9
1985-02-01,101.6
1985-03-01,105.2
1985-04-01,105.3
1985-05-01,104
1985-06-01,103.1
1985-07-01,101.2
1985-08-01,103.8
1985-09-01,109
1985-10-01,110.1
1985-11-01,109.3
1985-12-01,106.9
1986-01-01,101.8
1986-02-01,101.2
1986-03-01,103.8
1986-04-01,104
1986-05-01,102.1
1986-06-01,99.9
1986-07-01,98.9
1986-08-01,103.5
1986-09-01,108.8
1986-10-01,109.2
1986-11-01,108.3
1986-12-01,106.3
1987-01-01,103.1
1987-02-01,103.9
1987-03-01,109.6
1987-04-01,112.8
1987-05-01,111.2
1987-06-01,107.6
1987-07-01,104.2
1987-08-01,108.4
1987-09-01,115.3
1987-10-01,118.3
1987-11-01,117.7
1987-12-01,112.6
1988-01-01,108.2
1988-02-01,107.8
1988-03-01,115.3
1988-04-01,119.6
1988-05-01,117.3
1988-06-01,114.1
1988-07-01,109.8
1988-08-01,109.9
1988-09-01,118.1
1988-10-01,121.9
1988-11-01,120.2
1988-12-01,116.5
1989-01-01,111.6
1989-02-01,111.4
1989-03-01,119.4
1989-04-01,121.5
1989-05-01,119.5
1989-06-01,114.8
1989-07-01,109.6
1989-08-01,109.5
1989-09-01,119
1989-10-01,123.1
1989-11-01,121.3
1989-12-01,116.4
1990-01-01,112
1990-02-01,117.7
1990-03-01,126.8
1990-04-01,127.9
1990-05-01,124.7
1990-06-01,120.9
1990-07-01,116.1
1990-08-01,118.9
1990-09-01,127
1990-10-01,128.6
1990-11-01,126.6
1990-12-01,123.5
1991-01-01,120.7
1991-02-01,125.3
1991-03-01,129.5
1991-04-01,129.9
1991-05-01,128.1
1991-06-01,124.7
1991-07-01,121.7
1991-08-01,125.3
1991-09-01,131.3
1991-10-01,132.8
1991-11-01,132.9
1991-12-01,128.4
1992-01-01,125
1992-02-01,128.2
1992-03-01,133.6
1992-04-01,133.1
1992-05-01,132.6
1992-06-01,128.2
1992-07-01,125.1
1992-08-01,127.5
1992-09-01,132.6
1992-10-01,135.1
1992-11-01,134.3
1992-12-01,129.1
1993-01-01,125.7
1993-02-01,133.1
1993-03-01,138.4
1993-04-01,138.6
1993-05-01,134.5
1993-06-01,129.1
1993-07-01,125
1993-08-01,130
1993-09-01,134.2
1993-10-01,136
1993-11-01,135.5
1993-12-01,130.6
1994-01-01,127
1994-02-01,131.1
1994-03-01,137.2
1994-04-01,137.4
1994-05-01,135.1
1994-06-01,131.6
1994-07-01,125.7
1994-08-01,125.5
1994-09-01,131.1
1994-10-01,133.4
1994-11-01,130.5
1994-12-01,125.7
1995-01-01,123
1995-02-01,125.9
1995-03-01,131.5
1995-04-01,132.2
1995-05-01,129.6
1995-06-01,124.4
1995-07-01,121.1
1995-08-01,123.5
1995-09-01,126.9
1995-10-01,130.6
1995-11-01,129.5
1995-12-01,124.7
1996-01-01,123.4
1996-02-01,124.6
1996-03-01,129.9
1996-04-01,130.2
1996-05-01,127.7
1996-06-01,122.8
1996-07-01,118.5
1996-08-01,118.1
1996-09-01,123.6
1996-10-01,127.1
1996-11-01,126.7
1996-12-01,123.3
1997-01-01,121.5
1997-02-01,126.1
1997-03-01,130.1
1997-04-01,131.9
1997-05-01,129.9
1997-06-01,125.6
1997-07-01,121.1
1997-08-01,120.3
1997-09-01,126
1997-10-01,128.3
1997-11-01,128.8
1997-12-01,123.6
1998-01-01,120.2
1998-02-01,124.3
1998-03-01,129.9
1998-04-01,130.9
1998-05-01,129.7
1998-06-01,125.8
1998-07-01,120.6
1998-08-01,123.8
1998-09-01,127.8
1998-10-01,128.8
1998-11-01,127.5
1998-12-01,122.4
1999-01-01,117.7
1999-02-01,120.6
1999-03-01,126.3
1999-04-01,128.7
1999-05-01,127.3
1999-06-01,122.6
1999-07-01,116.1
1999-08-01,117.9
1999-09-01,125.4
1999-10-01,128.4
1999-11-01,126.6
1999-12-01,121.8
2000-01-01,116
2000-02-01,120
2000-03-01,125.9
2000-04-01,126.7
2000-05-01,124.4
2000-06-01,119.2
2000-07-01,113.9
2000-08-01,115.6
2000-09-01,124.2
2000-10-01,127.9
2000-11-01,124.8
2000-12-01,119.7
2001-01-01,115.5
2001-02-01,121
2001-03-01,127.8
2001-04-01,127
2001-05-01,122.3
2001-06-01,117.5
2001-07-01,111.6
2001-08-01,112.1
2001-09-01,120.3
2001-10-01,122.1
2001-11-01,119.4
2001-12-01,114.8
2002-01-01,109.7
2002-02-01,115.3
2002-03-01,121.3
2002-04-01,122.2
2002-05-01,119.4
2002-06-01,113.7
2002-07-01,107.6
2002-08-01,111
2002-09-01,118
2002-10-01,120.5
2002-11-01,118
2002-12-01,113.1
2003-01-01,107.6
2003-02-01,112.4
2003-03-01,117.2
2003-04-01,117.8
2003-05-01,115.5
2003-06-01,111.3
2003-07-01,106.1
2003-08-01,107.9
2003-09-01,115.5
2003-10-01,118.8
2003-11-01,115.7
2003-12-01,110.9
2004-01-01,105.7
2004-02-01,110.3
2004-03-01,117.6
2004-04-01,118.7
2004-05-01,116.9
2004-06-01,112.3
2004-07-01,106.1
2004-08-01,107.5
2004-09-01,114.4
2004-10-01,119.2
2004-11-01,116.8
2004-12-01,110
2005-01-01,105.1
2005-02-01,109.3
2005-03-01,117.1
2005-04-01,116.6
2005-05-01,114.2
2005-06-01,109.1
2005-07-01,102.8
2005-08-01,105.1
2005-09-01,112.3
2005-10-01,115.1
2005-11-01,113.9
2005-12-01,108.9
2006-01-01,103
2006-02-01,106.3
2006-03-01,115
2006-04-01,116.3
2006-05-01,114.4
2006-06-01,110.3
2006-07-01,102.3
2006-08-01,105.7
2006-09-01,114.6
2006-10-01,116.4
2006-11-01,113.9
2006-12-01,110.2
2007-01-01,105.891
2007-02-01,110.871
2007-03-01,116.911
2007-04-01,117.118
2007-05-01,114.444
2007-06-01,107.826
2007-07-01,101.291
2007-08-01,103.237
2007-09-01,110.973
2007-10-01,113.402
2007-11-01,112.166
2007-12-01,109.418
2008-01-01,104.367
2008-02-01,106.34
2008-03-01,110.645
2008-04-01,111.221
2008-05-01,108.722
2008-06-01,104.312
2008-07-01,100.049
2008-08-01,104.211
2008-09-01,111.774
2008-10-01,111.833
2008-11-01,110.588
2008-12-01,105.456
2009-01-01,100.638
2009-02-01,105.777
2009-03-01,111.079
2009-04-01,111.871
2009-05-01,109.46
2009-06-01,106.455
2009-07-01,101.688
2009-08-01,103.991
2009-09-01,112.535
2009-10-01,113.838
2009-11-01,111.46
2009-12-01,108.304
2010-01-01,103.353
2010-02-01,106.818
2010-03-01,111.73
2010-04-01,110.816
2010-05-01,108.686
2010-06-01,104.746
2010-07-01,100.659
2010-08-01,102.702
2010-09-01,109.217
2010-10-01,110.723
2010-11-01,109.778
2010-12-01,105.739
2011-01-01,102.438
2011-02-01,105.076
2011-03-01,109.544
2011-04-01,110.144
2011-05-01,109.237
2011-06-01,106.746
2011-07-01,103.349
2011-08-01,107.78
2011-09-01,113.304
2011-10-01,115.851
2011-11-01,115.603
2011-12-01,110.918
2012-01-01,107.644
2012-02-01,110.044
2012-03-01,115.566
2012-04-01,116.905
2012-05-01,115.35
2012-06-01,111.471
2012-07-01,106.499
2012-08-01,107.666
2012-09-01,115.789
2012-10-01,119.833
2012-11-01,117.143
2012-12-01,111.974
2013-01-01,109.437
2013-02-01,112.222
2013-03-01,115.81
2013-04-01,115.217
2013-05-01,112.921
2013-06-01,109.9
2013-07-01,107.612
2013-08-01,110.83
2013-09-01,117.077
2013-10-01,118.373
2013-11-01,116.713
2013-12-01,113.944
2014-01-01,110.597
2014-02-01,112.255
2014-03-01,117.47
2014-04-01,118.029
2014-05-01,116.414
2014-06-01,113.742
2014-07-01,108.506
2014-08-01,111.481
2014-09-01,117.584
2014-10-01,120.116
2014-11-01,116.28
2014-12-01,109.866
2015-01-01,107.439
2015-02-01,109.51
2015-03-01,114.671
2015-04-01,115.377
2015-05-01,112.514
2015-06-01,109.62
2015-07-01,106.128
2015-08-01,109.103
2015-09-01,114.315
2015-10-01,115.913
2015-11-01,112.578
2015-12-01,107.397
2016-01-01,105.148
2016-02-01,109.5
2016-03-01,114.559
2016-04-01,114.226
2016-05-01,112.846
2016-06-01,111.29
2016-07-01,106.683
2016-08-01,108.215
2016-09-01,114.313
2016-10-01,116.717
2016-11-01,113.624
2016-12-01,107.763
2017-01-01,106.73
2017-02-01,110.227
2017-03-01,115.827
2017-04-01,115.374
2017-05-01,111.732
2017-06-01,109.917
2017-07-01,107.046
2017-08-01,108.996
2017-09-01,114.014
2017-10-01,116.221
2017-11-01,111.001
2017-12-01,105.186
2018-01-01,106.651
2018-02-01,111.674
2018-03-01,114.624
2018-04-01,116.016
2018-05-01,114.566
2018-06-01,110.839
2018-07-01,105.618
2018-08-01,105.799
2018-09-01,112.851
2018-10-01,113.72
2018-11-01,109.128
2018-12-01,103.815
2019-01-01,104.835
2019-02-01,107.606
2019-03-01,109.631
2019-04-01,110.148
2019-05-01,108.082
2019-06-01,106.794
2019-07-01,104.106
2019-08-01,105.731
2019-09-01,109.598
2019-10-01,107.698
2019-11-01,105.181
2019-12-01,101.556
2020-01-01,101.628
2020-02-01,106.218
2020-03-01,106.796
2020-04-01,101.651
2020-05-01,96.654
2020-06-01,95.961
2020-07-01,94.209
2020-08-01,96.492
2020-09-01,101.725
2020-10-01,101.854
2020-11-01,97.974
2020-12-01,95.581
2021-01-01,98.301
2021-02-01,101.743
2021-03-01,101.877
2021-04-01,101.321
2021-05-01,101.288
2021-06-01,101.006
2021-07-01,98.539
2021-08-01,99.943
2021-09-01,102.298
2021-10-01,103.96
2021-11-01,101.275
2021-12-01,99.745
2022-01-01,101.805
2022-02-01,106.733
2022-03-01,108.263
2022-04-01,106.563
2022-05-01,105.491
2022-06-01,104.214
2022-07-01,102.536
2022-08-01,105.386
2022-09-01,110.048
2022-10-01,110.561
2022-11-01,106.94
2022-12-01,103.861
2023-01-01,105.574
2023-02-01,111.282
2023-03-01,112.658
2023-04-01,111.052
2023-05-01,110.371
2023-06-01,108.642
2023-07-01,106.767
2023-08-01,109.544
2023-09-01,112.025
2023-10-01,111.999
2023-11-01,107.06
