"Date","CWUR0000SEHG"
2016-03-01,220.344
2016-04-01,221.122
2016-05-01,221.882
2016-06-01,221.96
2016-07-01,221.974
2016-08-01,223.105
2016-09-01,223.68
2016-10-01,224.011
2016-11-01,225.034
2016-12-01,225.298
2017-01-01,226.967
2017-02-01,227.833
2017-03-01,228.142
2017-04-01,228.626
2017-05-01,228.923
2017-06-01,229.088
2017-07-01,229.472
2017-08-01,230.236
2017-09-01,230.608
2017-10-01,230.937
2017-11-01,231.986
2017-12-01,232.385
2018-01-01,233.42
2018-02-01,234.275
2018-03-01,234.605
2018-04-01,235.575
2018-05-01,236.34
2018-06-01,236.924
2018-07-01,237.619
2018-08-01,238.771
2018-09-01,238.821
2018-10-01,239.226
2018-11-01,242.564
2018-12-01,243.044
2019-01-01,242.1
2019-02-01,242.276
2019-03-01,242.863
2019-04-01,243.684
2019-05-01,243.958
2019-06-01,244.359
2019-07-01,245.112
2019-08-01,245.716
2019-09-01,246.007
2019-10-01,246.958
2019-11-01,247.562
2019-12-01,247.76
2020-01-01,249.204
2020-02-01,249.945
2020-03-01,250.543
2020-04-01,250.873
2020-05-01,251.109
2020-06-01,251.593
2020-07-01,252.608
2020-08-01,254.015
2020-09-01,254.249
2020-10-01,254.72
2020-11-01,255.603
2020-12-01,256.417
2021-01-01,257.765
2021-02-01,258.752
2021-03-01,259.196
2021-04-01,259.63
2021-05-01,259.648
2021-06-01,260.5
2021-07-01,261.884
2021-08-01,262.806
2021-09-01,263.657
2021-10-01,264.208
2021-11-01,264.575
2021-12-01,265.336
2022-01-01,268.466
2022-02-01,269.715
2022-03-01,269.712
2022-04-01,270.29
2022-05-01,270.672
2022-06-01,271.664
2022-07-01,273.028
2022-08-01,275.006
2022-09-01,276.151
2022-10-01,276.234
2022-11-01,277.201
2022-12-01,277.86
2023-01-01,280.958
2023-02-01,283.183
2023-03-01,283.681
2023-04-01,284.641
2023-05-01,286.104
2023-06-01,287.251
2023-07-01,288.344
2023-08-01,290.173
2023-09-01,290.631
2023-10-01,291.024
2023-11-01,291.813
