"Date","CUSR0000SERF01"
2016-03-01,131.664
2016-04-01,132.796
2016-05-01,132.334
2016-06-01,132.834
2016-07-01,132.198
2016-08-01,131.934
2016-09-01,133.01
2016-10-01,132.993
2016-11-01,133.789
2016-12-01,133.083
2017-01-01,132.751
2017-02-01,134.398
2017-03-01,134.381
2017-04-01,133.96
2017-05-01,134.226
2017-06-01,134.452
2017-07-01,135.363
2017-08-01,136.08
2017-09-01,136.148
2017-10-01,137.016
2017-11-01,136.893
2017-12-01,138.108
2018-01-01,138.316
2018-02-01,137.874
2018-03-01,138.748
2018-04-01,137.973
2018-05-01,138.208
2018-06-01,138.376
2018-07-01,138.538
2018-08-01,139.263
2018-09-01,139.35
2018-10-01,139.847
2018-11-01,141.997
2018-12-01,141.454
2019-01-01,142.221
2019-02-01,143.416
2019-03-01,143.262
2019-04-01,143.983
2019-05-01,140.975
2019-06-01,140.561
2019-07-01,141.982
2019-08-01,142.489
2019-09-01,141.79
2019-10-01,143.243
2019-11-01,144.777
2019-12-01,145.706
2020-01-01,146.473
2020-02-01,146.023
2020-03-01,147.256
2020-04-01,147.657
2020-05-01,151.327
2020-06-01,145.961
2020-07-01,139.042
2020-08-01,139.393
2020-09-01,143.042
2020-10-01,144.308
2020-11-01,144.728
2020-12-01,145.185
2021-01-01,145.086
2021-02-01,145.5
2021-03-01,145.734
2021-04-01,146.026
2021-05-01,145.417
2021-06-01,145.415
2021-07-01,146.031
2021-08-01,146.267
2021-09-01,146.223
2021-10-01,146.754
2021-11-01,146.886
2021-12-01,147.742
2022-01-01,148.622
2022-02-01,149.004
2022-03-01,149.578
2022-04-01,150.116
2022-05-01,150.851
2022-06-01,150.466
2022-07-01,151.033
2022-08-01,151.627
2022-09-01,152.253
2022-10-01,154.097
2022-11-01,154.341
2022-12-01,155.473
2023-01-01,156.205
2023-02-01,157.391
2023-03-01,156.758
2023-04-01,156.862
2023-05-01,157.337
2023-06-01,157.093
2023-07-01,158.392
2023-08-01,158.565
2023-09-01,158.294
2023-10-01,157.242
2023-11-01,157.502
