"Date","M04072US000MAM324NNBR"
1922-05-01,154.9
1922-06-01,155
1922-07-01,156.2
1922-08-01,155.3
1922-09-01,155.4
1922-10-01,156.6
1922-11-01,157.7
1922-12-01,157.5
1923-01-01,157.1
1923-02-01,158.5
1923-03-01,157.5
1923-04-01,158.5
1923-05-01,159.1
1923-06-01,158.9
1923-07-01,160.1
1923-08-01,159.5
1923-09-01,160.3
1923-10-01,161.6
1923-11-01,160.5
1923-12-01,161.3
1924-01-01,160.1
1924-02-01,159.7
1924-03-01,159.2
1924-04-01,157.7
1924-05-01,157.6
1924-06-01,157.7
1924-07-01,157.8
1924-08-01,158.4
1924-09-01,160.5
1924-10-01,160.3
1924-11-01,159.8
1924-12-01,161.2
1925-01-01,161.5
1925-02-01,160.6
1925-03-01,161.6
1925-04-01,161.1
1925-05-01,161.2
1925-06-01,162.8
1925-07-01,163.4
1925-08-01,164.4
1925-09-01,163.9
1925-10-01,165.1
1925-11-01,165.9
1925-12-01,168
1926-01-01,167
1926-02-01,166.6
1926-03-01,163.9
1926-04-01,164.5
1926-05-01,162.3
1926-06-01,162.5
1926-07-01,161.9
1926-08-01,160.9
1926-09-01,161.3
1926-10-01,161.8
1926-11-01,162.1
1926-12-01,162.3
1927-01-01,161.2
1927-02-01,160.3
1927-03-01,159
1927-04-01,159.2
1927-05-01,159.9
1927-06-01,159.7
1927-07-01,158.6
1927-08-01,158
1927-09-01,158.2
1927-10-01,158
1927-11-01,159.3
1927-12-01,159.5
1928-01-01,159.6
1928-02-01,158.9
1928-03-01,158
1928-04-01,158.4
1928-05-01,159.6
1928-06-01,158.7
1928-07-01,160.5
1928-08-01,160.3
1928-09-01,161.9
1928-10-01,160.5
1928-11-01,160.5
1928-12-01,160
1929-01-01,160.5
1929-02-01,159
1929-03-01,160
1929-04-01,159.8
1929-05-01,160.2
1929-06-01,159.6
1929-07-01,161.1
1929-08-01,162.5
1929-09-01,161.9
1929-10-01,161.7
1929-11-01,160.7
1929-12-01,160.6
1930-01-01,159.4
1930-02-01,158.9
1930-03-01,157
1930-04-01,157.1
1930-05-01,156.4
1930-06-01,155
1930-07-01,154.2
1930-08-01,153.7
1930-09-01,153.9
1930-10-01,153.4
1930-11-01,151.2
1930-12-01,149.9
1931-01-01,148.6
1931-02-01,143.9
1931-03-01,143.3
1931-04-01,141.5
1931-05-01,141.1
1931-06-01,140.2
1931-07-01,145
1931-08-01,140.4
1931-09-01,140.7
1931-10-01,139.3
1931-11-01,137.5
1931-12-01,135.7
1932-01-01,134
1932-02-01,131.6
1932-03-01,130.8
1932-04-01,129.3
1932-05-01,127.5
1932-06-01,125.8
1932-07-01,128.5
1932-08-01,128.5
1932-09-01,125.2
1932-10-01,124.7
1932-11-01,122.7
1932-12-01,122.8
1933-01-01,121.2
1933-02-01,119.8
1933-03-01,118.5
1933-04-01,118.9
1933-05-01,119.7
1933-06-01,121
1933-07-01,124.3
1933-08-01,125.7
1933-09-01,127.4
1933-10-01,128.8
1933-11-01,128.7
1933-12-01,128.2
1934-01-01,128.8
1934-02-01,130.3
1934-03-01,131.1
1934-04-01,130.8
1934-05-01,131.6
1934-06-01,131.9
1934-07-01,132.9
1934-08-01,133.6
1934-09-01,135
1934-10-01,135
1934-11-01,134.7
1934-12-01,133.9
1935-01-01,135.8
1935-02-01,137.4
1935-03-01,138
1935-04-01,138
1935-05-01,137.8
1935-06-01,137
1935-07-01,137.4
1935-08-01,138.7
1935-09-01,139.7
1935-10-01,139.1
1935-11-01,139.3
1935-12-01,138.6
1936-01-01,137
1936-02-01,137.5
1936-03-01,136.9
1936-04-01,136.3
1936-05-01,137.4
1936-06-01,137.6
1936-07-01,138.4
1936-08-01,137.8
1936-09-01,138
1936-10-01,136.9
1936-11-01,137.7
1936-12-01,139.4
1937-01-01,140.5
1937-02-01,140.9
1937-03-01,141.7
1937-04-01,140.7
1937-05-01,141
1937-06-01,142.6
1937-07-01,143.5
1937-08-01,145.5
1937-09-01,146.3
1937-10-01,145
1937-11-01,143.9
1937-12-01,142.1
1938-01-01,141.8
1938-02-01,139.2
1938-03-01,139.8
1938-04-01,139.2
1938-05-01,138.9
1938-06-01,139.9
1938-07-01,140.8
1938-08-01,140.4
1938-09-01,140.7
1938-10-01,140.2
1938-11-01,139.7
1938-12-01,139.6
1939-01-01,139.1
1939-02-01,139
1939-03-01,138.4
1939-04-01,139.1
1939-05-01,138.4
1939-06-01,137.6
1939-07-01,138.3
1939-08-01,138.2
1939-09-01,141.1
1939-10-01,140.4
1939-11-01,136.1
1939-12-01,136.5
1940-01-01,137.2
1940-02-01,136.9
1940-03-01,136.2
1940-04-01,136.9
1940-05-01,136.2
1940-06-01,136.9
1940-07-01,137.4
1940-08-01,137.5
1940-09-01,138.1
1940-10-01,137.6
1940-11-01,137.4
1940-12-01,137.6
1941-01-01,137.6
1941-02-01,137.5
1941-03-01,137.3
1941-04-01,138.9
1941-05-01,140.4
1941-06-01,142.2
1941-07-01,143.1
1941-08-01,143.9
1941-09-01,145.7
1941-10-01,146.3
1941-11-01,147.2
1941-12-01,147.2
1942-01-01,149.7
1942-02-01,153.8
1942-03-01,154.2
1942-04-01,155.8
1942-05-01,156.3
1942-06-01,156.7
1942-07-01,158.7
1942-08-01,158.7
1942-09-01,158.8
1942-10-01,159.9
1942-11-01,162.2
1942-12-01,162.4
1943-01-01,162.7
1943-02-01,164.2
1943-03-01,165.1
1943-04-01,165.8
1943-05-01,167.8
1943-06-01,165.9
1943-07-01,163.6
1943-08-01,163.3
1943-09-01,163.3
1943-10-01,164
1943-11-01,164.8
1943-12-01,164.7
