"Date","CUUR0300SAC"
2008-07-01,182.624
2008-08-01,180.273
2008-09-01,180.861
2008-10-01,176.426
2008-11-01,167.737
2008-12-01,163.721
2009-01-01,164.4
2009-02-01,166.25
2009-03-01,167.368
2009-04-01,168.666
2009-05-01,169.818
2009-06-01,172.653
2009-07-01,171.777
2009-08-01,172.088
2009-09-01,171.77
2009-10-01,172.986
2009-11-01,174.35
2009-12-01,173.865
2010-01-01,175.051
2010-02-01,175.091
2010-03-01,176.472
2010-04-01,176.82
2010-05-01,176.586
2010-06-01,174.866
2010-07-01,174.178
2010-08-01,174.649
2010-09-01,175.234
2010-10-01,176.197
2010-11-01,176.28
2010-12-01,177.134
2011-01-01,178.789
2011-02-01,180.237
2011-03-01,184.635
2011-04-01,187.378
2011-05-01,188.925
2011-06-01,186.699
2011-07-01,186.829
2011-08-01,187.552
2011-09-01,187.163
2011-10-01,186.51
2011-11-01,186.215
2011-12-01,184.78
2012-01-01,186.219
2012-02-01,188.6
2012-03-01,191.202
2012-04-01,192.462
2012-05-01,190.123
2012-06-01,187.647
2012-07-01,186.881
2012-08-01,189.172
2012-09-01,190.961
2012-10-01,190.27
2012-11-01,187.593
2012-12-01,186.531
2013-01-01,187.395
2013-02-01,190.462
2013-03-01,191.44
2013-04-01,190.21
2013-05-01,189.718
2013-06-01,189.821
2013-07-01,190.005
2013-08-01,190.279
2013-09-01,189.907
2013-10-01,189.226
2013-11-01,187.855
2013-12-01,187.962
2014-01-01,188.123
2014-02-01,188.78
2014-03-01,190.397
2014-04-01,192.463
2014-05-01,192.429
2014-06-01,191.94
2014-07-01,191.107
2014-08-01,190.079
2014-09-01,190.179
2014-10-01,189.105
2014-11-01,186.334
2014-12-01,183.139
2015-01-01,179.157
2015-02-01,180.661
2015-03-01,182.729
2015-04-01,183.405
2015-05-01,184.788
2015-06-01,185.371
2015-07-01,184.195
2015-08-01,182.861
2015-09-01,181.614
2015-10-01,181.512
2015-11-01,180.266
2015-12-01,178.113
2016-01-01,177.079
2016-02-01,176.861
2016-03-01,178.844
2016-04-01,180.223
2016-05-01,180.903
2016-06-01,181.185
2016-07-01,179.674
2016-08-01,179.538
2016-09-01,180.284
2016-10-01,180.964
2016-11-01,179.728
2016-12-01,179.734
2017-01-01,181.182
2017-02-01,180.946
2017-03-01,181.296
2017-04-01,182.288
2017-05-01,181.519
2017-06-01,180.943
2017-07-01,179.861
2017-08-01,180.686
2017-09-01,183.782
2017-10-01,182.389
2017-11-01,181.684
2017-12-01,180.85
2018-01-01,182.22
2018-02-01,183.375
2018-03-01,183.844
2018-04-01,185.243
2018-05-01,186.23
2018-06-01,186.232
2018-07-01,185.807
2018-08-01,185.429
2018-09-01,185.24
2018-10-01,185.781
2018-11-01,183.621
2018-12-01,180.668
2019-01-01,180.98
2019-02-01,182.39
2019-03-01,184.978
2019-04-01,186.863
2019-05-01,186.256
2019-06-01,184.721
2019-07-01,185.556
2019-08-01,184.5
2019-09-01,183.791
2019-10-01,184.051
2019-11-01,183.514
2019-12-01,183.096
2020-01-01,183.681
2020-02-01,183.639
2020-03-01,182.934
2020-04-01,180.342
2020-05-01,179.915
2020-06-01,181.866
2020-07-01,182.854
2020-08-01,183.915
2020-09-01,184.581
2020-10-01,184.829
2020-11-01,183.795
2020-12-01,184.216
2021-01-01,186.048
2021-02-01,187.809
2021-03-01,190.59
2021-04-01,193.144
2021-05-01,195.86
2021-06-01,199.052
2021-07-01,200.14
2021-08-01,200.636
2021-09-01,201.358
2021-10-01,204.842
2021-11-01,206.45
2021-12-01,207.337
2022-01-01,209.741
2022-02-01,212.992
2022-03-01,218.696
2022-04-01,218.958
2022-05-01,222.542
2022-06-01,227.101
2022-07-01,225.024
2022-08-01,221.977
2022-09-01,220.461
2022-10-01,220.976
2022-11-01,219.757
2022-12-01,216.564
2023-01-01,218.744
2023-02-01,219.903
2023-03-01,220.572
2023-04-01,223.151
2023-05-01,222.906
2023-06-01,222.979
2023-07-01,223.169
2023-08-01,224.824
2023-09-01,223.808
2023-10-01,222.064
2023-11-01,219.908
