"Date","CUUR0400SA0L1E"
1992-02-01,146.4
1992-03-01,147.1
1992-04-01,147.2
1992-05-01,147.1
1992-06-01,147.1
1992-07-01,147.5
1992-08-01,147.8
1992-09-01,148.4
1992-10-01,149.4
1992-11-01,149.8
1992-12-01,149.8
1993-01-01,150.5
1993-02-01,151.3
1993-03-01,151.3
1993-04-01,151.9
1993-05-01,152.1
1993-06-01,152.1
1993-07-01,152.3
1993-08-01,152.6
1993-09-01,153
1993-10-01,153.2
1993-11-01,153.9
1993-12-01,154.1
1994-01-01,154.6
1994-02-01,155
1994-03-01,155.8
1994-04-01,155.6
1994-05-01,155.4
1994-06-01,155.4
1994-07-01,155.9
1994-08-01,156.4
1994-09-01,157.1
1994-10-01,157.5
1994-11-01,157.5
1994-12-01,157.4
1995-01-01,158.4
1995-02-01,159
1995-03-01,159.6
1995-04-01,159.9
1995-05-01,160.1
1995-06-01,160.2
1995-07-01,160.2
1995-08-01,160.6
1995-09-01,161.1
1995-10-01,161.6
1995-11-01,161.7
1995-12-01,161.3
1996-01-01,162.5
1996-02-01,163.3
1996-03-01,164
1996-04-01,164.3
1996-05-01,164.1
1996-06-01,164.3
1996-07-01,164.7
1996-08-01,164.9
1996-09-01,165.7
1996-10-01,166.1
1996-11-01,166.4
1996-12-01,165.9
1997-01-01,166.6
1997-02-01,167.2
1997-03-01,168
1997-04-01,168.3
1997-05-01,168.4
1997-06-01,168.2
1997-07-01,168.5
1997-08-01,168.5
1997-09-01,168.9
1997-10-01,169.6
1997-11-01,169.7
1997-12-01,169.8
1998-01-01,170.2
1998-02-01,171.2
1998-03-01,171.6
1998-04-01,171.9
1998-05-01,172
1998-06-01,172.1
1998-07-01,172.3
1998-08-01,172.9
1998-09-01,173.2
1998-10-01,173.8
1998-11-01,174.2
1998-12-01,174.1
1999-01-01,174.8
1999-02-01,175.5
1999-03-01,175.9
1999-04-01,176.6
1999-05-01,176.3
1999-06-01,176.1
1999-07-01,176.7
1999-08-01,177
1999-09-01,177.8
1999-10-01,178.3
1999-11-01,178.7
1999-12-01,178.7
2000-01-01,179.3
2000-02-01,180.2
2000-03-01,181
2000-04-01,181.2
2000-05-01,181.6
2000-06-01,181.8
2000-07-01,182.2
2000-08-01,183
2000-09-01,183.5
2000-10-01,184
2000-11-01,184.3
2000-12-01,184.2
2001-01-01,185.2
2001-02-01,186.3
2001-03-01,187
2001-04-01,187.2
2001-05-01,187.3
2001-06-01,187.8
2001-07-01,188.3
2001-08-01,188.9
2001-09-01,189.4
2001-10-01,189.8
2001-11-01,190.3
2001-12-01,190.2
2002-01-01,190.8
2002-02-01,191.8
2002-03-01,192.1
2002-04-01,192.8
2002-05-01,192.3
2002-06-01,192
2002-07-01,192.1
2002-08-01,192.9
2002-09-01,193.1
2002-10-01,193.4
2002-11-01,193.4
2002-12-01,193
2003-01-01,194.2
2003-02-01,195
2003-03-01,195.2
2003-04-01,195.1
2003-05-01,195.1
2003-06-01,194.8
2003-07-01,195.1
2003-08-01,195.5
2003-09-01,195.3
2003-10-01,195.6
2003-11-01,195.1
2003-12-01,194.8
2004-01-01,195.9
2004-02-01,197
2004-03-01,198
2004-04-01,197.8
2004-05-01,197.9
2004-06-01,197.6
2004-07-01,197.7
2004-08-01,198.1
2004-09-01,199.1
2004-10-01,199.6
2004-11-01,199.6
2004-12-01,199.2
2005-01-01,200.1
2005-02-01,201.3
2005-03-01,202
2005-04-01,202.3
2005-05-01,202.3
2005-06-01,201.9
2005-07-01,201.9
2005-08-01,202.4
2005-09-01,203.2
2005-10-01,204.2
2005-11-01,204.3
2005-12-01,204.1
2006-01-01,205.3
2006-02-01,206.2
2006-03-01,207.3
2006-04-01,208
2006-05-01,208.1
2006-06-01,207.8
2006-07-01,208.2
2006-08-01,209
2006-09-01,210.3
2006-10-01,210.9
2006-11-01,210.5
2006-12-01,210.1
2007-01-01,211.516
2007-02-01,212.652
2007-03-01,213.38
2007-04-01,213.758
2007-05-01,213.588
2007-06-01,213.51
2007-07-01,213.968
2007-08-01,214.586
2007-09-01,215.244
2007-10-01,215.785
2007-11-01,215.978
2007-12-01,215.84
2008-01-01,216.894
2008-02-01,217.641
2008-03-01,218.731
2008-04-01,218.715
2008-05-01,218.915
2008-06-01,219.162
2008-07-01,219.605
2008-08-01,219.959
2008-09-01,220.391
2008-10-01,220.649
2008-11-01,220.465
2008-12-01,219.92
2009-01-01,220.672
2009-02-01,221.523
2009-03-01,222.084
2009-04-01,222.362
2009-05-01,222.331
2009-06-01,222.021
2009-07-01,221.822
2009-08-01,221.916
2009-09-01,222.355
2009-10-01,222.714
2009-11-01,222.248
2009-12-01,221.855
2010-01-01,221.929
2010-02-01,222.427
2010-03-01,222.582
2010-04-01,222.743
2010-05-01,222.699
2010-06-01,222.736
2010-07-01,222.795
2010-08-01,222.813
2010-09-01,223.042
2010-10-01,222.98
2010-11-01,223.161
2010-12-01,223.155
2011-01-01,223.721
2011-02-01,224.592
2011-03-01,225.259
2011-04-01,225.642
2011-05-01,225.885
2011-06-01,226.132
2011-07-01,226.166
2011-08-01,226.623
2011-09-01,227.177
2011-10-01,227.503
2011-11-01,227.594
2011-12-01,227.55
2012-01-01,228.203
2012-02-01,228.736
2012-03-01,229.601
2012-04-01,230.253
2012-05-01,230.466
2012-06-01,230.762
2012-07-01,230.881
2012-08-01,231.326
2012-09-01,232.03
2012-10-01,232.437
2012-11-01,232.296
2012-12-01,231.777
2013-01-01,232.564
2013-02-01,233.198
2013-03-01,233.926
2013-04-01,234.219
2013-05-01,234.408
2013-06-01,234.553
2013-07-01,234.609
2013-08-01,235.273
2013-09-01,235.922
2013-10-01,236.403
2013-11-01,236.301
2013-12-01,236.261
2014-01-01,236.671
2014-02-01,237.36
2014-03-01,238.155
2014-04-01,238.935
2014-05-01,239.528
2014-06-01,239.818
2014-07-01,239.834
2014-08-01,239.946
2014-09-01,240.619
2014-10-01,241.31
2014-11-01,241.191
2014-12-01,240.962
2015-01-01,241.52
2015-02-01,242.829
2015-03-01,243.588
2015-04-01,244.563
2015-05-01,245.018
2015-06-01,245.235
2015-07-01,245.605
2015-08-01,245.663
2015-09-01,246.242
2015-10-01,247.185
2015-11-01,247.46
2015-12-01,247.485
2016-01-01,248.661
2016-02-01,250.019
2016-03-01,250.516
2016-04-01,251.12
2016-05-01,252.009
2016-06-01,252.159
2016-07-01,252.383
2016-08-01,253.024
2016-09-01,253.667
2016-10-01,254.241
2016-11-01,254.364
2016-12-01,254.712
2017-01-01,255.749
2017-02-01,257.189
2017-03-01,257.574
2017-04-01,258.247
2017-05-01,258.56
2017-06-01,258.853
2017-07-01,259.362
2017-08-01,259.86
2017-09-01,260.539
2017-10-01,261.863
2017-11-01,261.853
2017-12-01,262.213
2018-01-01,263.366
2018-02-01,264.619
2018-03-01,265.534
2018-04-01,265.809
2018-05-01,266.526
2018-06-01,267.033
2018-07-01,267.428
2018-08-01,267.873
2018-09-01,268.827
2018-10-01,269.737
2018-11-01,269.647
2018-12-01,269.797
2019-01-01,270.93
2019-02-01,271.834
2019-03-01,272.681
2019-04-01,273.459
2019-05-01,274.026
2019-06-01,274.823
2019-07-01,275.257
2019-08-01,276.089
2019-09-01,276.778
2019-10-01,277.386
2019-11-01,277.277
2019-12-01,277.459
2020-01-01,278.434
2020-02-01,279.692
2020-03-01,279.573
2020-04-01,279.072
2020-05-01,279.139
2020-06-01,279.452
2020-07-01,280.839
2020-08-01,281.41
2020-09-01,281.338
2020-10-01,281.857
2020-11-01,282.323
2020-12-01,281.681
2021-01-01,282.032
2021-02-01,282.949
2021-03-01,283.772
2021-04-01,286.547
2021-05-01,288.442
2021-06-01,290.888
2021-07-01,291.746
2021-08-01,292.007
2021-09-01,292.537
2021-10-01,294.588
2021-11-01,295.887
2021-12-01,297.129
2022-01-01,299.513
2022-02-01,301.848
2022-03-01,302.993
2022-04-01,304.805
2022-05-01,306.402
2022-06-01,308.894
2022-07-01,310.157
2022-08-01,311.515
2022-09-01,312.548
2022-10-01,313.489
2022-11-01,313.557
2022-12-01,314.001
2023-01-01,316.137
2023-02-01,317.968
2023-03-01,319.601
2023-04-01,321.32
2023-05-01,322.64
2023-06-01,323.444
2023-07-01,323.518
2023-08-01,324.264
2023-09-01,324.791
2023-10-01,325.056
2023-11-01,325.113
