"Date","CUSR0000SEFT"
1998-03-01,164.2
1998-04-01,164.5
1998-05-01,164.8
1998-06-01,165.3
1998-07-01,165.6
1998-08-01,166.3
1998-09-01,166.4
1998-10-01,166.5
1998-11-01,167.1
1998-12-01,167.4
1999-01-01,167.8
1999-02-01,168.2
1999-03-01,168
1999-04-01,168.8
1999-05-01,168.9
1999-06-01,168.8
1999-07-01,169
1999-08-01,169.3
1999-09-01,169.2
1999-10-01,169.5
1999-11-01,169.2
1999-12-01,169.7
2000-01-01,169.8
2000-02-01,170.5
2000-03-01,171.6
2000-04-01,170.7
2000-05-01,172.1
2000-06-01,173.4
2000-07-01,173.5
2000-08-01,173.7
2000-09-01,173.4
2000-10-01,172
2000-11-01,173.3
2000-12-01,172.7
2001-01-01,173.8
2001-02-01,174
2001-03-01,175.1
2001-04-01,174.4
2001-05-01,176.4
2001-06-01,175.7
2001-07-01,176.8
2001-08-01,177.6
2001-09-01,176.2
2001-10-01,177
2001-11-01,177.6
2001-12-01,177.9
2002-01-01,177.4
2002-02-01,176.3
2002-03-01,175.9
2002-04-01,177.8
2002-05-01,176.1
2002-06-01,177.4
2002-07-01,177.3
2002-08-01,176.9
2002-09-01,177
2002-10-01,177
2002-11-01,178.3
2002-12-01,178.2
2003-01-01,178.3
2003-02-01,178.5
2003-03-01,178.3
2003-04-01,178.6
2003-05-01,178.1
2003-06-01,179.2
2003-07-01,178.5
2003-08-01,178.7
2003-09-01,179.5
2003-10-01,178.9
2003-11-01,178.5
2003-12-01,180
2004-01-01,178.2
2004-02-01,179.5
2004-03-01,180.2
2004-04-01,180
2004-05-01,180.3
2004-06-01,179.7
2004-07-01,179.9
2004-08-01,180.2
2004-09-01,179.5
2004-10-01,180.1
2004-11-01,179.9
2004-12-01,178.9
2005-01-01,180.5
2005-02-01,180.1
2005-03-01,181.1
2005-04-01,182.4
2005-05-01,181.8
2005-06-01,182
2005-07-01,182.4
2005-08-01,183
2005-09-01,183.3
2005-10-01,184
2005-11-01,184.2
2005-12-01,184.8
2006-01-01,184.6
2006-02-01,184.9
2006-03-01,184.3
2006-04-01,183.7
2006-05-01,185
2006-06-01,184.8
2006-07-01,186.2
2006-08-01,185.2
2006-09-01,185.2
2006-10-01,185.1
2006-11-01,185.3
2006-12-01,185.1
2007-01-01,185.961
2007-02-01,186.295
2007-03-01,186.844
2007-04-01,187.57
2007-05-01,187.56
2007-06-01,188.715
2007-07-01,188.81
2007-08-01,188.809
2007-09-01,189.258
2007-10-01,189.572
2007-11-01,189.609
2007-12-01,189.927
2008-01-01,190.564
2008-02-01,191.974
2008-03-01,192.435
2008-04-01,195.42
2008-05-01,196.375
2008-06-01,197.287
2008-07-01,198.848
2008-08-01,199.918
2008-09-01,201.551
2008-10-01,202.942
2008-11-01,204.441
2008-12-01,205.571
2009-01-01,206.998
2009-02-01,206.473
2009-03-01,206.088
2009-04-01,205.197
2009-05-01,205.113
2009-06-01,205.19
2009-07-01,204.874
2009-08-01,204.951
2009-09-01,204.875
2009-10-01,205.838
2009-11-01,205.006
2009-12-01,205.358
2010-01-01,205.329
2010-02-01,204.803
2010-03-01,204.624
2010-04-01,204.47
2010-05-01,204.529
2010-06-01,204.413
2010-07-01,204.622
2010-08-01,204.749
2010-09-01,204.494
2010-10-01,204.219
2010-11-01,204.23
2010-12-01,204.163
2011-01-01,204.269
2011-02-01,204.935
2011-03-01,206.459
2011-04-01,207.46
2011-05-01,207.992
2011-06-01,208.832
2011-07-01,209.568
2011-08-01,211.008
2011-09-01,211.837
2011-10-01,212.99
2011-11-01,212.869
2011-12-01,213.243
2012-01-01,214.543
2012-02-01,215.348
2012-03-01,215.831
2012-04-01,215.954
2012-05-01,216.768
2012-06-01,216.531
2012-07-01,216.354
2012-08-01,217.074
2012-09-01,217.172
2012-10-01,217.708
2012-11-01,217.995
2012-12-01,217.973
2013-01-01,218.197
2013-02-01,216.959
2013-03-01,217.881
2013-04-01,218.421
2013-05-01,217.734
2013-06-01,218.237
2013-07-01,218.221
2013-08-01,216.484
2013-09-01,217.063
2013-10-01,217.075
2013-11-01,217.674
2013-12-01,218.371
2014-01-01,218.658
2014-02-01,219.037
2014-03-01,218.354
2014-04-01,217.851
2014-05-01,219.227
2014-06-01,219.208
2014-07-01,220.802
2014-08-01,221.066
2014-09-01,220.728
2014-10-01,220.483
2014-11-01,221.091
2014-12-01,221.83
2015-01-01,221.42
2015-02-01,222.402
2015-03-01,222.288
2015-04-01,222.051
2015-05-01,222.786
2015-06-01,223.64
2015-07-01,223.679
2015-08-01,223.992
2015-09-01,224.909
2015-10-01,225.484
2015-11-01,224.664
2015-12-01,223.872
2016-01-01,223.803
2016-02-01,223.5
2016-03-01,224.214
2016-04-01,224.594
2016-05-01,224.475
2016-06-01,224.717
2016-07-01,224.346
2016-08-01,224.34
2016-09-01,223.683
2016-10-01,224.083
2016-11-01,223.348
2016-12-01,223.915
2017-01-01,224.649
2017-02-01,223.659
2017-03-01,224.677
2017-04-01,224.754
2017-05-01,224.899
2017-06-01,223.945
2017-07-01,223.863
2017-08-01,223.918
2017-09-01,224.373
2017-10-01,224.04
2017-11-01,224.811
2017-12-01,224.718
2018-01-01,224.986
2018-02-01,224.488
2018-03-01,223.985
2018-04-01,224.144
2018-05-01,224.342
2018-06-01,224.095
2018-07-01,224.374
2018-08-01,224.196
2018-09-01,224.666
2018-10-01,224.739
2018-11-01,226.165
2018-12-01,225.801
2019-01-01,225.558
2019-02-01,225.968
2019-03-01,225.204
2019-04-01,225.109
2019-05-01,224.753
2019-06-01,225.696
2019-07-01,223.885
2019-08-01,224.326
2019-09-01,225.015
2019-10-01,225.089
2019-11-01,226.205
2019-12-01,226.163
2020-01-01,225.323
2020-02-01,227.938
2020-03-01,228.515
2020-04-01,233.817
2020-05-01,234.033
2020-06-01,234.218
2020-07-01,233.789
2020-08-01,234.474
2020-09-01,233.195
2020-10-01,233.766
2020-11-01,233.28
2020-12-01,234.964
2021-01-01,233.64
2021-02-01,234.165
2021-03-01,233.515
2021-04-01,233.721
2021-05-01,233.292
2021-06-01,233.476
2021-07-01,234.854
2021-08-01,235.741
2021-09-01,239.267
2021-10-01,242.788
2021-11-01,246.212
2021-12-01,247.603
2022-01-01,250.794
2022-02-01,252.817
2022-03-01,256.939
2022-04-01,259.195
2022-05-01,263.156
2022-06-01,267.537
2022-07-01,272.146
2022-08-01,274.846
2022-09-01,275.539
2022-10-01,277.599
2022-11-01,278.163
2022-12-01,279.708
2023-01-01,281.367
2023-02-01,282.023
2023-03-01,284.03
2023-04-01,284.767
2023-05-01,285.81
2023-06-01,284.284
2023-07-01,284.974
2023-08-01,285.465
2023-09-01,286.677
2023-10-01,287.094
2023-11-01,286.517
