"Date","CUURA103SAE"
2018-10-01,NA
2018-11-01,166.05
2018-12-01,NA
2019-01-01,164.719
2019-02-01,NA
2019-03-01,165.389
2019-04-01,NA
2019-05-01,164.903
2019-06-01,NA
2019-07-01,166.789
2019-08-01,NA
2019-09-01,169.723
2019-10-01,NA
2019-11-01,171.341
2019-12-01,NA
2020-01-01,170.78
2020-02-01,NA
2020-03-01,170.337
2020-04-01,NA
2020-05-01,170.904
2020-06-01,NA
2020-07-01,171.624
2020-08-01,NA
2020-09-01,173.025
2020-10-01,NA
2020-11-01,173.249
2020-12-01,NA
2021-01-01,172.818
2021-02-01,NA
2021-03-01,174.023
2021-04-01,NA
2021-05-01,173.28
2021-06-01,NA
2021-07-01,174.151
2021-08-01,NA
2021-09-01,175.585
2021-10-01,NA
2021-11-01,175.61
2021-12-01,NA
2022-01-01,176.258
2022-02-01,NA
2022-03-01,175.66
2022-04-01,NA
2022-05-01,174.61
2022-06-01,NA
2022-07-01,175.231
2022-08-01,NA
2022-09-01,178.096
2022-10-01,NA
2022-11-01,177.757
2022-12-01,NA
2023-01-01,175.524
2023-02-01,NA
2023-03-01,173.973
2023-04-01,NA
2023-05-01,173.299
2023-06-01,NA
2023-07-01,174.306
2023-08-01,NA
2023-09-01,177.246
2023-10-01,NA
2023-11-01,175.124
