"Date","CUSR0000SERA02"
2013-09-01,408.949
2013-10-01,409.679
2013-11-01,411.528
2013-12-01,411.525
2014-01-01,412.194
2014-02-01,412.312
2014-03-01,413.578
2014-04-01,414.316
2014-05-01,415.646
2014-06-01,416.64
2014-07-01,416.778
2014-08-01,415.705
2014-09-01,417.538
2014-10-01,419.998
2014-11-01,418.86
2014-12-01,420.198
2015-01-01,420.582
2015-02-01,420.498
2015-03-01,419.865
2015-04-01,421.416
2015-05-01,420.944
2015-06-01,421.708
2015-07-01,422.551
2015-08-01,422.541
2015-09-01,423.601
2015-10-01,425.953
2015-11-01,426.391
2015-12-01,427.621
2016-01-01,427.538
2016-02-01,430.633
2016-03-01,433.738
2016-04-01,435.57
2016-05-01,437.005
2016-06-01,440.125
2016-07-01,441.679
2016-08-01,440.703
2016-09-01,439.286
2016-10-01,441.032
2016-11-01,444.877
2016-12-01,447.144
2017-01-01,450.07
2017-02-01,452.905
2017-03-01,455.576
2017-04-01,458.198
2017-05-01,461.05
2017-06-01,462.685
2017-07-01,464.989
2017-08-01,466.855
2017-09-01,468.214
2017-10-01,468.171
2017-11-01,468.684
2017-12-01,467.678
2018-01-01,467.67
2018-02-01,468.92
2018-03-01,468.976
2018-04-01,467.656
2018-05-01,467.791
2018-06-01,468.134
2018-07-01,468.641
2018-08-01,471.095
2018-09-01,474.292
2018-10-01,472.844
2018-11-01,473.871
2018-12-01,475.458
2019-01-01,477.043
2019-02-01,476.685
2019-03-01,476.336
2019-04-01,475.342
2019-05-01,474.677
2019-06-01,474.203
2019-07-01,475.579
2019-08-01,479.326
2019-09-01,481.657
2019-10-01,484.275
2019-11-01,486.432
2019-12-01,491.346
2020-01-01,493.551
2020-02-01,492.308
2020-03-01,492.456
2020-04-01,494.293
2020-05-01,495.684
2020-06-01,494.784
2020-07-01,500.771
2020-08-01,504.106
2020-09-01,505.449
2020-10-01,507.629
2020-11-01,508.686
2020-12-01,511.868
2021-01-01,509.694
2021-02-01,511.45
2021-03-01,513.028
2021-04-01,514.505
2021-05-01,515.015
2021-06-01,520.218
2021-07-01,524.231
2021-08-01,526.083
2021-09-01,528.94
2021-10-01,529.062
2021-11-01,528.414
2021-12-01,526.284
2022-01-01,531.705
2022-02-01,533.876
2022-03-01,534.754
2022-04-01,538.451
2022-05-01,544.671
2022-06-01,545.58
2022-07-01,543.107
2022-08-01,541.77
2022-09-01,540.669
2022-10-01,544.629
2022-11-01,549.826
2022-12-01,546.966
2023-01-01,549.769
2023-02-01,559.718
2023-03-01,566.358
2023-04-01,569.542
2023-05-01,569.337
2023-06-01,569.774
2023-07-01,572.837
2023-08-01,575.892
2023-09-01,576.184
2023-10-01,574.468
2023-11-01,573.66
