"Date","CUSR0000SAN"
1986-12-01,103.5
1987-01-01,104.4
1987-02-01,105.3
1987-03-01,106.1
1987-04-01,106.9
1987-05-01,107.2
1987-06-01,107.4
1987-07-01,107.3
1987-08-01,108.1
1987-09-01,109
1987-10-01,109.4
1987-11-01,109.5
1987-12-01,109.1
1988-01-01,109.1
1988-02-01,109
1988-03-01,109.8
1988-04-01,111
1988-05-01,111.4
1988-06-01,111.4
1988-07-01,111.9
1988-08-01,112.4
1988-09-01,113.7
1988-10-01,114.2
1988-11-01,114.1
1988-12-01,113.9
1989-01-01,114.3
1989-02-01,114.9
1989-03-01,116.2
1989-04-01,118.4
1989-05-01,119.3
1989-06-01,119
1989-07-01,118.7
1989-08-01,118.4
1989-09-01,119.3
1989-10-01,120.1
1989-11-01,120
1989-12-01,119.8
1990-01-01,122.6
1990-02-01,123.6
1990-03-01,123.9
1990-04-01,123.6
1990-05-01,123.6
1990-06-01,124.5
1990-07-01,125.1
1990-08-01,126.7
1990-09-01,128.3
1990-10-01,129.8
1990-11-01,130.1
1990-12-01,130.3
1991-01-01,130.2
1991-02-01,129.8
1991-03-01,129.2
1991-04-01,129.7
1991-05-01,130.2
1991-06-01,130.4
1991-07-01,130.2
1991-08-01,130.6
1991-09-01,130.6
1991-10-01,130.4
1991-11-01,131.1
1991-12-01,131.3
1992-01-01,131
1992-02-01,131.5
1992-03-01,132
1992-04-01,132
1992-05-01,132.3
1992-06-01,132.9
1992-07-01,133.2
1992-08-01,133.4
1992-09-01,133.5
1992-10-01,133.7
1992-11-01,133.8
1992-12-01,133.9
1993-01-01,134.5
1993-02-01,135.2
1993-03-01,135.1
1993-04-01,135.3
1993-05-01,135.4
1993-06-01,135
1993-07-01,134.8
1993-08-01,134.8
1993-09-01,134.4
1993-10-01,135.3
1993-11-01,135.4
1993-12-01,135.5
1994-01-01,135.6
1994-02-01,135.6
1994-03-01,135.8
1994-04-01,135.8
1994-05-01,135.9
1994-06-01,136.5
1994-07-01,137.2
1994-08-01,137.8
1994-09-01,137.9
1994-10-01,137.6
1994-11-01,138
1994-12-01,138.3
1995-01-01,138.4
1995-02-01,138.5
1995-03-01,138.5
1995-04-01,138.9
1995-05-01,139.2
1995-06-01,139.6
1995-07-01,139.6
1995-08-01,139.7
1995-09-01,139.8
1995-10-01,139.9
1995-11-01,139.9
1995-12-01,140.2
1996-01-01,141.3
1996-02-01,141.4
1996-03-01,142.4
1996-04-01,143.2
1996-05-01,143.5
1996-06-01,143.6
1996-07-01,143.7
1996-08-01,143.4
1996-09-01,144
1996-10-01,144.5
1996-11-01,145.4
1996-12-01,145.8
1997-01-01,146
1997-02-01,146.3
1997-03-01,146.2
1997-04-01,145.9
1997-05-01,145.6
1997-06-01,145.8
1997-07-01,146
1997-08-01,146.5
1997-09-01,146.9
1997-10-01,146.9
1997-11-01,147.1
1997-12-01,147
1998-01-01,146.8
1998-02-01,146.6
1998-03-01,146.3
1998-04-01,145.9
1998-05-01,146.6
1998-06-01,146.8
1998-07-01,147
1998-08-01,147.3
1998-09-01,146.7
1998-10-01,147.4
1998-11-01,147.6
1998-12-01,148.2
1999-01-01,148.8
1999-02-01,148.5
1999-03-01,148.7
1999-04-01,150.6
1999-05-01,150.5
1999-06-01,150.2
1999-07-01,151.1
1999-08-01,152
1999-09-01,152.5
1999-10-01,153.3
1999-11-01,153.6
1999-12-01,154.6
2000-01-01,155
2000-02-01,156.3
2000-03-01,158.2
2000-04-01,157.3
2000-05-01,156.5
2000-06-01,158.3
2000-07-01,158.9
2000-08-01,158.1
2000-09-01,159.2
2000-10-01,159.4
2000-11-01,160.3
2000-12-01,160.5
2001-01-01,160.7
2001-02-01,160.6
2001-03-01,160.2
2001-04-01,160.9
2001-05-01,162
2001-06-01,162.1
2001-07-01,160.8
2001-08-01,160.3
2001-09-01,161.3
2001-10-01,160.1
2001-11-01,159.3
2001-12-01,158.5
2002-01-01,158.9
2002-02-01,159
2002-03-01,160.2
2002-04-01,161
2002-05-01,160.4
2002-06-01,160.4
2002-07-01,160.8
2002-08-01,161.5
2002-09-01,161.2
2002-10-01,162
2002-11-01,163.5
2002-12-01,163.7
2003-01-01,164.5
2003-02-01,166.6
2003-03-01,166.7
2003-04-01,164.2
2003-05-01,162.3
2003-06-01,162.8
2003-07-01,163.5
2003-08-01,165.6
2003-09-01,166.6
2003-10-01,166.2
2003-11-01,166.7
2003-12-01,167.5
2004-01-01,169
2004-02-01,169.6
2004-03-01,170.1
2004-04-01,169.6
2004-05-01,171.3
2004-06-01,172.4
2004-07-01,172.4
2004-08-01,172.4
2004-09-01,172
2004-10-01,175.1
2004-11-01,176.1
2004-12-01,175.8
2005-01-01,175
2005-02-01,176
2005-03-01,176.8
2005-04-01,178.4
2005-05-01,176.2
2005-06-01,176.3
2005-07-01,179.3
2005-08-01,182.8
2005-09-01,189
2005-10-01,187.5
2005-11-01,182.8
2005-12-01,182.4
2006-01-01,184.7
2006-02-01,184.4
2006-03-01,184.4
2006-04-01,186.7
2006-05-01,187.6
2006-06-01,188
2006-07-01,190.3
2006-08-01,191.8
2006-09-01,187.6
2006-10-01,184.5
2006-11-01,184.2
2006-12-01,186.8
2007-01-01,186.614
2007-02-01,187.999
2007-03-01,190.102
2007-04-01,191.337
2007-05-01,193.147
2007-06-01,193.343
2007-07-01,193.97
2007-08-01,193.533
2007-09-01,195.174
2007-10-01,196.037
2007-11-01,199.992
2007-12-01,200.653
2008-01-01,201.637
2008-02-01,202.432
2008-03-01,203.485
2008-04-01,204.54
2008-05-01,207.248
2008-06-01,212.392
2008-07-01,215.202
2008-08-01,213.294
2008-09-01,213.663
2008-10-01,208.17
2008-11-01,197.102
2008-12-01,191.727
2009-01-01,192.421
2009-02-01,194.835
2009-03-01,193.342
2009-04-01,193.412
2009-05-01,194.293
2009-06-01,199.83
2009-07-01,199.68
2009-08-01,201.48
2009-09-01,202.148
2009-10-01,202.678
2009-11-01,204.408
2009-12-01,204.574
2010-01-01,205.451
2010-02-01,204.675
2010-03-01,204.268
2010-04-01,203.898
2010-05-01,203.461
2010-06-01,202.867
2010-07-01,203.563
2010-08-01,204.178
2010-09-01,204.687
2010-10-01,207.093
2010-11-01,208.422
2010-12-01,210.934
2011-01-01,212.075
2011-02-01,213.201
2011-03-01,216.159
2011-04-01,219.033
2011-05-01,220.604
2011-06-01,219.496
2011-07-01,220.084
2011-08-01,220.948
2011-09-01,221.623
2011-10-01,221.491
2011-11-01,222.141
2011-12-01,221.535
2012-01-01,222.586
2012-02-01,223.909
2012-03-01,224.795
2012-04-01,225.528
2012-05-01,223.591
2012-06-01,222.249
2012-07-01,221.467
2012-08-01,224.788
2012-09-01,227.059
2012-10-01,228.005
2012-11-01,225.911
2012-12-01,224.906
2013-01-01,224.986
2013-02-01,228.051
2013-03-01,225.716
2013-04-01,223.796
2013-05-01,223.773
2013-06-01,224.988
2013-07-01,225.261
2013-08-01,225.859
2013-09-01,224.981
2013-10-01,224.586
2013-11-01,224.764
2013-12-01,226.037
2014-01-01,226.68
2014-02-01,226.755
2014-03-01,226.58
2014-04-01,227.688
2014-05-01,228.073
2014-06-01,228.192
2014-07-01,228.426
2014-08-01,227.455
2014-09-01,227.155
2014-10-01,226.522
2014-11-01,224.588
2014-12-01,221.495
2015-01-01,215.999
2015-02-01,216.744
2015-03-01,217.879
2015-04-01,216.821
2015-05-01,218.833
2015-06-01,219.443
2015-07-01,220.236
2015-08-01,219.253
2015-09-01,216.666
2015-10-01,216.865
2015-11-01,217.002
2015-12-01,215.691
2016-01-01,214.447
2016-02-01,212.444
2016-03-01,212.811
2016-04-01,213.78
2016-05-01,214.229
2016-06-01,215.183
2016-07-01,214.318
2016-08-01,214.59
2016-09-01,215.623
2016-10-01,216.964
2016-11-01,217.026
2016-12-01,218.3
2017-01-01,219.433
2017-02-01,219.54
2017-03-01,218.794
2017-04-01,218.825
2017-05-01,217.418
2017-06-01,217.04
2017-07-01,217.026
2017-08-01,218.798
2017-09-01,222.321
2017-10-01,221.35
2017-11-01,222.512
2017-12-01,222.527
2018-01-01,223.982
2018-02-01,225.036
2018-03-01,224.187
2018-04-01,225.451
2018-05-01,226.601
2018-06-01,226.618
2018-07-01,226.638
2018-08-01,226.652
2018-09-01,227.327
2018-10-01,227.736
2018-11-01,225.895
2018-12-01,223.996
2019-01-01,222.735
2019-02-01,224.06
2019-03-01,225.823
2019-04-01,228.092
2019-05-01,228.059
2019-06-01,226.327
2019-07-01,227.126
2019-08-01,226.626
2019-09-01,226.654
2019-10-01,227.31
2019-11-01,227.763
2019-12-01,229.142
2020-01-01,229.259
2020-02-01,228.555
2020-03-01,225.015
2020-04-01,220.784
2020-05-01,219.658
2020-06-01,222.62
2020-07-01,223.748
2020-08-01,225.298
2020-09-01,225.796
2020-10-01,225.251
2020-11-01,225.31
2020-12-01,228.649
2021-01-01,231.123
2021-02-01,232.697
2021-03-01,234.331
2021-04-01,235.313
2021-05-01,235.882
2021-06-01,237.317
2021-07-01,239.279
2021-08-01,241.89
2021-09-01,243.925
2021-10-01,246.566
2021-11-01,249.463
2021-12-01,252.234
2022-01-01,254.065
2022-02-01,257.662
2022-03-01,264.917
2022-04-01,265.361
2022-05-01,269.381
2022-06-01,275.485
2022-07-01,273.183
2022-08-01,270.842
2022-09-01,270.47
2022-10-01,272.613
2022-11-01,272.718
2022-12-01,270.753
2023-01-01,273.004
2023-02-01,274.03
2023-03-01,272.298
2023-04-01,273.79
2023-05-01,272.04
2023-06-01,271.87
2023-07-01,272.531
2023-08-01,277.555
2023-09-01,279.179
2023-10-01,277.117
2023-11-01,274.701
