"Date","CUUR0200SAT"
2002-06-01,153.9
2002-07-01,154.3
2002-08-01,154.3
2002-09-01,154.9
2002-10-01,156.2
2002-11-01,155.1
2002-12-01,152.6
2003-01-01,155.1
2003-02-01,159.5
2003-03-01,160.6
2003-04-01,156.9
2003-05-01,156
2003-06-01,157.2
2003-07-01,156.4
2003-08-01,158.8
2003-09-01,158.9
2003-10-01,157.5
2003-11-01,156.6
2003-12-01,154.6
2004-01-01,158
2004-02-01,159.4
2004-03-01,160.1
2004-04-01,161.7
2004-05-01,165.6
2004-06-01,164.3
2004-07-01,163.2
2004-08-01,162.9
2004-09-01,162.2
2004-10-01,166.4
2004-11-01,166.1
2004-12-01,163.4
2005-01-01,163.8
2005-02-01,166
2005-03-01,168.7
2005-04-01,172.5
2005-05-01,170.7
2005-06-01,171.7
2005-07-01,174
2005-08-01,178.3
2005-09-01,186.2
2005-10-01,182.6
2005-11-01,173.6
2005-12-01,172.6
2006-01-01,175.9
2006-02-01,174.7
2006-03-01,178.5
2006-04-01,184.8
2006-05-01,186.9
2006-06-01,187.4
2006-07-01,190.3
2006-08-01,189.6
2006-09-01,178.7
2006-10-01,173.8
2006-11-01,174.5
2006-12-01,175.7
2007-01-01,173.081
2007-02-01,175.976
2007-03-01,180.578
2007-04-01,185.108
2007-05-01,193.266
2007-06-01,191.504
2007-07-01,190.251
2007-08-01,186.746
2007-09-01,188.608
2007-10-01,186.07
2007-11-01,192.814
2007-12-01,190.646
2008-01-01,192.424
2008-02-01,192.236
2008-03-01,196.563
2008-04-01,200.854
2008-05-01,208.387
2008-06-01,213.465
2008-07-01,214.83
2008-08-01,209.344
2008-09-01,207.735
2008-10-01,192.796
2008-11-01,171.938
2008-12-01,164.061
2009-01-01,168.806
2009-02-01,170.32
2009-03-01,170.771
2009-04-01,172.188
2009-05-01,177.555
2009-06-01,185.907
2009-07-01,182.126
2009-08-01,184.815
2009-09-01,182.493
2009-10-01,185.29
2009-11-01,189.587
2009-12-01,188.417
2010-01-01,191.249
2010-02-01,189.162
2010-03-01,192.248
2010-04-01,194.77
2010-05-01,195.172
2010-06-01,192.953
2010-07-01,193.588
2010-08-01,193.583
2010-09-01,193.761
2010-10-01,194.82
2010-11-01,195.94
2010-12-01,198.546
2011-01-01,201.538
2011-02-01,203.241
2011-03-01,210.589
2011-04-01,217.718
2011-05-01,222.676
2011-06-01,219.218
2011-07-01,218.295
2011-08-01,217.7
2011-09-01,216.618
2011-10-01,211.093
2011-11-01,210.781
2011-12-01,208.267
2012-01-01,210.992
2012-02-01,213.087
2012-03-01,221.721
2012-04-01,223.209
2012-05-01,221.11
2012-06-01,217.986
2012-07-01,215.927
2012-08-01,221.97
2012-09-01,223.573
2012-10-01,219.04
2012-11-01,213.637
2012-12-01,211.919
2013-01-01,210.509
2013-02-01,220.321
2013-03-01,221.538
2013-04-01,219.419
2013-05-01,223.589
2013-06-01,224.4
2013-07-01,219.212
2013-08-01,219.068
2013-09-01,218.214
2013-10-01,213.744
2013-11-01,210.607
2013-12-01,209.384
2014-01-01,211.577
2014-02-01,213.367
2014-03-01,219.151
2014-04-01,221.18
2014-05-01,222.009
2014-06-01,224.117
2014-07-01,220.327
2014-08-01,216.94
2014-09-01,216.227
2014-10-01,211.191
2014-11-01,205.782
2014-12-01,196.89
2015-01-01,186.659
2015-02-01,192.031
2015-03-01,196.851
2015-04-01,197.917
2015-05-01,203.114
2015-06-01,206.151
2015-07-01,204.646
2015-08-01,202.612
2015-09-01,195.985
2015-10-01,196.789
2015-11-01,192.703
2015-12-01,186.673
2016-01-01,185.47
2016-02-01,182.112
2016-03-01,188.629
2016-04-01,192.163
2016-05-01,195.422
2016-06-01,198.807
2016-07-01,193.405
2016-08-01,192.636
2016-09-01,192.363
2016-10-01,192.021
2016-11-01,189.63
2016-12-01,192.164
2017-01-01,195.395
2017-02-01,193.85
2017-03-01,195.223
2017-04-01,197.985
2017-05-01,196.661
2017-06-01,195.076
2017-07-01,193.971
2017-08-01,194.846
2017-09-01,196.614
2017-10-01,195.305
2017-11-01,198.648
2017-12-01,196.875
2018-01-01,200.064
2018-02-01,199.926
2018-03-01,201.054
2018-04-01,203.479
2018-05-01,207.561
2018-06-01,207.87
2018-07-01,207.654
2018-08-01,207.2
2018-09-01,205.689
2018-10-01,205.094
2018-11-01,200.177
2018-12-01,194.978
2019-01-01,192.64
2019-02-01,197.175
2019-03-01,203.171
2019-04-01,207.665
2019-05-01,207.945
2019-06-01,206.242
2019-07-01,207.344
2019-08-01,205.05
2019-09-01,202.862
2019-10-01,202.633
2019-11-01,201.087
2019-12-01,200.968
2020-01-01,201.165
2020-02-01,200.811
2020-03-01,194.627
2020-04-01,182.38
2020-05-01,183.753
2020-06-01,189.894
2020-07-01,195.695
2020-08-01,198.115
2020-09-01,197.449
2020-10-01,196.665
2020-11-01,195.565
2020-12-01,196.331
2021-01-01,197.506
2021-02-01,202.003
2021-03-01,208.068
2021-04-01,214.868
2021-05-01,222.265
2021-06-01,230.315
2021-07-01,233.423
2021-08-01,232.393
2021-09-01,230.233
2021-10-01,233.869
2021-11-01,238.028
2021-12-01,238.179
2022-01-01,240.942
2022-02-01,244.866
2022-03-01,255.194
2022-04-01,256.638
2022-05-01,266.058
2022-06-01,277.141
2022-07-01,270.412
2022-08-01,260.777
2022-09-01,258.416
2022-10-01,260.375
2022-11-01,257.439
2022-12-01,247.495
2023-01-01,252.011
2023-02-01,252.532
2023-03-01,255.635
2023-04-01,263.431
2023-05-01,263.977
2023-06-01,265.462
2023-07-01,263.901
2023-08-01,267.378
2023-09-01,264.998
2023-10-01,261.793
2023-11-01,260.824
