"Date","CUUR0000SAE1"
2008-05-01,177.994
2008-06-01,178.385
2008-07-01,179.229
2008-08-01,183.184
2008-09-01,186.148
2008-10-01,186.669
2008-11-01,186.733
2008-12-01,186.916
2009-01-01,187.175
2009-02-01,187.256
2009-03-01,187.298
2009-04-01,187.416
2009-05-01,187.853
2009-06-01,188.179
2009-07-01,189.184
2009-08-01,193.161
2009-09-01,195.595
2009-10-01,195.849
2009-11-01,195.649
2009-12-01,195.672
2010-01-01,195.85
2010-02-01,196.137
2010-03-01,196.47
2010-04-01,196.798
2010-05-01,196.917
2010-06-01,197.284
2010-07-01,198.206
2010-08-01,201.476
2010-09-01,203.353
2010-10-01,203.071
2010-11-01,203.139
2010-12-01,203.343
2011-01-01,204.057
2011-02-01,204.153
2011-03-01,204.251
2011-04-01,204.316
2011-05-01,204.668
2011-06-01,204.821
2011-07-01,206.158
2011-08-01,210.266
2011-09-01,212.348
2011-10-01,212.68
2011-11-01,212.751
2011-12-01,212.745
2012-01-01,213.067
2012-02-01,213.039
2012-03-01,213.132
2012-04-01,213.13
2012-05-01,213.499
2012-06-01,213.6
2012-07-01,215.156
2012-08-01,218.286
2012-09-01,220.524
2012-10-01,220.83
2012-11-01,220.856
2012-12-01,220.818
2013-01-01,221.822
2013-02-01,221.742
2013-03-01,221.861
2013-04-01,221.882
2013-05-01,222.058
2013-06-01,222.158
2013-07-01,223.34
2013-08-01,226.224
2013-09-01,227.833
2013-10-01,228.242
2013-11-01,228.514
2013-12-01,228.578
2014-01-01,228.373
2014-02-01,228.835
2014-03-01,229.061
2014-04-01,229.237
2014-05-01,229.576
2014-06-01,229.983
2014-07-01,230.807
2014-08-01,233.634
2014-09-01,235.378
2014-10-01,235.92
2014-11-01,236.098
2014-12-01,236.066
2015-01-01,236.82
2015-02-01,236.814
2015-03-01,237.447
2015-04-01,238.003
2015-05-01,238.219
2015-06-01,238.669
2015-07-01,239.68
2015-08-01,242.076
2015-09-01,244.351
2015-10-01,244.7
2015-11-01,244.865
2015-12-01,244.777
2016-01-01,244.71
2016-02-01,244.864
2016-03-01,244.876
2016-04-01,245.206
2016-05-01,245.419
2016-06-01,245.911
2016-07-01,246.478
2016-08-01,248.58
2016-09-01,250.469
2016-10-01,251.173
2016-11-01,251.155
2016-12-01,251.466
2017-01-01,251.122
2017-02-01,251.356
2017-03-01,251.113
2017-04-01,251.001
2017-05-01,250.959
2017-06-01,251.658
2017-07-01,252.115
2017-08-01,253.805
2017-09-01,255.783
2017-10-01,256.435
2017-11-01,256.721
2017-12-01,256.469
2018-01-01,256.15
2018-02-01,256.291
2018-03-01,255.609
2018-04-01,255.564
2018-05-01,256.09
2018-06-01,256.679
2018-07-01,257.477
2018-08-01,260.613
2018-09-01,262.336
2018-10-01,262.947
2018-11-01,263.119
2018-12-01,263.199
2019-01-01,263.125
2019-02-01,263.62
2019-03-01,263.905
2019-04-01,263.944
2019-05-01,264.199
2019-06-01,264.612
2019-07-01,264.882
2019-08-01,266.979
2019-09-01,268.357
2019-10-01,268.878
2019-11-01,268.88
2019-12-01,268.7
2020-01-01,268.841
2020-02-01,269.36
2020-03-01,269.45
2020-04-01,269.614
2020-05-01,269.725
2020-06-01,269.993
2020-07-01,270.659
2020-08-01,271.626
2020-09-01,272.241
2020-10-01,272.465
2020-11-01,272.359
2020-12-01,272.437
2021-01-01,272.238
2021-02-01,272.539
2021-03-01,271.559
2021-04-01,271.829
2021-05-01,272.544
2021-06-01,273.169
2021-07-01,273.812
2021-08-01,275.373
2021-09-01,277.551
2021-10-01,278.047
2021-11-01,278.097
2021-12-01,277.904
2022-01-01,278.087
2022-02-01,278.38
2022-03-01,278.388
2022-04-01,278.647
2022-05-01,279.356
2022-06-01,280.562
2022-07-01,280.974
2022-08-01,283.882
2022-09-01,286.151
2022-10-01,286.449
2022-11-01,286.792
2022-12-01,287.177
2023-01-01,287.509
2023-02-01,287.651
2023-03-01,288.26
2023-04-01,288.606
2023-05-01,288.843
2023-06-01,289.382
2023-07-01,290.069
2023-08-01,292.014
2023-09-01,294.357
2023-10-01,294.084
2023-11-01,293.674
