"Date","APUD00072621"
1994-10-01,39.71
1994-11-01,39.353
1994-12-01,39.044
1995-01-01,39.171
1995-02-01,39.302
1995-03-01,38.663
1995-04-01,39.136
1995-05-01,39.398
1995-06-01,41.367
1995-07-01,41.686
1995-08-01,41.933
1995-09-01,41.25
1995-10-01,39.073
1995-11-01,38.951
1995-12-01,39.179
1996-01-01,39.43
1996-02-01,39.481
1996-03-01,39.632
1996-04-01,39.974
1996-05-01,39.456
1996-06-01,41.43
1996-07-01,41.457
1996-08-01,41.735
1996-09-01,42.426
1996-10-01,40.08
1996-11-01,39.084
1996-12-01,39.048
1997-01-01,39.408
1997-02-01,39.88
1997-03-01,40.042
1997-04-01,39.292
1997-05-01,39.084
1997-06-01,41.559
1997-07-01,41.453
1997-08-01,41.185
1997-09-01,41.417
1997-10-01,39.418
1997-11-01,38.733
1997-12-01,38.904
1998-01-01,35.946
1998-02-01,36.001
1998-03-01,36.052
1998-04-01,37.047
1998-05-01,37.109
1998-06-01,37.225
1998-07-01,37.321
1998-08-01,37.258
1998-09-01,37.258
1998-10-01,36.774
1998-11-01,36.723
1998-12-01,35.762
1999-01-01,35.419
1999-02-01,35.234
1999-03-01,35.931
1999-04-01,36.538
1999-05-01,36.523
1999-06-01,37.2
1999-07-01,37.39
1999-08-01,37.262
1999-09-01,37.362
1999-10-01,37.084
1999-11-01,36.766
1999-12-01,36.693
2000-01-01,36.913
2000-02-01,37.081
2000-03-01,37.416
2000-04-01,36.973
2000-05-01,37.227
2000-06-01,37.623
2000-07-01,37.78
2000-08-01,37.809
2000-09-01,38.21
2000-10-01,38.307
2000-11-01,38.011
2000-12-01,38.034
2001-01-01,38.434
2001-02-01,38.333
2001-03-01,38.223
2001-04-01,38.558
2001-05-01,38.574
2001-06-01,39.449
2001-07-01,39.64
2001-08-01,39.656
2001-09-01,39.511
2001-10-01,40.33
2001-11-01,39.941
2001-12-01,39.769
2002-01-01,40.191
2002-02-01,39.984
2002-03-01,40.503
2002-04-01,39.725
2002-05-01,39.979
2002-06-01,40.531
2002-07-01,40.275
2002-08-01,40.697
2002-09-01,40.572
2002-10-01,40.338
2002-11-01,40.192
2002-12-01,40.141
2003-01-01,40.021
2003-02-01,40.007
2003-03-01,40.23
2003-04-01,40.518
2003-05-01,40.851
2003-06-01,41.109
2003-07-01,41.173
2003-08-01,41.55
2003-09-01,41.686
2003-10-01,41.959
2003-11-01,41.446
2003-12-01,41.634
2004-01-01,41.611
2004-02-01,41.787
2004-03-01,41.784
2004-04-01,41.703
2004-05-01,41.898
2004-06-01,42.477
2004-07-01,42.527
2004-08-01,42.568
2004-09-01,42.667
2004-10-01,42.001
2004-11-01,41.96
2004-12-01,41.772
2005-01-01,42.565
2005-02-01,43.052
2005-03-01,43.139
2005-04-01,43.457
2005-05-01,43.588
2005-06-01,44.556
2005-07-01,44.64
2005-08-01,45.033
2005-09-01,44.767
2005-10-01,44.994
2005-11-01,45.417
2005-12-01,45.962
2006-01-01,48.06
2006-02-01,48.068
2006-03-01,48.231
2006-04-01,48.384
2006-05-01,48.851
2006-06-01,49.525
2006-07-01,49.729
2006-08-01,49.997
2006-09-01,50.187
2006-10-01,49.651
2006-11-01,48.892
2006-12-01,49.03
2007-01-01,49.748
2007-02-01,49.491
2007-03-01,49.812
2007-04-01,49.862
2007-05-01,49.925
2007-06-01,51.419
2007-07-01,51.734
2007-08-01,51.653
2007-09-01,51.848
2007-10-01,52.439
2007-11-01,52.079
2007-12-01,52.178
2008-01-01,53.761
2008-02-01,53.552
2008-03-01,53.686
2008-04-01,54.352
2008-05-01,54.257
2008-06-01,55.382
2008-07-01,55.855
2008-08-01,56.197
2008-09-01,56.154
2008-10-01,57.267
2008-11-01,57.073
2008-12-01,56.699
2009-01-01,57.198
2009-02-01,57.353
2009-03-01,58.184
2009-04-01,57.339
2009-05-01,57.663
2009-06-01,57.601
2009-07-01,57.665
2009-08-01,57.758
2009-09-01,57.4
2009-10-01,57.385
2009-11-01,57.569
2009-12-01,56.837
2010-01-01,56.54
2010-02-01,55.943
2010-03-01,56.146
2010-04-01,56.768
2010-05-01,56.891
2010-06-01,57.822
2010-07-01,58.19
2010-08-01,57.95
2010-09-01,57.942
2010-10-01,57.826
2010-11-01,57.985
2010-12-01,57.838
2011-01-01,58.788
2011-02-01,58.857
2011-03-01,58.96
2011-04-01,59.666
2011-05-01,59.471
2011-06-01,60.521
2011-07-01,60.93
2011-08-01,60.953
2011-09-01,61.036
2011-10-01,59.736
2011-11-01,59.438
2011-12-01,59.574
2012-01-01,60.169
2012-02-01,59.921
2012-03-01,60.081
2012-04-01,60.253
2012-05-01,60.198
2012-06-01,61.023
2012-07-01,61.466
2012-08-01,61.302
2012-09-01,61.437
2012-10-01,59.783
2012-11-01,59.794
2012-12-01,59.736
2013-01-01,60.907
2013-02-01,60.614
2013-03-01,61.658
2013-04-01,62.029
2013-05-01,61.933
2013-06-01,63.033
