"Date","CUSR0000SEHB"
2021-01-01,144.028
2021-02-01,143.116
2021-03-01,146.137
2021-04-01,154.094
2021-05-01,157.207
2021-06-01,165.339
2021-07-01,176.456
2021-08-01,171.295
2021-09-01,172.044
2021-10-01,173.839
2021-11-01,177.577
2021-12-01,179.632
2022-01-01,173.653
2022-02-01,179.183
2022-03-01,183.07
2022-04-01,184.387
2022-05-01,187.52
2022-06-01,181.732
2022-07-01,178.577
2022-08-01,178.411
2022-09-01,177.503
2022-10-01,183.695
2022-11-01,182.744
2022-12-01,184.76
2023-01-01,186.977
2023-02-01,191.209
2023-03-01,196.366
2023-04-01,190.545
2023-05-01,193.974
2023-06-01,190.076
2023-07-01,189.43
2023-08-01,183.803
2023-09-01,190.518
2023-10-01,185.845
2023-11-01,184.117
