"Date","CUUR0000SASL5"
2000-07-01,189.9
2000-08-01,190.5
2000-09-01,190.7
2000-10-01,191.1
2000-11-01,191.1
2000-12-01,191.5
2001-01-01,193.6
2001-02-01,194.3
2001-03-01,195.1
2001-04-01,195.2
2001-05-01,195.7
2001-06-01,197.2
2001-07-01,197.8
2001-08-01,198.4
2001-09-01,198.1
2001-10-01,197.8
2001-11-01,198.2
2001-12-01,198.3
2002-01-01,199.2
2002-02-01,200.2
2002-03-01,200.8
2002-04-01,201.2
2002-05-01,201.6
2002-06-01,202.6
2002-07-01,203.3
2002-08-01,204.2
2002-09-01,204.1
2002-10-01,204.2
2002-11-01,204.3
2002-12-01,204.3
2003-01-01,205.5
2003-02-01,206.4
2003-03-01,207.4
2003-04-01,207.5
2003-05-01,208.2
2003-06-01,209.1
2003-07-01,209.8
2003-08-01,210.3
2003-09-01,210.3
2003-10-01,210.5
2003-11-01,209.9
2003-12-01,209.9
2004-01-01,211
2004-02-01,211.7
2004-03-01,212.7
2004-04-01,213.2
2004-05-01,213.6
2004-06-01,215
2004-07-01,215.8
2004-08-01,216.2
2004-09-01,216.1
2004-10-01,216
2004-11-01,216.1
2004-12-01,216
2005-01-01,217
2005-02-01,218
2005-03-01,219.2
2005-04-01,219.7
2005-05-01,219.9
2005-06-01,220.9
2005-07-01,222
2005-08-01,222.5
2005-09-01,222.8
2005-10-01,224.1
2005-11-01,224.4
2005-12-01,224.2
2006-01-01,225.9
2006-02-01,226.5
2006-03-01,227.3
2006-04-01,227.8
2006-05-01,228.4
2006-06-01,229.9
2006-07-01,231
2006-08-01,231.6
2006-09-01,231.8
2006-10-01,231.5
2006-11-01,231.5
2006-12-01,231.7
2007-01-01,232.892
2007-02-01,233.963
2007-03-01,234.809
2007-04-01,235.378
2007-05-01,235.87
2007-06-01,237.565
2007-07-01,238.357
2007-08-01,238.507
2007-09-01,238.604
2007-10-01,238.657
2007-11-01,238.671
2007-12-01,238.894
2008-01-01,240.201
2008-02-01,241.004
2008-03-01,242.31
2008-04-01,242.921
2008-05-01,243.982
2008-06-01,246.219
2008-07-01,248.007
2008-08-01,248.198
2008-09-01,247.563
2008-10-01,246.997
2008-11-01,246.351
2008-12-01,246.09
2009-01-01,247.013
2009-02-01,247.439
2009-03-01,247.675
2009-04-01,247.49
2009-05-01,247.406
2009-06-01,248.557
2009-07-01,248.963
2009-08-01,249.316
2009-09-01,249.043
2009-10-01,248.692
2009-11-01,248.075
2009-12-01,247.793
2010-01-01,248.023
2010-02-01,248.178
2010-03-01,248.531
2010-04-01,248.733
2010-05-01,249.087
2010-06-01,250.094
2010-07-01,250.605
2010-08-01,250.766
2010-09-01,250.516
2010-10-01,250.066
2010-11-01,250.044
2010-12-01,250.191
2011-01-01,250.737
2011-02-01,251.354
2011-03-01,251.834
2011-04-01,252.1
2011-05-01,252.713
2011-06-01,253.781
2011-07-01,254.487
2011-08-01,255.085
2011-09-01,255.295
2011-10-01,255.009
2011-11-01,254.978
2011-12-01,255.271
2012-01-01,255.881
2012-02-01,256.123
2012-03-01,256.675
2012-04-01,257.121
2012-05-01,257.615
2012-06-01,258.817
2012-07-01,259.084
2012-08-01,259.599
2012-09-01,259.993
2012-10-01,260.023
2012-11-01,260.231
2012-12-01,260.58
2013-01-01,261.438
2013-02-01,262.164
2013-03-01,262.602
2013-04-01,262.919
2013-05-01,263.872
2013-06-01,264.95
2013-07-01,265.489
2013-08-01,265.788
2013-09-01,266.192
2013-10-01,266.094
2013-11-01,266.417
2013-12-01,266.629
2014-01-01,267.746
2014-02-01,268.451
2014-03-01,269.69
2014-04-01,269.922
2014-05-01,271.243
2014-06-01,272.363
2014-07-01,272.782
2014-08-01,272.816
2014-09-01,273.002
2014-10-01,273.006
2014-11-01,273.094
2014-12-01,273.341
2015-01-01,274.345
2015-02-01,274.931
2015-03-01,275.388
2015-04-01,275.951
2015-05-01,276.655
2015-06-01,278.198
2015-07-01,278.663
2015-08-01,278.956
2015-09-01,279.393
2015-10-01,279.509
2015-11-01,279.865
2015-12-01,280.013
2016-01-01,280.97
2016-02-01,281.727
2016-03-01,282.437
2016-04-01,283.167
2016-05-01,284.365
2016-06-01,285.842
2016-07-01,286.286
2016-08-01,286.749
2016-09-01,287.212
2016-10-01,287.359
2016-11-01,287.824
2016-12-01,288.309
2017-01-01,289.474
2017-02-01,290.543
2017-03-01,290.423
2017-04-01,291.018
2017-05-01,292.035
2017-06-01,293.274
2017-07-01,293.556
2017-08-01,294.305
2017-09-01,294.785
2017-10-01,295.186
2017-11-01,295.501
2017-12-01,296.11
2018-01-01,297.076
2018-02-01,298.306
2018-03-01,298.978
2018-04-01,299.443
2018-05-01,300.674
2018-06-01,301.716
2018-07-01,302.229
2018-08-01,302.815
2018-09-01,303.13
2018-10-01,303.469
2018-11-01,303.695
2018-12-01,304.397
2019-01-01,305.131
2019-02-01,305.981
2019-03-01,306.807
2019-04-01,307.576
2019-05-01,308.204
2019-06-01,309.446
2019-07-01,309.955
2019-08-01,310.364
2019-09-01,310.866
2019-10-01,311.231
2019-11-01,311.687
2019-12-01,311.903
2020-01-01,313.118
2020-02-01,314.141
2020-03-01,313.845
2020-04-01,312.451
2020-05-01,312.35
2020-06-01,313.494
2020-07-01,315.055
2020-08-01,315.39
2020-09-01,315.51
2020-10-01,315.782
2020-11-01,316.523
2020-12-01,316.606
2021-01-01,316.72
2021-02-01,317.746
2021-03-01,318.951
2021-04-01,320.837
2021-05-01,322.545
2021-06-01,324.542
2021-07-01,325.694
2021-08-01,325.805
2021-09-01,326.567
2021-10-01,328.118
2021-11-01,329.178
2021-12-01,329.918
2022-01-01,332.001
2022-02-01,333.994
2022-03-01,336.208
2022-04-01,338.884
2022-05-01,341.776
2022-06-01,345.321
2022-07-01,346.527
2022-08-01,348.484
2022-09-01,350.978
2022-10-01,352.617
2022-11-01,354.16
2022-12-01,356.168
2023-01-01,359.292
2023-02-01,361.699
2023-03-01,363.264
2023-04-01,364.698
2023-05-01,366.07
2023-06-01,367.946
2023-07-01,369.411
2023-08-01,370.583
2023-09-01,372.524
2023-10-01,373.512
2023-11-01,375.071
