"Date","CUSR0000SETB"
2021-11-01,301.465
2021-12-01,312.991
2022-01-01,312.392
2022-02-01,326.95
2022-03-01,370.313
2022-04-01,359.446
2022-05-01,371.309
2022-06-01,409.172
2022-07-01,376.628
2022-08-01,345.405
2022-09-01,331.035
2022-10-01,342.074
2022-11-01,334.398
2022-12-01,311.347
2023-01-01,318.436
2023-02-01,321.347
2023-03-01,306.124
2023-04-01,314.704
2023-05-01,297.187
2023-06-01,300.004
2023-07-01,300.497
2023-08-01,332.518
2023-09-01,339.842
2023-10-01,323.088
2023-11-01,303.733
