"Date","CUSR0000SEFW"
1991-01-01,132.4
1991-02-01,136.9
1991-03-01,137.3
1991-04-01,137.5
1991-05-01,137.6
1991-06-01,137.8
1991-07-01,138.2
1991-08-01,138.6
1991-09-01,138.9
1991-10-01,139.3
1991-11-01,139.3
1991-12-01,139.3
1992-01-01,140.1
1992-02-01,140.6
1992-03-01,141.5
1992-04-01,141.3
1992-05-01,141.6
1992-06-01,141.8
1992-07-01,142
1992-08-01,141.8
1992-09-01,142.1
1992-10-01,142.3
1992-11-01,142.3
1992-12-01,142.2
1993-01-01,142.4
1993-02-01,142.7
1993-03-01,142.1
1993-04-01,142.1
1993-05-01,141.8
1993-06-01,141.9
1993-07-01,141.7
1993-08-01,142
1993-09-01,142.3
1993-10-01,142.3
1993-11-01,142.7
1993-12-01,142.8
1994-01-01,142.7
1994-02-01,142.5
1994-03-01,142.4
1994-04-01,142.3
1994-05-01,142.3
1994-06-01,142.6
1994-07-01,142.8
1994-08-01,142.4
1994-09-01,142.2
1994-10-01,142.2
1994-11-01,142.4
1994-12-01,142.4
1995-01-01,142.3
1995-02-01,142.2
1995-03-01,142.6
1995-04-01,142.9
1995-05-01,143.3
1995-06-01,142.9
1995-07-01,142.7
1995-08-01,143.6
1995-09-01,143.3
1995-10-01,143.7
1995-11-01,144.1
1995-12-01,143.6
1996-01-01,144.4
1996-02-01,145.1
1996-03-01,145.9
1996-04-01,145.9
1996-05-01,146.2
1996-06-01,146.6
1996-07-01,147
1996-08-01,147.3
1996-09-01,147.8
1996-10-01,148.1
1996-11-01,148.1
1996-12-01,148.5
1997-01-01,148.8
1997-02-01,149
1997-03-01,149.1
1997-04-01,149.1
1997-05-01,149.5
1997-06-01,149.4
1997-07-01,149.5
1997-08-01,149.9
1997-09-01,149.8
1997-10-01,149.9
1997-11-01,149.6
1997-12-01,149.8
1998-01-01,150
1998-02-01,149.8
1998-03-01,149.9
1998-04-01,150.1
1998-05-01,150.2
1998-06-01,150.5
1998-07-01,150.5
1998-08-01,150.6
1998-09-01,151
1998-10-01,151.2
1998-11-01,151.6
1998-12-01,151.9
1999-01-01,152
1999-02-01,152.7
1999-03-01,152.4
1999-04-01,152.8
1999-05-01,153.2
1999-06-01,153.4
1999-07-01,153.9
1999-08-01,154.2
1999-09-01,154.6
1999-10-01,154.4
1999-11-01,155.3
1999-12-01,155.9
2000-01-01,156.1
2000-02-01,156.5
2000-03-01,157.5
2000-04-01,157.6
2000-05-01,157.4
2000-06-01,158.1
2000-07-01,158.4
2000-08-01,158.7
2000-09-01,158.5
2000-10-01,158.9
2000-11-01,159.4
2000-12-01,159.7
2001-01-01,160
2001-02-01,160.2
2001-03-01,160.2
2001-04-01,160.3
2001-05-01,160.4
2001-06-01,160.8
2001-07-01,161.2
2001-08-01,161.5
2001-09-01,162
2001-10-01,162.2
2001-11-01,162.4
2001-12-01,162
2002-01-01,162.7
2002-02-01,163.5
2002-03-01,162.8
2002-04-01,163.3
2002-05-01,163.8
2002-06-01,164
2002-07-01,164.3
2002-08-01,164.7
2002-09-01,164
2002-10-01,165
2002-11-01,164.9
2002-12-01,165.4
2003-01-01,165.6
2003-02-01,165.5
2003-03-01,166
2003-04-01,165.8
2003-05-01,166.1
2003-06-01,166.2
2003-07-01,166.5
2003-08-01,166.6
2003-09-01,166.9
2003-10-01,167.3
2003-11-01,167.7
2003-12-01,168.2
2004-01-01,168.4
2004-02-01,168.4
2004-03-01,169.1
2004-04-01,170.1
2004-05-01,169.9
2004-06-01,170.3
2004-07-01,169.8
2004-08-01,170.4
2004-09-01,171.3
2004-10-01,171.4
2004-11-01,171.9
2004-12-01,172
2005-01-01,171.7
2005-02-01,171.8
2005-03-01,171.8
2005-04-01,172.3
2005-05-01,171.9
2005-06-01,171.9
2005-07-01,172.2
2005-08-01,172.6
2005-09-01,173
2005-10-01,172.8
2005-11-01,173.1
2005-12-01,172.6
2006-01-01,173.6
2006-02-01,174.2
2006-03-01,174.5
2006-04-01,174.5
2006-05-01,175
2006-06-01,175.5
2006-07-01,175.4
2006-08-01,175.1
2006-09-01,174.9
2006-10-01,175.4
2006-11-01,175.5
2006-12-01,174.9
2007-01-01,176.107
2007-02-01,176.747
2007-03-01,178.135
2007-04-01,178.052
2007-05-01,178.715
2007-06-01,179.497
2007-07-01,179.456
2007-08-01,180.203
2007-09-01,180.242
2007-10-01,180.533
2007-11-01,180.705
2007-12-01,180.679
2008-01-01,181.785
2008-02-01,182.565
2008-03-01,182.759
2008-04-01,183.732
2008-05-01,183.79
2008-06-01,183.8
2008-07-01,184.69
2008-08-01,185.179
2008-09-01,186.356
2008-10-01,187.165
2008-11-01,187.982
2008-12-01,188.832
2009-01-01,189.19
2009-02-01,189.17
2009-03-01,189.528
2009-04-01,188.699
2009-05-01,189.516
2009-06-01,190.101
2009-07-01,190.508
2009-08-01,191.157
2009-09-01,190.829
2009-10-01,190.927
2009-11-01,192.292
2009-12-01,191.493
2010-01-01,190.433
2010-02-01,190.246
2010-03-01,190.134
2010-04-01,190.14
2010-05-01,190.561
2010-06-01,190.579
2010-07-01,191.67
2010-08-01,191.411
2010-09-01,191.658
2010-10-01,191.898
2010-11-01,191.643
2010-12-01,191.335
2011-01-01,191.464
2011-02-01,191.852
2011-03-01,191.686
2011-04-01,192.189
2011-05-01,191.925
2011-06-01,191.966
2011-07-01,191.266
2011-08-01,191.564
2011-09-01,191.609
2011-10-01,192.109
2011-11-01,192.091
2011-12-01,191.676
2012-01-01,193.221
2012-02-01,193.253
2012-03-01,193.221
2012-04-01,193.063
2012-05-01,193.424
2012-06-01,193.8
2012-07-01,193.674
2012-08-01,193.198
2012-09-01,193.516
2012-10-01,193.293
2012-11-01,193.548
2012-12-01,193.741
2013-01-01,193.881
2013-02-01,194.702
2013-03-01,195.144
2013-04-01,195.572
2013-05-01,195.582
2013-06-01,195.946
2013-07-01,196.33
2013-08-01,196.525
2013-09-01,196.145
2013-10-01,195.873
2013-11-01,195.957
2013-12-01,196.552
2014-01-01,196.606
2014-02-01,195.983
2014-03-01,196.228
2014-04-01,196.174
2014-05-01,196.565
2014-06-01,196.453
2014-07-01,196.409
2014-08-01,198.129
2014-09-01,197.753
2014-10-01,197.057
2014-11-01,198.652
2014-12-01,197.612
2015-01-01,196.84
2015-02-01,196.915
2015-03-01,197.113
2015-04-01,196.831
2015-05-01,197.283
2015-06-01,196.94
2015-07-01,197.17
2015-08-01,197.426
2015-09-01,196.977
2015-10-01,198.169
2015-11-01,198.045
2015-12-01,197.561
2016-01-01,198.847
2016-02-01,199.188
2016-03-01,198.824
2016-04-01,199
2016-05-01,198.984
2016-06-01,199.02
2016-07-01,198.958
2016-08-01,198.815
2016-09-01,198.923
2016-10-01,199.173
2016-11-01,198.799
2016-12-01,199.18
2017-01-01,200.164
2017-02-01,199.632
2017-03-01,199.855
2017-04-01,200.612
2017-05-01,199.576
2017-06-01,199.179
2017-07-01,199.743
2017-08-01,199.92
2017-09-01,200.633
2017-10-01,201.027
2017-11-01,201.57
2017-12-01,201.709
2018-01-01,201.299
2018-02-01,201.698
2018-03-01,201.687
2018-04-01,201.946
2018-05-01,201.764
2018-06-01,202.285
2018-07-01,202.125
2018-08-01,202.036
2018-09-01,203.018
2018-10-01,203.435
2018-11-01,204.136
2018-12-01,204.695
2019-01-01,204.981
2019-02-01,206.006
2019-03-01,204.996
2019-04-01,204.016
2019-05-01,205.352
2019-06-01,205.601
2019-07-01,206.142
2019-08-01,206.485
2019-09-01,206.154
2019-10-01,205.774
2019-11-01,205.104
2019-12-01,205.227
2020-01-01,206.054
2020-02-01,206.952
2020-03-01,207.944
2020-04-01,208.712
2020-05-01,209.311
2020-06-01,209.117
2020-07-01,209.241
2020-08-01,209.009
2020-09-01,209.436
2020-10-01,210.26
2020-11-01,211.022
2020-12-01,211.043
2021-01-01,211.057
2021-02-01,210.754
2021-03-01,210.996
2021-04-01,211.062
2021-05-01,211.74
2021-06-01,212.403
2021-07-01,212.782
2021-08-01,213.372
2021-09-01,214.505
2021-10-01,213.597
2021-11-01,213.734
2021-12-01,213.6
2022-01-01,214.285
2022-02-01,216.142
2022-03-01,216.591
2022-04-01,217.116
2022-05-01,217.491
2022-06-01,218.421
2022-07-01,219.262
2022-08-01,220.152
2022-09-01,220.834
2022-10-01,221.743
2022-11-01,223.316
2022-12-01,224.772
2023-01-01,225.591
2023-02-01,225.447
2023-03-01,224.996
2023-04-01,225.01
2023-05-01,225.913
2023-06-01,225.373
2023-07-01,225.257
2023-08-01,225.408
2023-09-01,227.296
2023-10-01,227.646
2023-11-01,226.636
