"Date","CUURA207SETB01"
2000-09-01,129.3
2000-10-01,127.4
2000-11-01,130.4
2000-12-01,123.6
2001-01-01,130.7
2001-02-01,126.7
2001-03-01,118.2
2001-04-01,145
2001-05-01,169.6
2001-06-01,154
2001-07-01,121.8
2001-08-01,133.3
2001-09-01,157.8
2001-10-01,126.3
2001-11-01,106.6
2001-12-01,102.4
2002-01-01,100.1
2002-02-01,98.6
2002-03-01,117.6
2002-04-01,131.9
2002-05-01,131.8
2002-06-01,132.1
2002-07-01,128.8
2002-08-01,130.9
2002-09-01,130
2002-10-01,135.7
2002-11-01,131
2002-12-01,118.9
2003-01-01,131.1
2003-02-01,146.9
2003-03-01,152.5
2003-04-01,138
2003-05-01,135.7
2003-06-01,140.7
2003-07-01,137.3
2003-08-01,146.7
2003-09-01,153.9
2003-10-01,143.7
2003-11-01,137.9
2003-12-01,133.4
2004-01-01,146.1
2004-02-01,149.1
2004-03-01,151.1
2004-04-01,163.5
2004-05-01,181.3
2004-06-01,175.7
2004-07-01,166.9
2004-08-01,167.1
2004-09-01,163.2
2004-10-01,178.9
2004-11-01,174.9
2004-12-01,163.2
2005-01-01,160
2005-02-01,167.3
2005-03-01,176.9
2005-04-01,197.4
2005-05-01,190
2005-06-01,189.8
2005-07-01,202.7
2005-08-01,222.3
2005-09-01,253
2005-10-01,235
2005-11-01,202.2
2005-12-01,193
2006-01-01,204.7
2006-02-01,198
2006-03-01,211.8
2006-04-01,239
2006-05-01,251.8
2006-06-01,256.9
2006-07-01,273.7
2006-08-01,274.2
2006-09-01,235.8
2006-10-01,197.5
2006-11-01,194.8
2006-12-01,201.7
2007-01-01,192.073
2007-02-01,200.313
2007-03-01,217.801
2007-04-01,246.431
2007-05-01,289.52
2007-06-01,291.237
2007-07-01,273.572
2007-08-01,259.055
2007-09-01,269.623
2007-10-01,249.085
2007-11-01,268.125
2007-12-01,264.285
2008-01-01,272.082
2008-02-01,266.446
2008-03-01,282.51
2008-04-01,309.186
2008-05-01,338.475
2008-06-01,361.349
2008-07-01,367.527
2008-08-01,346.872
2008-09-01,343.403
2008-10-01,297.063
2008-11-01,201.879
2008-12-01,149.755
2009-01-01,170.054
2009-02-01,169.482
2009-03-01,175.322
2009-04-01,186.11
2009-05-01,213.513
2009-06-01,245.792
2009-07-01,230.868
2009-08-01,236.989
2009-09-01,225.936
2009-10-01,225.183
2009-11-01,240.002
2009-12-01,231.349
2010-01-01,246.541
2010-02-01,237.754
2010-03-01,246.789
2010-04-01,263.115
2010-05-01,268.973
2010-06-01,250.672
2010-07-01,248.401
2010-08-01,248.383
2010-09-01,250.283
2010-10-01,252.918
2010-11-01,256.518
2010-12-01,268.53
2011-01-01,281.159
2011-02-01,288.112
2011-03-01,315.197
2011-04-01,348.683
2011-05-01,376.287
2011-06-01,355.979
2011-07-01,340.941
2011-08-01,339.894
2011-09-01,335.509
2011-10-01,304.877
2011-11-01,306.569
2011-12-01,294.064
2012-01-01,310.451
2012-02-01,311.354
2012-03-01,358.779
2012-04-01,367.276
2012-05-01,357.393
2012-06-01,334.259
2012-07-01,321.133
2012-08-01,358.166
2012-09-01,365.565
2012-10-01,339.623
2012-11-01,311.2
2012-12-01,304.019
2013-01-01,293.337
2013-02-01,334.653
2013-03-01,339.502
2013-04-01,340.323
2013-05-01,362.599
2013-06-01,369.901
2013-07-01,341.343
2013-08-01,332.941
2013-09-01,328.175
2013-10-01,309.886
2013-11-01,292.234
2013-12-01,289.751
2014-01-01,302.329
2014-02-01,305.015
2014-03-01,333.748
2014-04-01,344.472
2014-05-01,340.282
2014-06-01,351.358
2014-07-01,327.852
2014-08-01,315.586
2014-09-01,319.414
2014-10-01,293.546
2014-11-01,267.032
2014-12-01,229.771
2015-01-01,186.485
2015-02-01,207.984
2015-03-01,229.201
2015-04-01,236.865
2015-05-01,253.927
2015-06-01,274.695
2015-07-01,261.715
2015-08-01,264.342
2015-09-01,237.632
2015-10-01,230.499
2015-11-01,203.058
2015-12-01,183.208
2016-01-01,172.365
2016-02-01,146.68
2016-03-01,180.039
2016-04-01,200.25
2016-05-01,216.003
2016-06-01,234.9
2016-07-01,207.812
2016-08-01,205.974
2016-09-01,209.42
2016-10-01,209.91
2016-11-01,194.38
2016-12-01,209.568
2017-01-01,221.456
2017-02-01,209.239
2017-03-01,212.95
2017-04-01,229.645
2017-05-01,219.2
2017-06-01,211.791
2017-07-01,215.557
2017-08-01,221.547
2017-09-01,233.691
2017-10-01,229.298
2017-11-01,247.15
2017-12-01,231.9
2018-01-01,240.999
2018-02-01,234.174
2018-03-01,236.672
2018-04-01,254.381
2018-05-01,274.555
2018-06-01,268.535
2018-07-01,262.555
2018-08-01,260.091
2018-09-01,261.826
2018-10-01,254.156
2018-11-01,221.888
2018-12-01,201.81
2019-01-01,193.754
2019-02-01,210.828
2019-03-01,241.378
2019-04-01,268.17
2019-05-01,276.898
2019-06-01,261.79
2019-07-01,270.619
2019-08-01,250.32
2019-09-01,244.611
2019-10-01,238.971
2019-11-01,233.859
2019-12-01,230.624
2020-01-01,234.538
2020-02-01,229.843
2020-03-01,206.47
2020-04-01,168.745
2020-05-01,188.856
2020-06-01,204.664
2020-07-01,207.227
2020-08-01,205.96
2020-09-01,201.921
2020-10-01,196.807
2020-11-01,190.07
2020-12-01,200.005
2021-01-01,215.937
2021-02-01,232.627
2021-03-01,258.891
2021-04-01,268.634
2021-05-01,281.843
2021-06-01,292.987
2021-07-01,297.569
2021-08-01,296.467
2021-09-01,296.726
2021-10-01,305.958
2021-11-01,310.637
2021-12-01,298.513
2022-01-01,299.814
2022-02-01,319.621
2022-03-01,384.376
2022-04-01,382.743
2022-05-01,423.695
2022-06-01,490.064
2022-07-01,451.306
2022-08-01,391.615
2022-09-01,363.541
2022-10-01,379.784
2022-11-01,361.632
2022-12-01,296.891
2023-01-01,307.122
2023-02-01,312.531
2023-03-01,321.03
2023-04-01,357.405
2023-05-01,355.613
2023-06-01,362.997
2023-07-01,350.502
2023-08-01,368.92
2023-09-01,350.084
2023-10-01,319.078
2023-11-01,307.257
