"Date","CUSR0000SEMD"
1993-05-01,230.5
1993-06-01,231.9
1993-07-01,233.1
1993-08-01,234
1993-09-01,235.1
1993-10-01,236.7
1993-11-01,237.8
1993-12-01,238.7
1994-01-01,239.6
1994-02-01,240.6
1994-03-01,241.6
1994-04-01,242.6
1994-05-01,243.9
1994-06-01,245
1994-07-01,246.2
1994-08-01,247.3
1994-09-01,248.6
1994-10-01,249.7
1994-11-01,250.5
1994-12-01,251.8
1995-01-01,252.6
1995-02-01,253.6
1995-03-01,254.3
1995-04-01,255.3
1995-05-01,256
1995-06-01,256.8
1995-07-01,257.8
1995-08-01,259.3
1995-09-01,260.6
1995-10-01,261.4
1995-11-01,262.4
1995-12-01,263.2
1996-01-01,264.4
1996-02-01,265.2
1996-03-01,266.4
1996-04-01,267.1
1996-05-01,268.1
1996-06-01,269.5
1996-07-01,270.5
1996-08-01,271
1996-09-01,271.8
1996-10-01,272.5
1996-11-01,273.3
1996-12-01,274.2
1997-01-01,275
1997-02-01,275.3
1997-03-01,276.2
1997-04-01,277
1997-05-01,277.8
1997-06-01,278.3
1997-07-01,278.4
1997-08-01,278.7
1997-09-01,279.6
1997-10-01,280.4
1997-11-01,281.5
1997-12-01,283.1
1998-01-01,282.8
1998-02-01,283.9
1998-03-01,284.5
1998-04-01,285.5
1998-05-01,286.1
1998-06-01,286.5
1998-07-01,288.5
1998-08-01,289.1
1998-09-01,289.4
1998-10-01,290.5
1998-11-01,291.1
1998-12-01,292.3
1999-01-01,293.8
1999-02-01,294.9
1999-03-01,295.8
1999-04-01,296.3
1999-05-01,297.6
1999-06-01,298.4
1999-07-01,299.7
1999-08-01,300.9
1999-09-01,302.4
1999-10-01,303.3
1999-11-01,304.2
1999-12-01,306.6
2000-01-01,307.8
2000-02-01,309.2
2000-03-01,310.6
2000-04-01,312.7
2000-05-01,314.2
2000-06-01,316.5
2000-07-01,318.8
2000-08-01,320.9
2000-09-01,322.8
2000-10-01,324
2000-11-01,325
2000-12-01,325.3
2001-01-01,327.8
2001-02-01,329.7
2001-03-01,331.8
2001-04-01,333.3
2001-05-01,335.7
2001-06-01,337.5
2001-07-01,338.8
2001-08-01,340.9
2001-09-01,343
2001-10-01,345.2
2001-11-01,347
2001-12-01,349.1
2002-01-01,352.5
2002-02-01,354.9
2002-03-01,358.1
2002-04-01,362
2002-05-01,364.8
2002-06-01,366.1
2002-07-01,368.4
2002-08-01,371.4
2002-09-01,374.1
2002-10-01,377.5
2002-11-01,380.6
2002-12-01,383.2
2003-01-01,384.9
2003-02-01,386.3
2003-03-01,387
2003-04-01,388.1
2003-05-01,389.2
2003-06-01,392.6
2003-07-01,395.5
2003-08-01,398.7
2003-09-01,400.9
2003-10-01,401.8
2003-11-01,405.2
2003-12-01,407.7
2004-01-01,408.6
2004-02-01,410.2
2004-03-01,411.7
2004-04-01,412.9
2004-05-01,414.8
2004-06-01,417.8
2004-07-01,420
2004-08-01,420
2004-09-01,422
2004-10-01,424.1
2004-11-01,424.5
2004-12-01,428.8
2005-01-01,429.9
2005-02-01,432
2005-03-01,434.8
2005-04-01,436.2
2005-05-01,437.4
2005-06-01,438.8
2005-07-01,441.5
2005-08-01,441.1
2005-09-01,441.9
2005-10-01,445.4
2005-11-01,449.2
2005-12-01,451
2006-01-01,452.6
2006-02-01,457.1
2006-03-01,460.1
2006-04-01,462.8
2006-05-01,465.6
2006-06-01,468.3
2006-07-01,469.9
2006-08-01,472.9
2006-09-01,474.4
2006-10-01,476
2006-11-01,478.2
2006-12-01,479.8
2007-01-01,481.4
2007-02-01,484.146
2007-03-01,486.613
2007-04-01,489.844
2007-05-01,493.25
2007-06-01,495.795
2007-07-01,500.259
2007-08-01,503.134
2007-09-01,506.835
2007-10-01,511.89
2007-11-01,515.793
2007-12-01,518.567
2008-01-01,522.7
2008-02-01,523.864
2008-03-01,525.453
2008-04-01,527.597
2008-05-01,529.919
2008-06-01,532.439
2008-07-01,534.562
2008-08-01,537.7
2008-09-01,540.409
2008-10-01,542.784
2008-11-01,543.704
2008-12-01,546.583
2009-01-01,550.835
2009-02-01,553.905
2009-03-01,557.546
2009-04-01,562.598
2009-05-01,563.442
2009-06-01,565.212
2009-07-01,569.44
2009-08-01,572.39
2009-09-01,575.26
2009-10-01,577.182
2009-11-01,582.222
2009-12-01,584.832
2010-01-01,587.969
2010-02-01,593.682
2010-03-01,599.818
2010-04-01,601.942
2010-05-01,604.181
2010-06-01,607.047
2010-07-01,605.352
2010-08-01,608.594
2010-09-01,617.542
2010-10-01,621.176
2010-11-01,620.644
2010-12-01,624.23
2011-01-01,625.928
2011-02-01,628.558
2011-03-01,630.08
2011-04-01,633.979
2011-05-01,638.038
2011-06-01,640.023
2011-07-01,642.595
2011-08-01,646.535
2011-09-01,647.641
2011-10-01,651.864
2011-11-01,655.723
2011-12-01,657.349
2012-01-01,659.475
2012-02-01,659.495
2012-03-01,660.699
2012-04-01,664.458
2012-05-01,667.993
2012-06-01,674.189
2012-07-01,677.217
2012-08-01,674.938
2012-09-01,677.529
2012-10-01,678.981
2012-11-01,683.221
2012-12-01,687.128
2013-01-01,688.415
2013-02-01,692.496
2013-03-01,695.528
2013-04-01,691.69
2013-05-01,692.422
2013-06-01,696.553
2013-07-01,699.12
2013-08-01,710.158
2013-09-01,713.099
2013-10-01,711.827
2013-11-01,711.32
2013-12-01,713.838
2014-01-01,718.371
2014-02-01,723.172
2014-03-01,728.539
2014-04-01,730.285
2014-05-01,732.384
2014-06-01,733.709
2014-07-01,735.61
2014-08-01,735.917
2014-09-01,738.398
2014-10-01,740.273
2014-11-01,742.729
2014-12-01,747.15
2015-01-01,747.897
2015-02-01,746.511
2015-03-01,751.278
2015-04-01,761.442
2015-05-01,765.353
2015-06-01,759.742
2015-07-01,759.823
2015-08-01,760.648
2015-09-01,762.048
2015-10-01,775.62
2015-11-01,775.227
2015-12-01,776.436
2016-01-01,780.152
2016-02-01,783.972
2016-03-01,783.951
2016-04-01,785.268
2016-05-01,789.789
2016-06-01,790.762
2016-07-01,793.904
2016-08-01,804.742
2016-09-01,805.184
2016-10-01,806.78
2016-11-01,807.186
2016-12-01,809.827
2017-01-01,810.692
2017-02-01,816.569
2017-03-01,819.59
2017-04-01,825.772
2017-05-01,826.891
2017-06-01,832.82
2017-07-01,835.838
2017-08-01,837.282
2017-09-01,839.67
2017-10-01,842.773
2017-11-01,844.568
2017-12-01,847.805
2018-01-01,857.19
2018-02-01,860.348
2018-03-01,862.929
2018-04-01,864.05
2018-05-01,865.068
2018-06-01,869.235
2018-07-01,870.943
2018-08-01,868.611
2018-09-01,868.531
2018-10-01,869.306
2018-11-01,872.702
2018-12-01,874.395
2019-01-01,878.079
2019-02-01,878.572
2019-03-01,879.731
2019-04-01,876.495
2019-05-01,878.419
2019-06-01,876.501
2019-07-01,880.055
2019-08-01,887.607
2019-09-01,887.196
2019-10-01,898.649
2019-11-01,900.61
2019-12-01,900.011
2020-01-01,910.413
2020-02-01,914.38
2020-03-01,916.649
2020-04-01,919.94
2020-05-01,919.075
2020-06-01,920.358
2020-07-01,921.834
2020-08-01,922.205
2020-09-01,926.748
2020-10-01,925.515
2020-11-01,927.819
2020-12-01,928.006
2021-01-01,936.837
2021-02-01,939.095
2021-03-01,944.047
2021-04-01,945.329
2021-05-01,944.68
2021-06-01,945.145
2021-07-01,949.676
2021-08-01,955.94
2021-09-01,957.583
2021-10-01,963.08
2021-11-01,960.327
2021-12-01,958.317
2022-01-01,970.276
2022-02-01,971.164
2022-03-01,976.121
2022-04-01,979.305
2022-05-01,980.975
2022-06-01,982.189
2022-07-01,987.935
2022-08-01,994.696
2022-09-01,995.304
2022-10-01,995.687
2022-11-01,990.704
2022-12-01,1002.086
2023-01-01,1008.954
2023-02-01,1010.04
2023-03-01,1007.592
2023-04-01,1011.879
2023-05-01,1019.584
2023-06-01,1023.107
2023-07-01,1021.483
2023-08-01,1029.389
2023-09-01,1041.741
2023-10-01,1051.855
2023-11-01,1052.718
