"Date","CUURA207SA0LE"
1991-05-01,141.6
1991-06-01,141.4
1991-07-01,141.6
1991-08-01,142
1991-09-01,142.8
1991-10-01,143.1
1991-11-01,143.7
1991-12-01,143.3
1992-01-01,144
1992-02-01,144.9
1992-03-01,145.6
1992-04-01,145.6
1992-05-01,146
1992-06-01,146
1992-07-01,146.6
1992-08-01,147.4
1992-09-01,147.9
1992-10-01,147.7
1992-11-01,147.9
1992-12-01,148
1993-01-01,148.5
1993-02-01,149.1
1993-03-01,149.7
1993-04-01,150.1
1993-05-01,150.9
1993-06-01,150.3
1993-07-01,150.5
1993-08-01,151.3
1993-09-01,152
1993-10-01,152.7
1993-11-01,153
1993-12-01,152.8
1994-01-01,153.3
1994-02-01,153.6
1994-03-01,154.3
1994-04-01,154.7
1994-05-01,154.5
1994-06-01,154.4
1994-07-01,154.7
1994-08-01,156
1994-09-01,156.6
1994-10-01,156.4
1994-11-01,156.9
1994-12-01,156.9
1995-01-01,158.1
1995-02-01,159
1995-03-01,159.6
1995-04-01,160.1
1995-05-01,159.8
1995-06-01,159.7
1995-07-01,160
1995-08-01,160.5
1995-09-01,161
1995-10-01,161.6
1995-11-01,161.4
1995-12-01,161
1996-01-01,161.6
1996-02-01,162.3
1996-03-01,163
1996-04-01,162.7
1996-05-01,162.9
1996-06-01,163.4
1996-07-01,163.6
1996-08-01,164.2
1996-09-01,164.4
1996-10-01,165.3
1996-11-01,165.7
1996-12-01,165.8
1997-01-01,166
1997-02-01,167.1
1997-03-01,167.7
1997-04-01,168.1
1997-05-01,168.4
1997-06-01,168.7
1997-07-01,168.8
1997-08-01,169.4
1997-09-01,169
1997-10-01,169.9
1997-11-01,170
1997-12-01,170
1998-01-01,170.5
1998-02-01,171.3
1998-03-01,172.2
1998-04-01,173
1998-05-01,173.4
1998-06-01,173.5
1998-07-01,174.3
1998-08-01,173.8
1998-09-01,173.8
1998-10-01,174.6
1998-11-01,174.3
1998-12-01,173.9
1999-01-01,175.1
1999-02-01,175.8
1999-03-01,176.3
1999-04-01,176.6
1999-05-01,177
1999-06-01,177.5
1999-07-01,177.7
1999-08-01,177.5
1999-09-01,177.5
1999-10-01,177.6
1999-11-01,177.1
1999-12-01,177.1
2000-01-01,178.2
2000-02-01,179.2
2000-03-01,179.7
2000-04-01,179.5
2000-05-01,180.6
2000-06-01,180.8
2000-07-01,180.9
2000-08-01,180.6
2000-09-01,181.2
2000-10-01,181.5
2000-11-01,182
2000-12-01,181.8
2001-01-01,182.5
2001-02-01,183.2
2001-03-01,183.1
2001-04-01,184.2
2001-05-01,184.8
2001-06-01,185
2001-07-01,185.6
2001-08-01,185.6
2001-09-01,186.8
2001-10-01,187.2
2001-11-01,187
2001-12-01,187.5
2002-01-01,187.7
2002-02-01,188.8
2002-03-01,189
2002-04-01,189.3
2002-05-01,189.6
2002-06-01,189.9
2002-07-01,189.2
2002-08-01,189.7
2002-09-01,190.3
2002-10-01,190.8
2002-11-01,191.4
2002-12-01,191
2003-01-01,190.6
2003-02-01,191.4
2003-03-01,190.9
2003-04-01,190.4
2003-05-01,190.8
2003-06-01,190.9
2003-07-01,191
2003-08-01,191.2
2003-09-01,192.8
2003-10-01,193.3
2003-11-01,193.3
2003-12-01,193.3
2004-01-01,192.2
2004-02-01,193.4
2004-03-01,193.4
2004-04-01,193.7
2004-05-01,194.5
2004-06-01,194.5
2004-07-01,194.8
2004-08-01,196.2
2004-09-01,196.3
2004-10-01,196.8
2004-11-01,196.1
2004-12-01,195.5
2005-01-01,196
2005-02-01,196.5
2005-03-01,197.2
2005-04-01,198
2005-05-01,198.3
2005-06-01,199.2
2005-07-01,198.4
2005-08-01,199.3
2005-09-01,199.6
2005-10-01,199.3
2005-11-01,199.8
2005-12-01,199.6
2006-01-01,200.5
2006-02-01,200.9
2006-03-01,201.6
2006-04-01,201.2
2006-05-01,201.5
2006-06-01,202
2006-07-01,201.6
2006-08-01,203
2006-09-01,203.6
2006-10-01,203.6
2006-11-01,203.4
2006-12-01,202.4
2007-01-01,203.576
2007-02-01,204.35
2007-03-01,205.462
2007-04-01,205.568
2007-05-01,205.865
2007-06-01,206.341
2007-07-01,206.658
2007-08-01,207.791
2007-09-01,208.175
2007-10-01,209.427
2007-11-01,209.787
2007-12-01,209.242
2008-01-01,210.651
2008-02-01,211.242
2008-03-01,212.262
2008-04-01,212.033
2008-05-01,212.432
2008-06-01,212.096
2008-07-01,212.626
2008-08-01,213.044
2008-09-01,213.265
2008-10-01,213.442
2008-11-01,212.311
2008-12-01,211.576
2009-01-01,213.013
2009-02-01,212.869
2009-03-01,213.437
2009-04-01,214.052
2009-05-01,214.955
2009-06-01,215.217
2009-07-01,215.417
2009-08-01,215.964
2009-09-01,216.321
2009-10-01,216.833
2009-11-01,216.362
2009-12-01,215.803
2010-01-01,215.568
2010-02-01,216.126
2010-03-01,216.32
2010-04-01,216.306
2010-05-01,216.155
2010-06-01,215.297
2010-07-01,215.272
2010-08-01,215.96
2010-09-01,216.573
2010-10-01,216.963
2010-11-01,216.647
2010-12-01,216.894
2011-01-01,217.958
2011-02-01,218.496
2011-03-01,219.207
2011-04-01,218.952
2011-05-01,219.459
2011-06-01,220.043
2011-07-01,219.284
2011-08-01,220.133
2011-09-01,220.521
2011-10-01,221.426
2011-11-01,221.146
2011-12-01,220.612
2012-01-01,221.502
2012-02-01,221.874
2012-03-01,223.054
2012-04-01,223.016
2012-05-01,223.46
2012-06-01,224.078
2012-07-01,224.13
2012-08-01,223.935
2012-09-01,224.242
2012-10-01,224.409
2012-11-01,224.465
2012-12-01,224.268
2013-01-01,225.096
2013-02-01,225.956
2013-03-01,225.835
2013-04-01,226.196
2013-05-01,226.33
2013-06-01,226.455
2013-07-01,226.908
2013-08-01,227.425
2013-09-01,227.315
2013-10-01,227.364
2013-11-01,227.305
2013-12-01,226.6
2014-01-01,227.797
2014-02-01,228.692
2014-03-01,229.072
2014-04-01,229.276
2014-05-01,229.984
2014-06-01,230.222
2014-07-01,229.879
2014-08-01,230.71
2014-09-01,231.113
2014-10-01,231.621
2014-11-01,231.15
2014-12-01,230.696
2015-01-01,232.128
2015-02-01,231.608
2015-03-01,232.468
2015-04-01,232.627
2015-05-01,232.881
2015-06-01,232.916
2015-07-01,233.13
2015-08-01,233.963
2015-09-01,234.369
2015-10-01,234.474
2015-11-01,234.552
2015-12-01,233.997
2016-01-01,236.334
2016-02-01,236.599
2016-03-01,235.765
2016-04-01,236.685
2016-05-01,236.127
2016-06-01,236.647
2016-07-01,235.337
2016-08-01,235.883
2016-09-01,237.087
2016-10-01,237.381
2016-11-01,238.381
2016-12-01,237.418
2017-01-01,238.546
2017-02-01,239.321
2017-03-01,238.881
2017-04-01,239.347
2017-05-01,240.108
2017-06-01,239.913
2017-07-01,239.964
2017-08-01,240.539
2017-09-01,241.226
2017-10-01,241.203
2017-11-01,240.991
2017-12-01,240.408
2018-01-01,242.254
2018-02-01,242.603
2018-03-01,242.722
2018-04-01,243.712
2018-05-01,243.862
2018-06-01,243.653
2018-07-01,243.17
2018-08-01,243.373
2018-09-01,244.335
2018-10-01,244.768
2018-11-01,244.519
2018-12-01,244.358
2019-01-01,246.186
2019-02-01,247.23
2019-03-01,246.554
2019-04-01,245.051
2019-05-01,246.993
2019-06-01,246.468
2019-07-01,247.098
2019-08-01,248.173
2019-09-01,249.115
2019-10-01,250.072
2019-11-01,249.816
2019-12-01,249.323
2020-01-01,251.506
2020-02-01,251.593
2020-03-01,250.757
2020-04-01,249.577
2020-05-01,251.119
2020-06-01,251.645
2020-07-01,252.176
2020-08-01,252.492
2020-09-01,254.197
2020-10-01,254.208
2020-11-01,253.314
2020-12-01,252.556
2021-01-01,253.936
2021-02-01,254.777
2021-03-01,255.19
2021-04-01,257.135
2021-05-01,259.126
2021-06-01,259.839
2021-07-01,260.619
2021-08-01,260.707
2021-09-01,261.683
2021-10-01,263.034
2021-11-01,263.514
2021-12-01,264.956
2022-01-01,267.538
2022-02-01,269.097
2022-03-01,270.525
2022-04-01,271.836
2022-05-01,273.947
2022-06-01,275.5
2022-07-01,276.211
2022-08-01,278.257
2022-09-01,279.823
2022-10-01,280.397
2022-11-01,279.949
2022-12-01,280.002
2023-01-01,282.485
2023-02-01,283.638
2023-03-01,285.558
2023-04-01,286.877
2023-05-01,288.106
2023-06-01,288.633
2023-07-01,288.995
2023-08-01,289.088
2023-09-01,289.844
2023-10-01,291.708
2023-11-01,290.459
