"Date","CUUR0000SEGB"
2001-08-01,154.7
2001-09-01,155.5
2001-10-01,155.4
2001-11-01,155.4
2001-12-01,155.4
2002-01-01,155.2
2002-02-01,155.5
2002-03-01,155.1
2002-04-01,155.4
2002-05-01,154.8
2002-06-01,155.4
2002-07-01,154.6
2002-08-01,154.3
2002-09-01,154.4
2002-10-01,154.6
2002-11-01,154.2
2002-12-01,153.4
2003-01-01,153
2003-02-01,153.3
2003-03-01,153.3
2003-04-01,154.1
2003-05-01,153.6
2003-06-01,153.8
2003-07-01,154.2
2003-08-01,153.5
2003-09-01,153.4
2003-10-01,153.6
2003-11-01,153.2
2003-12-01,153.4
2004-01-01,153.8
2004-02-01,154.5
2004-03-01,154.5
2004-04-01,154.5
2004-05-01,154.6
2004-06-01,153.8
2004-07-01,153.4
2004-08-01,152.8
2004-09-01,153.5
2004-10-01,154
2004-11-01,153.8
2004-12-01,153.4
2005-01-01,153.1
2005-02-01,153.9
2005-03-01,153
2005-04-01,153.4
2005-05-01,154.4
2005-06-01,154.3
2005-07-01,155
2005-08-01,155.2
2005-09-01,154.8
2005-10-01,155
2005-11-01,155
2005-12-01,155.4
2006-01-01,155.8
2006-02-01,155.6
2006-03-01,155.2
2006-04-01,155
2006-05-01,154.6
2006-06-01,155.2
2006-07-01,155
2006-08-01,154.9
2006-09-01,156.4
2006-10-01,156.6
2006-11-01,156.1
2006-12-01,159
2007-01-01,157.699
2007-02-01,158.038
2007-03-01,158.592
2007-04-01,158.657
2007-05-01,158.594
2007-06-01,158.771
2007-07-01,158.457
2007-08-01,157.788
2007-09-01,157.643
2007-10-01,158.381
2007-11-01,158.561
2007-12-01,158.236
2008-01-01,158.201
2008-02-01,157.677
2008-03-01,158.44
2008-04-01,159.398
2008-05-01,158.79
2008-06-01,158.868
2008-07-01,158.989
2008-08-01,159.252
2008-09-01,159.643
2008-10-01,159.826
2008-11-01,161
2008-12-01,161.397
2009-01-01,162.588
2009-02-01,162.508
2009-03-01,162.696
2009-04-01,163.777
2009-05-01,163.051
2009-06-01,162.301
2009-07-01,162.887
2009-08-01,162.476
2009-09-01,162.372
2009-10-01,162.257
2009-11-01,161.753
2009-12-01,162.275
2010-01-01,161.627
2010-02-01,162.029
2010-03-01,162.367
2010-04-01,161.601
2010-05-01,160.351
2010-06-01,160.061
2010-07-01,161.372
2010-08-01,161.337
2010-09-01,160.985
2010-10-01,159.951
2010-11-01,160.401
2010-12-01,160.656
2011-01-01,160.92
2011-02-01,161.325
2011-03-01,160.981
2011-04-01,161.418
2011-05-01,159.478
2011-06-01,160.163
2011-07-01,159.763
2011-08-01,159.017
2011-09-01,160.162
2011-10-01,160.705
2011-11-01,161.585
2011-12-01,160.825
2012-01-01,161.256
2012-02-01,160.616
2012-03-01,162.62
2012-04-01,163.147
2012-05-01,161.538
2012-06-01,162.079
2012-07-01,162.39
2012-08-01,163.072
2012-09-01,163.135
2012-10-01,162.697
2012-11-01,162.363
2012-12-01,161.147
2013-01-01,160.566
2013-02-01,160.794
2013-03-01,162.72
2013-04-01,162.017
2013-05-01,161.184
2013-06-01,161.834
2013-07-01,161.324
2013-08-01,162.377
2013-09-01,162.529
2013-10-01,161.844
2013-11-01,161.937
2013-12-01,162.399
2014-01-01,162.744
2014-02-01,163.024
2014-03-01,163.19
2014-04-01,163.345
2014-05-01,162.929
2014-06-01,162.924
2014-07-01,163.702
2014-08-01,164.195
2014-09-01,164.603
2014-10-01,164.538
2014-11-01,163.239
2014-12-01,162.901
2015-01-01,164.83
2015-02-01,164.615
2015-03-01,164.086
2015-04-01,163.446
2015-05-01,163.185
2015-06-01,162.617
2015-07-01,162.404
2015-08-01,161.877
2015-09-01,162.437
2015-10-01,163.474
2015-11-01,163.143
2015-12-01,163.026
2016-01-01,163.313
2016-02-01,163.692
2016-03-01,163.554
2016-04-01,163.459
2016-05-01,163.162
2016-06-01,162.509
2016-07-01,162.878
2016-08-01,163.351
2016-09-01,163.164
2016-10-01,162.69
2016-11-01,162.264
2016-12-01,162.566
2017-01-01,162.379
2017-02-01,162.497
2017-03-01,161.555
2017-04-01,161.915
2017-05-01,161.04
2017-06-01,161.602
2017-07-01,161.577
2017-08-01,160.678
2017-09-01,161.511
2017-10-01,161.685
2017-11-01,162.223
2017-12-01,161.303
2018-01-01,161.939
2018-02-01,162.089
2018-03-01,161.995
2018-04-01,161.929
2018-05-01,161.707
2018-06-01,161.122
2018-07-01,161.265
2018-08-01,161.302
2018-09-01,161.457
2018-10-01,161.101
2018-11-01,160.79
2018-12-01,160.727
2019-01-01,161.397
2019-02-01,160.772
2019-03-01,160.19
2019-04-01,160.868
2019-05-01,160.588
2019-06-01,160.148
2019-07-01,161.071
2019-08-01,161.094
2019-09-01,160.662
2019-10-01,161.103
2019-11-01,161.193
2019-12-01,159.352
2020-01-01,159.47
2020-02-01,161.196
2020-03-01,161.018
2020-04-01,160.797
2020-05-01,160.212
2020-06-01,159.331
2020-07-01,160.218
2020-08-01,160.328
2020-09-01,159.878
2020-10-01,159.704
2020-11-01,159.758
2020-12-01,158.846
2021-01-01,159.785
2021-02-01,160.214
2021-03-01,159.962
2021-04-01,160.308
2021-05-01,159.678
2021-06-01,159.296
2021-07-01,159.111
2021-08-01,159.966
2021-09-01,159.755
2021-10-01,160.038
2021-11-01,159.359
2021-12-01,159.06
2022-01-01,160.224
2022-02-01,161.496
2022-03-01,163.175
2022-04-01,163.713
2022-05-01,164.174
2022-06-01,165.353
2022-07-01,167.052
2022-08-01,169.576
2022-09-01,170.217
2022-10-01,170.89
2022-11-01,171.226
2022-12-01,171.058
2023-01-01,171.539
2023-02-01,172.394
2023-03-01,173.801
2023-04-01,174.724
2023-05-01,176.484
2023-06-01,176.846
2023-07-01,177.651
2023-08-01,178.14
2023-09-01,178.898
2023-10-01,179.617
2023-11-01,178.553
