"Date","CWUR0000SAG"
1982-01-01,86.7
1982-02-01,87.4
1982-03-01,88.2
1982-04-01,88.8
1982-05-01,89.3
1982-06-01,89.5
1982-07-01,90
1982-08-01,90.5
1982-09-01,93
1982-10-01,94.7
1982-11-01,95.8
1982-12-01,96.9
1983-01-01,98.3
1983-02-01,98.9
1983-03-01,99
1983-04-01,99.5
1983-05-01,99.7
1983-06-01,100
1983-07-01,101.3
1983-08-01,101.9
1983-09-01,103.3
1983-10-01,104
1983-11-01,104.5
1983-12-01,104.7
1984-01-01,105.4
1984-02-01,105.8
1984-03-01,106
1984-04-01,106.3
1984-05-01,106.4
1984-06-01,106.9
1984-07-01,107.7
1984-08-01,108
1984-09-01,110
1984-10-01,110.3
1984-11-01,110.6
1984-12-01,110.6
1985-01-01,111.6
1985-02-01,112.2
1985-03-01,112.3
1985-04-01,112.6
1985-05-01,112.8
1985-06-01,113
1985-07-01,113.8
1985-08-01,114.2
1985-09-01,116.3
1985-10-01,116.8
1985-11-01,116.9
1985-12-01,117.4
1986-01-01,118.5
1986-02-01,118.9
1986-03-01,119.2
1986-04-01,119.4
1986-05-01,119.6
1986-06-01,119.7
1986-07-01,120.7
1986-08-01,121.2
1986-09-01,122.9
1986-10-01,123.4
1986-11-01,123.5
1986-12-01,123.6
1987-01-01,124.8
1987-02-01,125.4
1987-03-01,125.6
1987-04-01,125.9
1987-05-01,126.2
1987-06-01,126.6
1987-07-01,127.5
1987-08-01,128
1987-09-01,130.3
1987-10-01,130.8
1987-11-01,131
1987-12-01,131.3
1988-01-01,132.7
1988-02-01,133.6
1988-03-01,134
1988-04-01,134.2
1988-05-01,134.5
1988-06-01,135
1988-07-01,136.3
1988-08-01,137.2
1988-09-01,139.3
1988-10-01,139.9
1988-11-01,140.3
1988-12-01,140.6
1989-01-01,143
1989-02-01,143.7
1989-03-01,144
1989-04-01,144.4
1989-05-01,145.2
1989-06-01,146.3
1989-07-01,147.5
1989-08-01,148.8
1989-09-01,150.8
1989-10-01,151.4
1989-11-01,151.5
1989-12-01,152.7
1990-01-01,153.9
1990-02-01,154.6
1990-03-01,155.1
1990-04-01,155.7
1990-05-01,156.3
1990-06-01,157.8
1990-07-01,159.4
1990-08-01,160.5
1990-09-01,162.4
1990-10-01,162.8
1990-11-01,163.4
1990-12-01,164.4
1991-01-01,166.6
1991-02-01,167.5
1991-03-01,168.1
1991-04-01,169.1
1991-05-01,169.4
1991-06-01,170.5
1991-07-01,171.2
1991-08-01,172.6
1991-09-01,175.5
1991-10-01,175.9
1991-11-01,176.8
1991-12-01,177.7
1992-01-01,178.6
1992-02-01,179.4
1992-03-01,179.7
1992-04-01,180.3
1992-05-01,181.6
1992-06-01,181.8
1992-07-01,182.7
1992-08-01,184.2
1992-09-01,186.7
1992-10-01,187.7
1992-11-01,187.7
1992-12-01,189
1993-01-01,191.2
1993-02-01,191.6
1993-03-01,192.2
1993-04-01,192.8
1993-05-01,193.6
1993-06-01,193.3
1993-07-01,193.8
1993-08-01,192.7
1993-09-01,190.9
1993-10-01,191.1
1993-11-01,191.6
1993-12-01,192
1994-01-01,193.1
1994-02-01,193.2
1994-03-01,193.4
1994-04-01,194.4
1994-05-01,195.3
1994-06-01,195.8
1994-07-01,196.3
1994-08-01,197.5
1994-09-01,198.9
1994-10-01,199.4
1994-11-01,199.8
1994-12-01,200
1995-01-01,200.5
1995-02-01,201.5
1995-03-01,201.4
1995-04-01,201.7
1995-05-01,202.5
1995-06-01,203
1995-07-01,203.3
1995-08-01,205
1995-09-01,207.2
1995-10-01,207.8
1995-11-01,208.3
1995-12-01,208.1
1996-01-01,209
1996-02-01,209.6
1996-03-01,209.9
1996-04-01,210.1
1996-05-01,211.2
1996-06-01,211
1996-07-01,211.6
1996-08-01,213
1996-09-01,214.7
1996-10-01,215.3
1996-11-01,215.8
1996-12-01,215.2
1997-01-01,216.7
1997-02-01,217.4
1997-03-01,218
1997-04-01,219.8
1997-05-01,220.2
1997-06-01,219.9
1997-07-01,220.3
1997-08-01,222.1
1997-09-01,224.6
1997-10-01,226.1
1997-11-01,226.7
1997-12-01,226.9
1998-01-01,228.2
1998-02-01,230.6
1998-03-01,229.3
1998-04-01,232.3
1998-05-01,234.8
1998-06-01,234
1998-07-01,236
1998-08-01,236.2
1998-09-01,239.4
1998-10-01,240.4
1998-11-01,239.2
1998-12-01,252.6
1999-01-01,259.2
1999-02-01,258.3
1999-03-01,255.6
1999-04-01,259.5
1999-05-01,258.8
1999-06-01,258.7
1999-07-01,262
1999-08-01,260.7
1999-09-01,267.3
1999-10-01,267.9
1999-11-01,267.4
1999-12-01,267.3
2000-01-01,269.3
2000-02-01,271.7
2000-03-01,273.3
2000-04-01,278
2000-05-01,275.4
2000-06-01,274.5
2000-07-01,277.9
2000-08-01,276.8
2000-09-01,280.9
2000-10-01,278.2
2000-11-01,282.3
2000-12-01,279.2
2001-01-01,281.5
2001-02-01,283.2
2001-03-01,283.5
2001-04-01,288.2
2001-05-01,286.8
2001-06-01,287.9
2001-07-01,293.8
2001-08-01,290
2001-09-01,295.5
2001-10-01,292.4
2001-11-01,297.3
2001-12-01,293.3
2002-01-01,294
2002-02-01,298.3
2002-03-01,295.2
2002-04-01,301.7
2002-05-01,299.1
2002-06-01,303.5
2002-07-01,303.5
2002-08-01,306
2002-09-01,307.8
2002-10-01,304.9
2002-11-01,305
2002-12-01,305.1
2003-01-01,305.6
2003-02-01,306.4
2003-03-01,305.6
2003-04-01,306.4
2003-05-01,306
2003-06-01,306
2003-07-01,307.5
2003-08-01,308
2003-09-01,307.9
2003-10-01,308.2
2003-11-01,307.7
2003-12-01,308.1
2004-01-01,309.3
2004-02-01,310
2004-03-01,310.8
2004-04-01,311.3
2004-05-01,311.5
2004-06-01,311.8
2004-07-01,313.2
2004-08-01,313.5
2004-09-01,314.4
2004-10-01,314.7
2004-11-01,314.9
2004-12-01,315.9
2005-01-01,318
2005-02-01,319.4
2005-03-01,319.6
2005-04-01,319.9
2005-05-01,320.8
2005-06-01,320.9
2005-07-01,323.1
2005-08-01,323.6
2005-09-01,324.4
2005-10-01,324.5
2005-11-01,325.4
2005-12-01,326.6
2006-01-01,327.6
2006-02-01,328.4
2006-03-01,329.4
2006-04-01,329.3
2006-05-01,329.3
2006-06-01,330.8
2006-07-01,330.7
2006-08-01,331
2006-09-01,332.2
2006-10-01,333.1
2006-11-01,332.9
2006-12-01,335.7
2007-01-01,339.084
2007-02-01,340.917
2007-03-01,341.719
2007-04-01,342.057
2007-05-01,343.096
2007-06-01,343.939
2007-07-01,344.221
2007-08-01,344.214
2007-09-01,345.8
2007-10-01,346.742
2007-11-01,347.427
2007-12-01,348.83
2008-01-01,350.63
2008-02-01,351.979
2008-03-01,353.351
2008-04-01,354.887
2008-05-01,356.523
2008-06-01,358.419
2008-07-01,359.961
2008-08-01,360.102
2008-09-01,361.125
2008-10-01,362.354
2008-11-01,362.55
2008-12-01,362.986
2009-01-01,364.333
2009-02-01,365.522
2009-03-01,380.208
2009-04-01,394.902
2009-05-01,394.061
2009-06-01,395.052
2009-07-01,398.448
2009-08-01,398.228
2009-09-01,400.245
2009-10-01,401.39
2009-11-01,403.178
2009-12-01,403.97
2010-01-01,404.632
2010-02-01,404.722
2010-03-01,405.641
2010-04-01,405.786
2010-05-01,406.973
2010-06-01,408.61
2010-07-01,411.793
2010-08-01,412.453
2010-09-01,412.69
2010-10-01,411.655
2010-11-01,412.383
2010-12-01,414.002
2011-01-01,414.263
2011-02-01,415.088
2011-03-01,415.318
2011-04-01,415.578
2011-05-01,414.594
2011-06-01,415.514
2011-07-01,416.166
2011-08-01,416.896
2011-09-01,418.837
2011-10-01,419.067
2011-11-01,420.462
2011-12-01,421
2012-01-01,421.572
2012-02-01,421.412
2012-03-01,422.358
2012-04-01,423.249
2012-05-01,422.668
2012-06-01,423.905
2012-07-01,426.119
2012-08-01,426.791
2012-09-01,426.98
2012-10-01,427.027
2012-11-01,427.254
2012-12-01,427.533
2013-01-01,428.587
2013-02-01,429.135
2013-03-01,430.024
2013-04-01,431.382
2013-05-01,431.109
2013-06-01,431.377
2013-07-01,433.484
2013-08-01,434.571
2013-09-01,434.947
2013-10-01,435.144
2013-11-01,435.402
2013-12-01,436.517
2014-01-01,437.991
2014-02-01,438.352
2014-03-01,439.107
2014-04-01,439.453
2014-05-01,439.618
2014-06-01,441.085
2014-07-01,441.144
2014-08-01,441.698
2014-09-01,441.958
2014-10-01,443.61
2014-11-01,443.005
2014-12-01,444.238
2015-01-01,446.361
2015-02-01,445.748
2015-03-01,446.562
2015-04-01,446.169
2015-05-01,447.024
2015-06-01,449.462
2015-07-01,450.258
2015-08-01,450.535
2015-09-01,451.16
2015-10-01,452.896
2015-11-01,453.456
2015-12-01,453.816
2016-01-01,454.897
2016-02-01,455.426
2016-03-01,456.412
2016-04-01,456.645
2016-05-01,457.669
2016-06-01,459.075
2016-07-01,459.588
2016-08-01,460.72
2016-09-01,462.317
2016-10-01,462.551
2016-11-01,463.21
2016-12-01,464.943
2017-01-01,465.304
2017-02-01,465.505
2017-03-01,465.732
2017-04-01,471.371
2017-05-01,470.962
2017-06-01,472.297
2017-07-01,473.063
2017-08-01,472.148
2017-09-01,472.994
2017-10-01,475.889
2017-11-01,476.329
2017-12-01,475.856
2018-01-01,477.9
2018-02-01,477.591
2018-03-01,478.417
2018-04-01,482.221
2018-05-01,482.456
2018-06-01,482.907
2018-07-01,483.214
2018-08-01,482.912
2018-09-01,483.505
2018-10-01,485.577
2018-11-01,486.618
2018-12-01,486.008
2019-01-01,487.289
2019-02-01,489.217
2019-03-01,490.671
2019-04-01,491.164
2019-05-01,492.445
2019-06-01,491.56
2019-07-01,494.749
2019-08-01,496.249
2019-09-01,496.909
2019-10-01,499.52
2019-11-01,500.796
2019-12-01,499.468
2020-01-01,502.074
2020-02-01,504.209
2020-03-01,506.103
2020-04-01,505.629
2020-05-01,504.922
2020-06-01,507.032
2020-07-01,509.4
2020-08-01,508.597
2020-09-01,509.728
2020-10-01,510.229
2020-11-01,510.816
2020-12-01,512.611
2021-01-01,515.6
2021-02-01,517.658
2021-03-01,520.561
2021-04-01,522.023
2021-05-01,521.713
2021-06-01,522.571
2021-07-01,526.014
2021-08-01,528.14
2021-09-01,529.256
2021-10-01,533.907
2021-11-01,535.608
2021-12-01,538.199
2022-01-01,541.674
2022-02-01,547.005
2022-03-01,549.807
2022-04-01,552.323
2022-05-01,554.884
2022-06-01,557.466
2022-07-01,559.909
2022-08-01,564.819
2022-09-01,566.261
2022-10-01,568.474
2022-11-01,572.698
2022-12-01,572.669
2023-01-01,576.203
2023-02-01,579.892
2023-03-01,582.772
2023-04-01,587.54
2023-05-01,590.793
2023-06-01,590.618
2023-07-01,591.672
2023-08-01,594.298
2023-09-01,597.271
2023-10-01,602.208
2023-11-01,603.963
