"Date","CUURX200SA0"
2008-01-01,128.753
2008-02-01,128.922
2008-03-01,130.121
2008-04-01,131.484
2008-05-01,132.682
2008-06-01,134.018
2008-07-01,134.595
2008-08-01,133.969
2008-09-01,133.982
2008-10-01,131.946
2008-11-01,129.018
2008-12-01,128.018
2009-01-01,128.636
2009-02-01,129.057
2009-03-01,129.334
2009-04-01,129.604
2009-05-01,129.967
2009-06-01,131.64
2009-07-01,131.366
2009-08-01,131.748
2009-09-01,131.812
2009-10-01,131.724
2009-11-01,131.952
2009-12-01,131.742
2010-01-01,132.417
2010-02-01,132.451
2010-03-01,133.096
2010-04-01,133.51
2010-05-01,133.772
2010-06-01,133.845
2010-07-01,134.13
2010-08-01,134.375
2010-09-01,134.275
2010-10-01,134.074
2010-11-01,134.058
2010-12-01,134.267
2011-01-01,135.061
2011-02-01,135.665
2011-03-01,136.834
2011-04-01,138.005
2011-05-01,138.827
2011-06-01,139.115
2011-07-01,139.222
2011-08-01,139.451
2011-09-01,139.542
2011-10-01,138.573
2011-11-01,138.453
2011-12-01,138.186
2012-01-01,138.903
2012-02-01,139.191
2012-03-01,140.921
2012-04-01,141.308
2012-05-01,141.124
2012-06-01,140.996
2012-07-01,140.874
2012-08-01,142.052
2012-09-01,142.277
2012-10-01,141.651
2012-11-01,141.236
2012-12-01,140.949
2013-01-01,140.784
2013-02-01,142.238
2013-03-01,142.765
2013-04-01,142.666
2013-05-01,143.162
2013-06-01,143.684
2013-07-01,142.923
2013-08-01,143.051
2013-09-01,143.527
2013-10-01,143.076
2013-11-01,142.514
2013-12-01,142.197
2014-01-01,142.8
2014-02-01,143.719
2014-03-01,144.898
2014-04-01,145.465
2014-05-01,145.788
2014-06-01,146.488
2014-07-01,146.164
2014-08-01,145.897
2014-09-01,146.312
2014-10-01,145.419
2014-11-01,144.56
2014-12-01,143.535
2015-01-01,142.523
2015-02-01,143.184
2015-03-01,144.018
2015-04-01,143.982
2015-05-01,144.577
2015-06-01,145.613
2015-07-01,145.355
2015-08-01,145.099
2015-09-01,144.807
2015-10-01,144.739
2015-11-01,143.892
2015-12-01,143.095
2016-01-01,143.219
2016-02-01,143.334
2016-03-01,144.41
2016-04-01,144.973
2016-05-01,145.494
2016-06-01,146.349
2016-07-01,145.723
2016-08-01,145.926
2016-09-01,146.131
2016-10-01,146.117
2016-11-01,145.484
2016-12-01,145.563
2017-01-01,146.593
2017-02-01,146.816
2017-03-01,146.889
2017-04-01,147.392
2017-05-01,147.217
2017-06-01,147.116
2017-07-01,147.09
2017-08-01,147.606
2017-09-01,148.023
2017-10-01,147.944
2017-11-01,147.823
2017-12-01,147.189
2018-01-01,148.245
2018-02-01,148.635
2018-03-01,148.919
2018-04-01,149.506
2018-05-01,150.217
2018-06-01,150.338
2018-07-01,150.321
2018-08-01,150.343
2018-09-01,150.49
2018-10-01,150.648
2018-11-01,149.87
2018-12-01,149.119
2019-01-01,149.383
2019-02-01,150.523
2019-03-01,151.405
2019-04-01,152.093
2019-05-01,152.284
2019-06-01,152.323
2019-07-01,152.485
2019-08-01,152.492
2019-09-01,152.549
2019-10-01,152.615
2019-11-01,152.523
2019-12-01,152.413
2020-01-01,152.928
2020-02-01,153.478
2020-03-01,152.658
2020-04-01,151.09
2020-05-01,151.407
2020-06-01,152.683
2020-07-01,153.776
2020-08-01,154.362
2020-09-01,154.352
2020-10-01,154.243
2020-11-01,154.126
2020-12-01,154.261
2021-01-01,155.244
2021-02-01,156.432
2021-03-01,157.528
2021-04-01,158.742
2021-05-01,160.424
2021-06-01,162.072
2021-07-01,163.198
2021-08-01,163.587
2021-09-01,163.861
2021-10-01,165.247
2021-11-01,166.026
2021-12-01,166.408
2022-01-01,167.928
2022-02-01,169.46
2022-03-01,171.508
2022-04-01,172.187
2022-05-01,174.858
2022-06-01,177.717
2022-07-01,177.27
2022-08-01,176.613
2022-09-01,177.104
2022-10-01,177.431
2022-11-01,177.442
2022-12-01,176.623
2023-01-01,178.116
2023-02-01,179.052
2023-03-01,180.059
2023-04-01,180.94
2023-05-01,181.292
2023-06-01,182.056
2023-07-01,182.165
2023-08-01,183.036
2023-09-01,183.078
2023-10-01,182.774
2023-11-01,182.628
