"Date","CWUR0000SAF115"
2021-07-01,221.34
2021-08-01,221.875
2021-09-01,224.503
2021-10-01,226.903
2021-11-01,229.011
2021-12-01,230.176
2022-01-01,233.203
2022-02-01,236.573
2022-03-01,241.356
2022-04-01,243.853
2022-05-01,246.702
2022-06-01,251.497
2022-07-01,256.711
2022-08-01,259.178
2022-09-01,260.037
2022-10-01,262.118
2022-11-01,261.069
2022-12-01,262.25
2023-01-01,264.131
2023-02-01,266.073
2023-03-01,268.026
2023-04-01,269.009
2023-05-01,269.477
2023-06-01,269.675
2023-07-01,270.839
2023-08-01,271.08
2023-09-01,271.132
2023-10-01,271.56
2023-11-01,269.814
