"Date","CPIEDUSL"
2000-10-01,103
2000-11-01,102.8
2000-12-01,103.4
2001-01-01,103.8
2001-02-01,103.9
2001-03-01,104.4
2001-04-01,104.5
2001-05-01,104.6
2001-06-01,105
2001-07-01,105.5
2001-08-01,105.8
2001-09-01,105.8
2001-10-01,106.4
2001-11-01,106.5
2001-12-01,106.7
2002-01-01,107
2002-02-01,107.2
2002-03-01,106.8
2002-04-01,106.6
2002-05-01,107.2
2002-06-01,107.5
2002-07-01,108.2
2002-08-01,108.9
2002-09-01,108.7
2002-10-01,108.8
2002-11-01,108.8
2002-12-01,109
2003-01-01,109.5
2003-02-01,109.7
2003-03-01,109.6
2003-04-01,109.4
2003-05-01,109.3
2003-06-01,109.1
2003-07-01,109.6
2003-08-01,110
2003-09-01,110.1
2003-10-01,110.2
2003-11-01,110.3
2003-12-01,110.7
2004-01-01,110.9
2004-02-01,111.2
2004-03-01,111.3
2004-04-01,111.3
2004-05-01,111.2
2004-06-01,111.5
2004-07-01,111.6
2004-08-01,111.6
2004-09-01,112
2004-10-01,111.8
2004-11-01,112.1
2004-12-01,112.3
2005-01-01,112.5
2005-02-01,112.8
2005-03-01,113
2005-04-01,113.4
2005-05-01,113.4
2005-06-01,113.5
2005-07-01,113.7
2005-08-01,113.5
2005-09-01,114.4
2005-10-01,114.3
2005-11-01,114.8
2005-12-01,115
2006-01-01,115.5
2006-02-01,115.6
2006-03-01,115.8
2006-04-01,116.2
2006-05-01,116.3
2006-06-01,116.7
2006-07-01,117.1
2006-08-01,117.3
2006-09-01,117.5
2006-10-01,117.7
2006-11-01,117.6
2006-12-01,117.7
2007-01-01,117.631
2007-02-01,117.967
2007-03-01,118.47
2007-04-01,118.742
2007-05-01,119.407
2007-06-01,119.513
2007-07-01,119.777
2007-08-01,120.107
2007-09-01,120.384
2007-10-01,120.773
2007-11-01,120.867
2007-12-01,121.238
2008-01-01,121.592
2008-02-01,121.769
2008-03-01,122.059
2008-04-01,122.467
2008-05-01,122.922
2008-06-01,123.573
2008-07-01,124.132
2008-08-01,124.427
2008-09-01,124.671
2008-10-01,124.952
2008-11-01,125.287
2008-12-01,125.691
2009-01-01,125.995
2009-02-01,126.229
2009-03-01,126.433
2009-04-01,126.659
2009-05-01,127.03
2009-06-01,127.256
2009-07-01,127.574
2009-08-01,127.819
2009-09-01,128.204
2009-10-01,128.431
2009-11-01,128.429
2009-12-01,128.686
2010-01-01,128.956
2010-02-01,129.136
2010-03-01,129.439
2010-04-01,129.686
2010-05-01,129.776
2010-06-01,129.939
2010-07-01,130.112
2010-08-01,130.289
2010-09-01,130.408
2010-10-01,130.376
2010-11-01,130.548
2010-12-01,130.42
2011-01-01,130.584
2011-02-01,130.702
2011-03-01,130.805
2011-04-01,130.918
2011-05-01,131.063
2011-06-01,131.207
2011-07-01,131.308
2011-08-01,131.748
2011-09-01,131.925
2011-10-01,132.243
2011-11-01,132.446
2011-12-01,132.645
2012-01-01,133.062
2012-02-01,133.185
2012-03-01,133.289
2012-04-01,133.469
2012-05-01,133.849
2012-06-01,133.957
2012-07-01,133.954
2012-08-01,133.811
2012-09-01,134.06
2012-10-01,134.319
2012-11-01,134.489
2012-12-01,134.693
2013-01-01,135.177
2013-02-01,135.501
2013-03-01,135.67
2013-04-01,135.411
2013-05-01,135.563
2013-06-01,135.575
2013-07-01,135.745
2013-08-01,135.946
2013-09-01,136.203
2013-10-01,136.418
2013-11-01,136.578
2013-12-01,136.844
2014-01-01,136.997
2014-02-01,137.034
2014-03-01,137.161
2014-04-01,137.381
2014-05-01,137.529
2014-06-01,137.661
2014-07-01,137.893
2014-08-01,138.069
2014-09-01,138.038
2014-10-01,137.606
2014-11-01,137.437
2014-12-01,137.364
2015-01-01,137.608
2015-02-01,137.538
2015-03-01,137.644
2015-04-01,137.82
2015-05-01,137.692
2015-06-01,137.789
2015-07-01,138.002
2015-08-01,138.237
2015-09-01,138.681
2015-10-01,138.926
2015-11-01,139.235
2015-12-01,139.268
2016-01-01,139.445
2016-02-01,139.213
2016-03-01,139.392
2016-04-01,139.452
2016-05-01,139.255
2016-06-01,139.197
2016-07-01,139.16
2016-08-01,139.28
2016-09-01,138.817
2016-10-01,138.63
2016-11-01,138.813
2016-12-01,138.944
2017-01-01,139.017
2017-02-01,138.776
2017-03-01,136.392
2017-04-01,136.017
2017-05-01,135.886
2017-06-01,135.826
2017-07-01,135.692
2017-08-01,135.614
2017-09-01,135.777
2017-10-01,136.113
2017-11-01,136.449
2017-12-01,136.532
2018-01-01,136.594
2018-02-01,136.314
2018-03-01,136.19
2018-04-01,136.198
2018-05-01,136.585
2018-06-01,136.844
2018-07-01,137.07
2018-08-01,137.258
2018-09-01,137.483
2018-10-01,137.387
2018-11-01,136.708
2018-12-01,136.817
2019-01-01,137.027
2019-02-01,137.157
2019-03-01,137.238
2019-04-01,137.432
2019-05-01,137.499
2019-06-01,137.631
2019-07-01,137.886
2019-08-01,138.077
2019-09-01,138.034
2019-10-01,138.159
2019-11-01,138.659
2019-12-01,138.696
2020-01-01,139.116
2020-02-01,139.246
2020-03-01,139.352
2020-04-01,139.618
2020-05-01,139.611
2020-06-01,139.51
2020-07-01,141.069
2020-08-01,141.244
2020-09-01,141.008
2020-10-01,141.132
2020-11-01,141.29
2020-12-01,141.412
2021-01-01,141.542
2021-02-01,141.668
2021-03-01,141.451
2021-04-01,141.988
2021-05-01,142.265
2021-06-01,142.405
2021-07-01,142.662
2021-08-01,142.936
2021-09-01,143.44
2021-10-01,143.64
2021-11-01,143.631
2021-12-01,143.703
2022-01-01,143.861
2022-02-01,143.906
2022-03-01,143.643
2022-04-01,143.456
2022-05-01,143.364
2022-06-01,143.547
2022-07-01,143.416
2022-08-01,143.61
2022-09-01,143.724
2022-10-01,143.668
2022-11-01,144.605
2022-12-01,144.782
2023-01-01,145.32
2023-02-01,145.4
2023-03-01,145.638
2023-04-01,145.676
2023-05-01,145.443
2023-06-01,145.096
2023-07-01,145.166
2023-08-01,145.102
2023-09-01,145.26
2023-10-01,145.001
2023-11-01,144.519
