"Date","CUSR0000SA0L5"
2004-06-01,182.7
2004-07-01,182.8
2004-08-01,182.9
2004-09-01,183.4
2004-10-01,184.4
2004-11-01,185.4
2004-12-01,185.4
2005-01-01,185.2
2005-02-01,185.9
2005-03-01,186.6
2005-04-01,187.2
2005-05-01,187.1
2005-06-01,187.1
2005-07-01,188.3
2005-08-01,189.6
2005-09-01,192.3
2005-10-01,192.5
2005-11-01,191.5
2005-12-01,191.4
2006-01-01,192.6
2006-02-01,192.6
2006-03-01,192.9
2006-04-01,193.9
2006-05-01,194.5
2006-06-01,195
2006-07-01,196.1
2006-08-01,196.9
2006-09-01,195.9
2006-10-01,194.9
2006-11-01,195
2006-12-01,196.1
2007-01-01,196.344
2007-02-01,197.089
2007-03-01,198.161
2007-04-01,198.742
2007-05-01,199.573
2007-06-01,200.028
2007-07-01,200.322
2007-08-01,200.325
2007-09-01,201.187
2007-10-01,201.78
2007-11-01,203.419
2007-12-01,204.004
2008-01-01,204.694
2008-02-01,205.211
2008-03-01,205.965
2008-04-01,206.452
2008-05-01,207.733
2008-06-01,210.014
2008-07-01,211.593
2008-08-01,211.227
2008-09-01,211.388
2008-10-01,209.425
2008-11-01,205.438
2008-12-01,203.584
2009-01-01,204.094
2009-02-01,204.849
2009-03-01,204.601
2009-04-01,204.77
2009-05-01,205.043
2009-06-01,206.832
2009-07-01,206.735
2009-08-01,207.433
2009-09-01,207.814
2009-10-01,208.445
2009-11-01,209.147
2009-12-01,209.239
2010-01-01,209.322
2010-02-01,209.049
2010-03-01,209.07
2010-04-01,209.087
2010-05-01,208.952
2010-06-01,208.816
2010-07-01,209.237
2010-08-01,209.529
2010-09-01,209.806
2010-10-01,210.564
2010-11-01,211.113
2010-12-01,211.983
2011-01-01,212.699
2011-02-01,213.375
2011-03-01,214.527
2011-04-01,215.552
2011-05-01,216.246
2011-06-01,216.22
2011-07-01,216.784
2011-08-01,217.484
2011-09-01,217.958
2011-10-01,218.044
2011-11-01,218.412
2011-12-01,218.411
2012-01-01,219.007
2012-02-01,219.49
2012-03-01,219.928
2012-04-01,220.272
2012-05-01,219.725
2012-06-01,219.432
2012-07-01,219.43
2012-08-01,220.781
2012-09-01,221.879
2012-10-01,222.498
2012-11-01,222.078
2012-12-01,222.016
2013-01-01,222.457
2013-02-01,223.738
2013-03-01,223.001
2013-04-01,222.502
2013-05-01,222.629
2013-06-01,223.12
2013-07-01,223.561
2013-08-01,224.049
2013-09-01,224.095
2013-10-01,224.212
2013-11-01,224.661
2013-12-01,225.296
2014-01-01,225.831
2014-02-01,226.05
2014-03-01,226.504
2014-04-01,226.916
2014-05-01,227.34
2014-06-01,227.625
2014-07-01,227.873
2014-08-01,227.827
2014-09-01,227.8
2014-10-01,227.722
2014-11-01,227.188
2014-12-01,226.341
2015-01-01,224.784
2015-02-01,225.412
2015-03-01,225.992
2015-04-01,226.124
2015-05-01,226.893
2015-06-01,227.591
2015-07-01,227.956
2015-08-01,227.969
2015-09-01,227.37
2015-10-01,227.484
2015-11-01,227.713
2015-12-01,227.426
2016-01-01,227.247
2016-02-01,226.792
2016-03-01,227.532
2016-04-01,228.414
2016-05-01,228.947
2016-06-01,229.567
2016-07-01,229.334
2016-08-01,229.587
2016-09-01,230.209
2016-10-01,230.801
2016-11-01,231.092
2016-12-01,231.701
2017-01-01,232.681
2017-02-01,233.011
2017-03-01,232.866
2017-04-01,233.212
2017-05-01,233.016
2017-06-01,233.113
2017-07-01,233.114
2017-08-01,234.053
2017-09-01,235.36
2017-10-01,235.538
2017-11-01,236.219
2017-12-01,236.713
2018-01-01,237.727
2018-02-01,238.39
2018-03-01,238.371
2018-04-01,239.027
2018-05-01,239.573
2018-06-01,239.731
2018-07-01,239.981
2018-08-01,240.497
2018-09-01,241.003
2018-10-01,241.592
2018-11-01,241.313
2018-12-01,241.438
2019-01-01,241.332
2019-02-01,241.958
2019-03-01,242.818
2019-04-01,243.801
2019-05-01,243.799
2019-06-01,243.619
2019-07-01,244.081
2019-08-01,244.327
2019-09-01,244.754
2019-10-01,245.293
2019-11-01,245.785
2019-12-01,246.498
2020-01-01,246.908
2020-02-01,247.088
2020-03-01,245.829
2020-04-01,243.614
2020-05-01,243.269
2020-06-01,244.357
2020-07-01,245.633
2020-08-01,246.802
2020-09-01,247.456
2020-10-01,247.794
2020-11-01,248.351
2020-12-01,249.633
2021-01-01,250.212
2021-02-01,251.191
2021-03-01,252.498
2021-04-01,254.318
2021-05-01,256.194
2021-06-01,258.442
2021-07-01,259.665
2021-08-01,260.793
2021-09-01,261.991
2021-10-01,264.448
2021-11-01,266.631
2021-12-01,268.797
2022-01-01,270.453
2022-02-01,272.517
2022-03-01,275.376
2022-04-01,276.464
2022-05-01,279.139
2022-06-01,282.602
2022-07-01,282.389
2022-08-01,282.958
2022-09-01,284.06
2022-10-01,285.656
2022-11-01,286.389
2022-12-01,286.729
2023-01-01,288.434
2023-02-01,289.731
2023-03-01,289.973
2023-04-01,291.138
2023-05-01,291.51
2023-06-01,292.077
2023-07-01,292.663
2023-08-01,294.629
2023-09-01,295.843
2023-10-01,295.902
2023-11-01,296.069
