"Date","APUS49A7471A"
2007-03-01,3.102
2007-04-01,3.333
2007-05-01,3.471
2007-06-01,3.253
2007-07-01,3.117
2007-08-01,2.884
2007-09-01,2.916
2007-10-01,3.085
2007-11-01,3.363
2007-12-01,3.299
2008-01-01,3.253
2008-02-01,3.202
2008-03-01,3.593
2008-04-01,3.826
2008-05-01,3.959
2008-06-01,4.522
2008-07-01,4.51
2008-08-01,4.068
2008-09-01,3.764
2008-10-01,3.401
2008-11-01,2.47
2008-12-01,1.846
2009-01-01,2.006
2009-02-01,2.236
2009-03-01,2.205
2009-04-01,2.346
2009-05-01,2.516
2009-06-01,2.961
2009-07-01,2.909
2009-08-01,3.047
2009-09-01,3.116
2009-10-01,3.05
2009-11-01,2.993
2009-12-01,2.948
2010-01-01,3.057
2010-02-01,2.979
2010-03-01,3.084
2010-04-01,3.107
2010-05-01,3.116
2010-06-01,3.085
2010-07-01,3.126
2010-08-01,3.12
2010-09-01,2.988
2010-10-01,3.102
2010-11-01,3.144
2010-12-01,3.256
2011-01-01,3.356
2011-02-01,3.491
2011-03-01,3.963
2011-04-01,4.2
2011-05-01,4.213
2011-06-01,3.953
2011-07-01,3.824
2011-08-01,3.785
2011-09-01,3.946
2011-10-01,3.869
2011-11-01,3.814
2011-12-01,3.61
2012-01-01,3.747
2012-02-01,4.013
2012-03-01,4.394
2012-04-01,4.257
2012-05-01,4.333
2012-06-01,4.037
2012-07-01,3.8
2012-08-01,4.073
2012-09-01,4.175
2012-10-01,4.499
2012-11-01,3.924
2012-12-01,3.677
2013-01-01,3.749
2013-02-01,4.236
2013-03-01,4.226
2013-04-01,4.043
2013-05-01,4.06
2013-06-01,4.073
2013-07-01,4.115
2013-08-01,3.955
2013-09-01,4.008
2013-10-01,3.767
2013-11-01,3.651
2013-12-01,3.661
2014-01-01,3.665
2014-02-01,3.812
2014-03-01,4.046
2014-04-01,4.263
2014-05-01,4.2
2014-06-01,4.151
2014-07-01,4.073
2014-08-01,3.868
2014-09-01,3.757
2014-10-01,3.523
2014-11-01,3.187
2014-12-01,2.829
2015-01-01,2.54
2015-02-01,2.867
2015-03-01,3.371
2015-04-01,3.229
2015-05-01,3.898
2015-06-01,3.625
2015-07-01,4.022
2015-08-01,3.684
2015-09-01,3.206
2015-10-01,2.956
2015-11-01,2.85
2015-12-01,2.842
2016-01-01,2.909
2016-02-01,2.502
2016-03-01,2.732
2016-04-01,2.83
2016-05-01,2.797
2016-06-01,2.87
2016-07-01,2.835
2016-08-01,2.634
2016-09-01,2.729
2016-10-01,2.773
2016-11-01,2.772
2016-12-01,2.68
2017-01-01,2.802
2017-02-01,2.925
2017-03-01,3.011
2017-04-01,3.003
2017-05-01,2.997
2017-06-01,2.947
2017-07-01,2.869
2017-08-01,2.955
2017-09-01,3.118
2017-10-01,3.017
2017-11-01,3.193
2017-12-01,3.078
2018-01-01,3.26
2018-02-01,3.402
2018-03-01,3.469
2018-04-01,3.594
2018-05-01,3.729
2018-06-01,3.684
2018-07-01,3.633
2018-08-01,3.61
2018-09-01,3.676
2018-10-01,3.844
2018-11-01,3.64
2018-12-01,3.41
2019-01-01,3.277
2019-02-01,3.315
2019-03-01,3.47
2019-04-01,3.987
2019-05-01,4.012
2019-06-01,3.741
2019-07-01,3.689
2019-08-01,3.563
2019-09-01,3.769
2019-10-01,4.144
2019-11-01,3.959
2019-12-01,3.641
2020-01-01,3.553
2020-02-01,3.535
2020-03-01,3.274
2020-04-01,2.877
2020-05-01,2.802
2020-06-01,2.967
2020-07-01,3.089
2020-08-01,3.156
2020-09-01,3.18
2020-10-01,3.138
2020-11-01,3.095
2020-12-01,3.12
2021-01-01,3.278
2021-02-01,3.506
2021-03-01,3.784
2021-04-01,3.9
2021-05-01,4.055
2021-06-01,4.295
2021-07-01,4.384
2021-08-01,4.429
2021-09-01,4.44
2021-10-01,4.524
2021-11-01,4.694
2021-12-01,4.72
2022-01-01,4.708
2022-02-01,4.809
2022-03-01,5.824
2022-04-01,5.893
2022-05-01,6.044
2022-06-01,6.423
2022-07-01,6.024
2022-08-01,5.423
2022-09-01,5.555
2022-10-01,6.102
2022-11-01,5.387
2022-12-01,4.61
2023-01-01,4.556
2023-02-01,4.771
2023-03-01,4.938
2023-04-01,4.96
2023-05-01,4.907
2023-06-01,4.961
2023-07-01,5.016
2023-08-01,5.299
2023-09-01,5.83
2023-10-01,5.789
2023-11-01,5.156
